origin,target,h,candidate,reference,metric,candidate_fuel_error,reference_fuel_error,shared_other_error,fuel_squared_gain,cross_term_gain,headline_squared_gain
2019-02,2019-03,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2019-03,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,,,,,,
2019-02,2019-04,2,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2019-04,2,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,,,,,,
2019-02,2019-05,3,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2019-05,3,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,,,,,,
2019-02,2019-06,4,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2019-06,4,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.0027427069811319094,0.06337550532239425,-0.0706369392671102,0.004008932233284471,-0.008565830588053377,-0.0045568983547689046
2019-02,2019-07,5,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2019-07,5,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.03843415637393782,0.029543663454917046,-0.16020543807133947,-0.0006043563258389043,0.00284861062552373,0.0022442542996848266
2019-02,2019-08,6,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2019-08,6,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.01391037990430629,-0.01098536186543677,-0.1329250766270862,-7.282049376753585e-05,0.006618536764862493,0.006545716271094959
2019-02,2019-09,7,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2019-09,7,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.013977256730769189,0.02987633983212036,0.4441253977808448,0.000697231976046509,0.014122373213476595,0.014819605189523077
2019-02,2019-10,8,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2019-10,8,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,-0.0028089559420286236,0.024194239626404934,-0.11700018890008251,0.0005774709976156448,-0.006318757964825195,-0.0057412869672095485
2019-02,2019-11,9,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2019-11,9,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.01683746756756753,0.017440051482978322,-0.1551725262108395,2.0655081640045972e-05,-0.000187008936816623,-0.00016635385517657988
2019-02,2019-12,10,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2019-12,10,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.014112958252427171,-0.019692499887107612,-0.06169235674771276,0.00018861896116898112,0.0041710767671281,0.004359695728297081
2019-02,2020-01,11,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2020-01,11,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,-0.022690883121951222,-0.06716713125398832,-0.49700219369597876,0.003996547344036444,0.04420958577797823,0.04820613312201466
2019-02,2020-02,12,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-02,2020-02,12,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.042215915779283464,-0.014475837520716572,0.06597606707952847,-0.0015726336731573688,-0.007480597837153763,-0.009053231510311132
2019-03,2019-04,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,-0.11701681570713207,-0.07183872634654698,0.23911441824490698,-0.00853213255514285,0.021605465109745453,0.013073332554602605
2019-03,2019-04,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,-0.114067914084507,-0.07002834263878271,0.3200160357843338,-0.008107520250855718,0.028186738143403257,0.02007921789254754
2019-03,2019-05,2,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-03,2019-05,2,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,,,,,,
2019-03,2019-06,3,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-03,2019-06,3,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,,,,,,
2019-03,2019-07,4,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-03,2019-07,4,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.03843415637393782,0.029543663454917046,-0.1627191497788725,-0.0006043563258389043,0.002893306897796294,0.002288950571957389
2019-03,2019-08,5,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-03,2019-08,5,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.01391037990430629,-0.01098536186543677,-0.12634557948225095,-7.282049376753585e-05,0.006290933841077333,0.0062181133473098015
2019-03,2019-09,6,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-03,2019-09,6,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.013977256730769189,0.029876339832120347,0.3745275314778901,0.0006972319760465081,0.011909288693421772,0.012606520669468296
2019-03,2019-10,7,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-03,2019-10,7,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,-0.0028089559420286236,0.024194239626404934,-0.19033972526772902,0.0005774709976156448,-0.010279561651692802,-0.00970209065407716
2019-03,2019-11,8,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-03,2019-11,8,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.016837467567567533,0.017440051482978326,-0.24476465460135124,2.0655081640045972e-05,-0.000294982487847705,-0.00027432740620766255
2019-03,2019-12,9,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-03,2019-12,9,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.014112958252427171,-0.019692499887107612,-0.09190745020423435,0.00018861896116898112,0.006213946921181244,0.006402565882350225
2019-03,2020-01,10,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-03,2020-01,10,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,-0.022690883121951222,-0.06716713125398832,-0.517827543813977,0.003996547344036444,0.04606205265654751,0.05005860000058393
2019-03,2020-02,11,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-03,2020-02,11,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.04221591577928349,-0.001480518088451871,-0.021801992272620335,-0.0017799916112733237,0.0019053386270508638,0.00012534701577754002
2019-03,2020-03,12,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-03,2020-03,12,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.1627842394891945,0.14701793364772214,-0.026095336914581435,-0.004884435812029395,0.0008228541256631084,-0.004061581686366287
2019-04,2019-05,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,-0.0779505861802039,0.0016580002708517227,-0.13457858756349417,-0.00607354492093925,-0.02142722224501877,-0.02750076716595802
2019-04,2019-05,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,-0.07598864840271091,0.001616270073224707,-0.42604745053378856,-0.0057716623571212175,-0.06612675533110975,-0.07189841768823096
2019-04,2019-06,2,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,-0.07491487463181912,0.0665651179144855,-0.23564524061630676,-0.0011813235181318184,-0.06667817377193447,-0.0678594972900663
2019-04,2019-06,2,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.0027427069811319094,0.06337550532239425,-0.09893195917175143,0.004008932233284471,-0.011997043059933607,-0.007988110826649136
2019-04,2019-07,3,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-04,2019-07,3,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,,,,,,
2019-04,2019-08,4,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-04,2019-08,4,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.01391037990430629,-0.01098536186543677,-0.1110476906775662,-7.282049376753585e-05,0.005529229262469984,0.005456408768702448
2019-04,2019-09,5,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-04,2019-09,5,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.01397725673076916,0.029876339832120347,0.3594015861870351,0.000697231976046509,0.011428311371090204,0.012125543347136697
2019-04,2019-10,6,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-04,2019-10,6,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,-0.002808955942028596,0.024194239626404934,-0.24747100090154223,0.000577470997615645,-0.01336501566972067,-0.012787544672105043
2019-04,2019-11,7,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-04,2019-11,7,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.01683746756756753,0.017440051482978322,-0.3094090416012535,2.0655081640045972e-05,-0.00037288982350316827,-0.00035223474186311943
2019-04,2019-12,8,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-04,2019-12,8,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.014112958252427178,-0.019692499887107605,-0.14504066735114773,0.00018861896116898063,0.009806332417338828,0.009994951378507807
2019-04,2020-01,9,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-04,2020-01,9,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,-0.022690883121951222,-0.06716713125398832,-0.6656686341271184,0.003996547344036444,0.059212886690303876,0.06320943403434032
2019-04,2020-02,10,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-04,2020-02,10,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.04221591577928349,-0.001480518088451871,-0.13997306683087987,-0.0017799916112733237,0.012232647716079289,0.010452656104805965
2019-04,2020-03,11,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-04,2020-03,11,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.16278423948919446,0.14823334159129659,-0.14419962766165698,-0.004525585066753397,0.0041964681180393214,-0.00032911694871407763
2019-04,2020-04,12,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,,,,,,
2019-04,2020-04,12,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.30555068616024955,0.34959025760597384,0.06614992228562142,0.028852126400011835,0.0058264284572534675,0.03467855485726534
2019-05,2019-06,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.0028009534778226097,0.06472140234544144,-0.5438753332000377,0.004181014581175586,-0.06735400951954416,-0.06317299493836862
2019-05,2019-06,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.0027427069811319094,0.06337550532239425,-0.10765742740799958,0.004008932233284471,-0.013055142171936655,-0.009046209938652183
2019-05,2019-07,2,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.042013823453384,0.09500351771436621,-0.5290769357936638,0.0072605070169317765,-0.056071250136487116,-0.04881074311955533
2019-05,2019-07,2,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.03843415637393782,0.029543663454917046,0.015460926437364464,-0.0006043563258389043,-0.00027491051402577974,-0.000879266839864684
2019-05,2019-08,3,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.05620944821880691,0.08366159362633407,-0.6265533872478222,0.0038397601790351272,-0.034400469384611776,-0.03056070920557663
2019-05,2019-08,3,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.013910379904306292,-0.010985361865436768,-0.09529481039338933,-7.282049376753592e-05,0.0047448699831008955,0.0046720494893333605
2019-05,2019-09,4,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.07060642841685061,0.11441109233829483,-0.2604286693791553,0.008104630316257976,-0.02281598067532562,-0.014711350359067645
2019-05,2019-09,4,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.01397725673076916,0.029876339832120347,0.35524041254516825,0.000697231976046509,0.011295993680027816,0.01199322565607433
2019-05,2019-10,5,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.06763674605631342,0.1389519382359845,-0.49331665568563565,0.014732911722450625,-0.07036194421130747,-0.05562903248885684
2019-05,2019-10,5,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,-0.002808955942028596,0.024194239626404934,-0.22810127207030279,0.000577470997615645,-0.012318926518245702,-0.011741455520630058
2019-05,2019-11,6,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.08492600950466134,0.1569198247286523,-0.803240130708605,0.017411404302485126,-0.1156566431014593,-0.09824523879897423
2019-05,2019-11,6,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.016837467567567536,0.01744005148297833,-0.3010554365538331,2.0655081640045972e-05,-0.0003628223274286284,-0.00034216724578858826
2019-05,2019-12,7,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.09933580763933447,0.13670838029312993,-0.9282904517575754,0.008821578563012175,-0.06938520470426918,-0.06056362614125699
2019-05,2019-12,7,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.014112958252427178,-0.019692499887107605,-0.12164228480613648,0.00018861896116898063,0.00822434633402243,0.008412965295191406
2019-05,2020-01,8,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.0761558951835064,0.0683664444448202,-1.5556696642404075,-0.0011257496451745263,0.024235624430538307,0.023109874785363527
2019-05,2020-01,8,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,-0.022690883121951222,-0.06716713125398832,-0.6159083615839555,0.003996547344036444,0.05478658623280886,0.05878313357684528
2019-05,2020-02,9,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.11922998909349003,0.06688008835863402,-1.6073831360084019,-0.009742844080375058,0.1682926952258428,0.1585498511454677
2019-05,2020-02,9,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.04221591577928349,-0.001480518088451871,-0.04947859037667926,-0.0017799916112733237,0.0043240759045266655,0.0025440842932533416
2019-05,2020-03,10,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.28487525077073306,0.21780743775443256,-1.7284204656569597,-0.033713828560537035,0.231842761208456,0.19812893264791898
2019-05,2020-03,10,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.16278423948919446,0.14823334159129656,-0.12309301311687867,-0.004525585066753407,0.0035822277316166174,-0.0009433573351367889
2019-05,2020-04,11,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.5955672970348207,0.5786343397703888,-1.6873678524379354,-0.019882706135848582,0.05714425546941556,0.037261549333566846
2019-05,2020-04,11,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,mm,0.3055506861602496,0.3548264387026223,0.03576154616642588,0.03254057978938643,0.003524354198858878,0.036064933988245354
2019-05,2020-05,12,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,yy,0.6978961861812021,0.7599916787908811,-1.5521291000176012,0.0905282651451148,-0.19276044211882154,-0.10223217697370668
