sample,h,candidate,reference,n,metric,delta,lower,upper,block,draws,seed
full,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,88,rmse,-0.0005994059814437014,-0.008226362645644643,0.005841115277625074,12,5000,42
full,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,88,mae,-0.0005640650838985017,-0.005458037197248522,0.0040005051563527395,12,5000,42
full,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,88,rmse,-0.0005994059814437014,-0.008682414298862465,0.006900545021260167,6,5000,42
full,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,88,mae,-0.0005640650838985017,-0.006967030029499826,0.005207805203124013,6,5000,42
full,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,88,rmse,-0.0005994059814437014,-0.008583862648692174,0.0049207213113861645,18,5000,42
full,1,FUEL_ZERO_R14,INDEPENDENT_BRIDGE,88,mae,-0.0005640650838985017,-0.004914552444517618,0.003918567671057593,18,5000,42
full,1,FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,88,rmse,-0.005871216418931402,-0.023630282897107925,0.004347734804032857,12,5000,42
full,1,FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,88,mae,-0.014670132994247465,-0.02575364287498254,-0.00311408771423704,12,5000,42
full,1,FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,88,rmse,-0.005871216418931402,-0.024591547451580494,0.005448361383786415,6,5000,42
full,1,FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,88,mae,-0.014670132994247465,-0.02746830275750794,-0.0013803978360899586,6,5000,42
full,1,FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,88,rmse,-0.005871216418931402,-0.022920623889167824,0.0020063669894324837,18,5000,42
full,1,FUEL_CONSTANT_PUMP_R14,INDEPENDENT_BRIDGE,88,mae,-0.014670132994247465,-0.025439801456399173,-0.002226148891833725,18,5000,42
full,1,FUEL_ECM_R14,INDEPENDENT_BRIDGE,88,rmse,-0.01402923298225267,-0.03378262685963467,-0.0016418856309199429,12,5000,42
full,1,FUEL_ECM_R14,INDEPENDENT_BRIDGE,88,mae,-0.019654026987517503,-0.03891243554076301,-0.0011768056493083052,12,5000,42
full,1,FUEL_ECM_R14,INDEPENDENT_BRIDGE,88,rmse,-0.01402923298225267,-0.03769061073736054,-6.70077870090459e-05,6,5000,42
full,1,FUEL_ECM_R14,INDEPENDENT_BRIDGE,88,mae,-0.019654026987517503,-0.03836313446418623,-0.000990222868247849,6,5000,42
full,1,FUEL_ECM_R14,INDEPENDENT_BRIDGE,88,rmse,-0.01402923298225267,-0.03193741806290822,-0.004820497809934076,18,5000,42
