origin,as_of,status,fallback_used,petrol_share,pump_observation_end,pump_available_end,oil_observation_end,oil_available_end,fx_observation_end,fx_available_end,oil_scenario,fx_scenario,effective_tax_reconciliation_petrol95,vat_petrol95,statutory_excise_petrol95,effective_tax_reconciliation_diesel,vat_diesel,statutory_excise_diesel
2019-02,2019-03-10 23:59:00,estimated,False,0.67084,2019-02-25 00:00:00,2019-03-04 00:00:00,2019-02-22 00:00:00,2019-03-08 00:00:00,2019-03-08 00:00:00,2019-03-08 14:30:00,66.91,22.848,12.84003672768595,0.21,12.84,10.949866445454546,0.21,10.95
2019-03,2019-04-09 23:59:00,estimated,False,0.67084,2019-04-01 00:00:00,2019-04-08 00:00:00,2019-03-26 00:00:00,2019-04-09 00:00:00,2019-04-09 00:00:00,2019-04-09 14:30:00,67.51,22.716,12.84003442958679,0.21,12.84,10.94996976966943,0.21,10.95
2019-04,2019-05-12 23:59:00,estimated,False,0.67084,2019-04-29 00:00:00,2019-05-06 00:00:00,2019-04-26 00:00:00,2019-05-10 00:00:00,2019-05-10 00:00:00,2019-05-10 14:30:00,71.03,22.915,12.839934515371906,0.21,12.84,10.949928216033058,0.21,10.95
2019-05,2019-06-10 23:59:00,estimated,False,0.67084,2019-06-03 00:00:00,2019-06-10 00:00:00,2019-05-24 00:00:00,2019-06-07 00:00:00,2019-06-10 00:00:00,2019-06-10 14:30:00,67.98,22.675,12.84001762710744,0.21,12.84,10.949915805619835,0.21,10.95
2019-06,2019-07-10 23:59:00,estimated,False,0.67084,2019-07-01 00:00:00,2019-07-08 00:00:00,2019-06-26 00:00:00,2019-07-10 00:00:00,2019-07-10 00:00:00,2019-07-10 14:30:00,66.85,22.785,12.840000266611554,0.21,12.84,10.9499537905785,0.21,10.95
2019-07,2019-08-11 23:59:00,estimated,False,0.67084,2019-07-29 00:00:00,2019-08-05 00:00:00,2019-07-26 00:00:00,2019-08-09 00:00:00,2019-08-09 00:00:00,2019-08-09 14:30:00,62.46,23.068,12.840076314545461,0.21,12.84,10.950078227107447,0.21,10.95
2019-08,2019-09-09 23:59:00,estimated,False,0.67084,2019-09-02 00:00:00,2019-09-09 00:00:00,2019-08-26 00:00:00,2019-09-09 00:00:00,2019-09-09 00:00:00,2019-09-09 14:30:00,58.64,23.431,12.839983421074374,0.21,12.84,10.94997636727272,0.21,10.95
2019-09,2019-10-09 23:59:00,estimated,False,0.67084,2019-09-30 00:00:00,2019-10-07 00:00:00,2019-09-25 00:00:00,2019-10-09 00:00:00,2019-10-09 00:00:00,2019-10-09 14:30:00,62.41,23.518,12.839995108760336,0.21,12.84,10.950097491570254,0.21,10.95
2019-10,2019-11-10 23:59:00,estimated,False,0.67084,2019-10-28 00:00:00,2019-11-04 00:00:00,2019-10-25 00:00:00,2019-11-08 00:00:00,2019-11-08 00:00:00,2019-11-08 14:30:00,62.06,23.099,12.839833166942142,0.21,12.84,10.949956297520664,0.21,10.95
2019-11,2019-12-09 23:59:00,estimated,False,0.67084,2019-12-02 00:00:00,2019-12-09 00:00:00,2019-11-25 00:00:00,2019-12-09 00:00:00,2019-12-09 00:00:00,2019-12-09 14:30:00,64.67,23.047,12.840098988429762,0.21,12.84,10.950146167107452,0.21,10.95
2019-12,2020-01-12 23:59:00,estimated,False,0.67084,2019-12-16 00:00:00,2019-12-23 00:00:00,2019-12-27 00:00:00,2020-01-10 00:00:00,2020-01-10 00:00:00,2020-01-10 14:30:00,68.91,22.78,12.839822259338838,0.21,12.84,10.95016724991735,0.21,10.95
