h,sample,n,baseline,candidate,ppi,ratio,ratio_ppi
1,full,88,0.8614110525395883,0.8613213113828165,0.8582890556838205,0.9998958207507239,0.9963757176709498
1,origins_2019_2021,34,0.4534361074003746,0.4529361972258456,0.4481881655798858,0.9988975069114036,0.988426281597696
1,origins_2022_2023,24,1.5139347385116797,1.5146839570802892,1.5098760168516825,1.000494881681192,0.9973190907396793
1,origins_2024plus,30,0.33166470962604083,0.3290079438295922,0.3308073720969129,0.9919896035986338,0.9974150474734119
2,full,86,1.2300739986205527,1.2288079683766289,1.22375545550569,0.9989707690388192,0.9948632821098986
2,origins_2019_2021,33,0.6464852657553292,0.6394439586409312,0.6307291582728566,0.989108325452443,0.97562804859278
2,origins_2022_2023,24,2.14813543648432,2.1493926102861107,2.141195580646572,1.0005852395432981,0.9967693583375236
2,origins_2024plus,29,0.4388570411284245,0.4349667739545149,0.4406256282398299,0.9911354568587833,1.0040299845864564
3,full,84,1.4566126181768873,1.4483370973482854,1.441603872234851,0.9943186536177617,0.9896961307661735
3,origins_2019_2021,32,1.0664926790533533,1.0446071614700323,1.0350158926761253,0.9794789800125518,0.9704856985936672
3,origins_2022_2023,24,2.3669763562358446,2.363650951412313,2.351807007298968,0.9985950832103707,0.9935912545569319
3,origins_2024plus,28,0.512892526531404,0.5071741605110427,0.5191498312588202,0.9888507519128158,1.012200031007925
4,full,83,1.7070843170170515,1.695778831465193,1.687482025732458,0.9933773127436296,0.98851709251313
4,origins_2019_2021,32,1.5195389904532945,1.4950756893018156,1.4847091033769546,0.9839008401198173,0.9770786486591241
4,origins_2022_2023,24,2.601414476487689,2.59707606299998,2.5829235129518207,0.9983322867128938,0.9928919579317349
4,origins_2024plus,27,0.4541506257268818,0.44208785667271416,0.45926772923225867,0.9734388364326024,1.0112674148520369
5,full,82,1.9827738440772091,1.964994842596136,1.9557554665792816,0.9910332680985372,0.9863734446676131
5,origins_2019_2021,32,2.0911559319403037,2.060259884469554,2.049805882169102,0.9852253736802484,0.9802262236212893
5,origins_2022_2023,24,2.715430458792197,2.705845467814559,2.6895645732379205,0.9964701762305851,0.9904744805853796
5,origins_2024plus,26,0.4588778756222333,0.4416285399973847,0.46341538524358444,0.9624097465987902,1.0098882728115806
6,full,81,2.2727292490959163,2.244603126926088,2.2344810130284865,0.9876245170070228,0.9831707907650483
6,origins_2019_2021,32,2.760526141640275,2.72137515189771,2.7116023163096092,0.9858175624016,0.9822773548155586
6,origins_2022_2023,24,2.6496865736313446,2.627993197413029,2.60854291633938,0.9918128519673989,0.9844722550578583
6,origins_2024plus,25,0.49123828735435177,0.4629079450005251,0.48283503572316033,0.9423287168709822,0.9828937364055058
7,full,80,2.6235784219716045,2.587281745105365,2.5785524526447174,0.986165202243521,0.9828379556144351
7,origins_2019_2021,32,3.480764812155548,3.440227038125862,3.4318248756297174,0.988353773892416,0.9859398898900259
7,origins_2022_2023,24,2.5449994964759015,2.5003273476444883,2.48203111146511,0.9824470893242724,0.9752579970652314
7,origins_2024plus,24,0.5590692685172912,0.5306315275244786,0.547175866790857,0.9491337789533086,0.9787264255143611
8,full,79,3.033904639699496,2.9947110988480063,2.9869344621915,0.9870814855751788,0.9845182419732715
8,origins_2019_2021,32,4.187443930498193,4.149943596734447,4.142555507883033,0.9910445765039093,0.9892802331541143
8,origins_2022_2023,24,2.5665455483811996,2.4994861596012856,2.4821862397143692,0.9738717324451107,0.9671311858384752
8,origins_2024plus,23,0.5882876012238308,0.5692063810069758,0.582570764395366,0.9675648098359377,0.9902822415149123
9,full,78,3.5053402854644573,3.465968836028033,3.4584179433367996,0.9887681519538388,0.9866140407759469
9,origins_2019_2021,32,4.913630981063683,4.878483475541145,4.871561269300977,0.9928469383114055,0.9914381621402104
9,origins_2022_2023,24,2.7228754763031957,2.64622326393644,2.6283251472593956,0.9718487999051556,0.9652755589204653
9,origins_2024plus,22,0.5984897019361455,0.5784832700616919,0.5919665220506841,0.9665718026396583,0.9891005979478702
10,full,77,3.981754236051339,3.9450427901866063,3.937033036196461,0.9907800824238868,0.9887684680661689
10,origins_2019_2021,32,5.516435268393372,5.487022965155744,5.480079951909839,0.994668241027653,0.9934096359850659
10,origins_2022_2023,24,3.14948470189599,3.0721939694186053,3.053539075463499,0.9754592449898691,0.9695360874829041
10,origins_2024plus,21,0.6521134784632735,0.6332241745828194,0.6450684967810707,0.9710337165166908,0.9891966936509202
11,full,76,4.436023917940329,4.403522762952231,4.395122874851743,0.9926733589382475,0.9907797965373513
11,origins_2019_2021,32,6.126619564384808,6.1034212997606545,6.096097872308547,0.9962135294381571,0.9950181838850106
11,origins_2022_2023,24,3.448933477226636,3.374349195319722,3.3559508143228767,0.9783746823766261,0.9730401692239862
11,origins_2024plus,20,0.6683209909325573,0.647739809217421,0.6559401278792705,0.9692046456801876,0.9814746757602049
12,full,75,4.800764598677102,4.768932868864873,4.761036939497264,0.9933694458126523,0.9917247225179953
12,origins_2019_2021,32,6.63451091615438,6.614112413973146,6.606533080852214,0.9969253947368502,0.9957829845099745
12,origins_2022_2023,24,3.603371490550593,3.521152805468239,3.5066061698137774,0.9771828452053964,0.9731458937857029
12,origins_2024plus,19,0.6645998174267459,0.659033837640918,0.6596902132403363,0.9916250657314672,0.9926126910395205
