stage,family,band,origin,config,prediction,reference,absolute_difference,n_train,train_first,train_last
core,both,0,2019-02,l1,0.005676252722968265,0.005676252722968261,3.469446951953614e-18,103,2010-04,2018-10
signal,services,0,2019-02,l0.1,-0.1813398101300888,-0.18133981013008907,2.7755575615628914e-16,120,2008-11,2018-10
signal,services,0,2018-10,l0.1,0.09989317409418857,0.09989317409418855,2.7755575615628914e-17,120,2008-07,2018-06
signal,goods,0,2019-02,l10,-0.0008738716942307621,-0.000873871694230756,6.071532165918825e-18,120,2008-11,2018-10
signal,goods,0,2018-10,l10,-0.00012135321848668952,-0.0001213532184867222,3.268869550043796e-17,120,2008-07,2018-06
core,both,1,2022-06,l10,0.3994723952314032,0.3994723952314031,1.1102230246251565e-16,120,2011-12,2021-11
signal,services,1,2022-06,l10,0.5094149602196157,0.5094149602196157,0.0,120,2011-12,2021-11
signal,services,1,2021-11,l0.1,-1.065488376158886,-1.0654883761588847,1.3322676295501878e-15,120,2011-05,2021-04
signal,goods,1,2022-06,l0.1,9.238244772928136,9.238244772928129,7.105427357601002e-15,120,2011-12,2021-11
signal,goods,1,2021-11,l10,0.08607500240304405,0.08607500240304417,1.1102230246251565e-16,120,2011-05,2021-04
core,both,2,2024-06,l10,0.018925309211450136,0.018925309211450147,1.0408340855860843e-17,120,2013-09,2023-08
signal,services,2,2024-06,l0.1,1.2579457937718606,1.2579457937718606,0.0,120,2013-09,2023-08
signal,services,2,2023-08,l10,0.006750440725032376,0.006750440725032017,3.5908775952719907e-16,120,2012-11,2022-10
signal,goods,2,2024-06,l10,0.19731788562359823,0.1973178856235985,2.7755575615628914e-16,120,2013-09,2023-08
signal,goods,2,2023-08,l10,-0.19546004463862215,-0.19546004463862124,9.159339953157541e-16,120,2012-11,2022-10
core,both,3,2026-07,l1,0.02566253410330628,0.02566253410330628,0.0,120,2015-07,2025-06
signal,services,3,2026-07,l1,0.21327714773932846,0.213277147739329,5.273559366969494e-16,120,2015-07,2025-06
signal,services,3,2025-06,l1,0.2693091106781506,0.2693091106781501,4.996003610813204e-16,120,2014-06,2024-05
signal,goods,3,2026-07,l10,0.32928297840079823,0.3292829784007991,8.881784197001252e-16,120,2015-07,2025-06
signal,goods,3,2025-06,l10,-0.0851109240612612,-0.08511092406126136,1.6653345369377348e-16,120,2014-06,2024-05
