sample,h,model,n,yy_rmse,yy_bias
all,9,NAIVE_C,72,5.278392321188259,-0.8534927823913785
all,9,RW_C,72,5.916335565450812,0.1830344326921007
all,9,TVWQRF_QRF_MEAN_FULL,72,4.287248883000966,-1.0494004646822248
all,9,TVWQRF_QRF_MEAN_INDEP,72,4.450233353887065,-1.0018741304480447
all,9,TVWQRF_QRF_MEDIAN_FULL,72,4.596720956840524,-2.3151510805245548
all,9,TVWQRF_QRF_MEDIAN_INDEP,72,4.6811047388364,-2.184230485594422
all,9,TVWQRF_TVW3_FULL,72,4.316579158853454,-0.9294797435306426
all,9,TVWQRF_TVW3_INDEP,72,4.424919075483565,-0.9776458017767484
all,10,F1b,70,4.663233660649718,-1.7465096564440388
all,10,F2_D1_fixed,70,5.467295609370319,-2.6954279618659083
all,10,NAIVE_C,70,5.811509577285549,-0.9897515344823383
all,10,RW_C,70,6.448503630576519,0.20954999042120978
all,10,TVWQRF_QRF_MEAN_FULL,70,4.8076446380872,-1.1861108341816888
all,10,TVWQRF_QRF_MEAN_INDEP,70,5.001319625206042,-1.132301697543274
all,10,TVWQRF_QRF_MEDIAN_FULL,70,5.1432506798603,-2.6580796937521813
all,10,TVWQRF_QRF_MEDIAN_INDEP,70,5.254580872567648,-2.5201018387708203
all,10,TVWQRF_TVW3_FULL,70,4.864226869616371,-1.071076247893895
all,10,TVWQRF_TVW3_INDEP,70,4.997624974427028,-1.1294120728587136
all,11,F1b,68,5.210929941303709,-2.022591091603693
all,11,F2_D1_fixed,68,6.062249750931199,-3.03678875937584
all,11,NAIVE_C,68,6.369415100885008,-1.1354612774283732
all,11,RW_C,68,6.968876914861184,0.21548627973410053
all,11,TVWQRF_QRF_MEAN_FULL,68,5.295165136862762,-1.3622251688581806
all,11,TVWQRF_QRF_MEAN_INDEP,68,5.453805908909503,-1.30771240701042
all,11,TVWQRF_QRF_MEDIAN_FULL,68,5.646437172145592,-2.955119278157644
all,11,TVWQRF_QRF_MEDIAN_INDEP,68,5.731467601563294,-2.811854780707187
all,11,TVWQRF_TVW3_FULL,68,5.377132863764426,-1.2335584019419423
all,11,TVWQRF_TVW3_INDEP,68,5.470940424504599,-1.2936195901265943
all,12,F1b,66,5.7880222439845745,-2.3615329336577395
all,12,F2_D1_fixed,66,6.664483091120692,-3.422090199965882
all,12,NAIVE_C,66,6.990062293675042,-1.380349710716675
all,12,RW_C,66,7.426570296101707,0.19993190226274793
all,12,TVWQRF_QRF_MEAN_FULL,66,5.874880202422179,-1.672195357779467
all,12,TVWQRF_QRF_MEAN_INDEP,66,6.027866645853909,-1.5969294547979827
all,12,TVWQRF_QRF_MEDIAN_FULL,66,6.233421556862178,-3.4095609026744613
all,12,TVWQRF_QRF_MEDIAN_INDEP,66,6.301970141038617,-3.2522107258900284
all,12,TVWQRF_TVW3_FULL,66,5.9634382695724595,-1.5218012406570096
all,12,TVWQRF_TVW3_INDEP,66,6.048487343780659,-1.5736046720810286
origins_2024_on,1,F1b,30,0.3200338523678944,-0.01676869349717464
origins_2024_on,1,F2_D1_fixed,30,0.3134409619594481,0.014427230513349827
origins_2024_on,1,NAIVE_C,30,0.6314777539838675,0.3688836550331576
origins_2024_on,1,RW_C,30,1.0475555833081103,0.19758051628457488
origins_2024_on,1,TVWQRF_QRF_MEAN_FULL,30,0.4068050366560995,-0.005423700031831616
origins_2024_on,1,TVWQRF_QRF_MEAN_INDEP,30,0.4255837998365595,0.06714705354285971
origins_2024_on,1,TVWQRF_QRF_MEDIAN_FULL,30,0.4300348058821469,-0.059421059857944596
origins_2024_on,1,TVWQRF_QRF_MEDIAN_INDEP,30,0.4177527902929803,-0.021275919350366324
origins_2024_on,1,TVWQRF_TVW3_FULL,30,0.42521519356922155,-0.00863311969595847
origins_2024_on,1,TVWQRF_TVW3_INDEP,30,0.4268999590079946,-0.017920600189469473
origins_2024_on,2,F1b,29,0.4755975245774476,-0.011424882922396
origins_2024_on,2,F2_D1_fixed,29,0.4514779700960308,0.038716866556953514
origins_2024_on,2,NAIVE_C,29,1.0381681984466247,0.7504120188122626
origins_2024_on,2,RW_C,29,1.0613303469891653,0.19886739467861325
origins_2024_on,2,TVWQRF_QRF_MEAN_FULL,29,0.4652968232924712,0.06583095520289431
origins_2024_on,2,TVWQRF_QRF_MEAN_INDEP,29,0.5390224471388896,0.16531402804130513
origins_2024_on,2,TVWQRF_QRF_MEDIAN_FULL,29,0.4804722182820394,-0.08319666551596132
origins_2024_on,2,TVWQRF_QRF_MEDIAN_INDEP,29,0.496744650635588,-0.030031150299373664
origins_2024_on,2,TVWQRF_TVW3_FULL,29,0.4906851548663048,-0.01654543610927706
origins_2024_on,2,TVWQRF_TVW3_INDEP,29,0.535853041353981,-0.033970818744605266
origins_2024_on,3,F1b,28,0.5028805262649965,-0.009113802807356733
origins_2024_on,3,F2_D1_fixed,28,0.503061462520941,0.04503507713709298
origins_2024_on,3,NAIVE_C,28,1.4100513807677255,1.1211896995389214
origins_2024_on,3,RW_C,28,0.9157496146631232,0.1881758608670923
origins_2024_on,3,TVWQRF_QRF_MEAN_FULL,28,0.46284983881085623,0.05990948768308728
origins_2024_on,3,TVWQRF_QRF_MEAN_INDEP,28,0.5456340170534995,0.2012340796308099
origins_2024_on,3,TVWQRF_QRF_MEDIAN_FULL,28,0.5018477067164168,-0.14850095114460501
origins_2024_on,3,TVWQRF_QRF_MEDIAN_INDEP,28,0.511960195162714,-0.07920046320021203
origins_2024_on,3,TVWQRF_TVW3_FULL,28,0.501237092478715,-0.050566695821808304
origins_2024_on,3,TVWQRF_TVW3_INDEP,28,0.5422834834277639,-0.09039139731442376
origins_2024_on,4,F1b,27,0.4898111635985325,0.06700578000955505
origins_2024_on,4,F2_D1_fixed,27,0.5013731293539537,0.07047776652684277
origins_2024_on,4,NAIVE_C,27,1.7513797441257202,1.5162939160961078
origins_2024_on,4,RW_C,27,0.9753224536052869,0.2312572826620336
origins_2024_on,4,TVWQRF_QRF_MEAN_FULL,27,0.5822425985507699,0.052293628934537255
origins_2024_on,4,TVWQRF_QRF_MEAN_INDEP,27,0.6411375316046631,0.2065714567819705
origins_2024_on,4,TVWQRF_QRF_MEDIAN_FULL,27,0.6248785301595728,-0.20709289495743433
origins_2024_on,4,TVWQRF_QRF_MEDIAN_INDEP,27,0.5991558001188617,-0.12258204532303232
origins_2024_on,4,TVWQRF_TVW3_FULL,27,0.6381363117359161,-0.09954888183601526
origins_2024_on,4,TVWQRF_TVW3_INDEP,27,0.6331975514624772,-0.12521491645826938
origins_2024_on,5,F1b,26,0.5359331399568042,0.1401843489442692
origins_2024_on,5,F2_D1_fixed,26,0.5064150725087192,0.10176685494382803
origins_2024_on,5,NAIVE_C,26,2.103648788122787,1.9141644598630163
origins_2024_on,5,RW_C,26,1.1086213200098565,0.28682643396767643
origins_2024_on,5,TVWQRF_QRF_MEAN_FULL,26,0.5624910440409869,0.07491945594018337
origins_2024_on,5,TVWQRF_QRF_MEAN_INDEP,26,0.6627914892503963,0.2189082525568473
origins_2024_on,5,TVWQRF_QRF_MEDIAN_FULL,26,0.6257654742373496,-0.2622932033011263
origins_2024_on,5,TVWQRF_QRF_MEDIAN_INDEP,26,0.6330841936679606,-0.18973854604024679
origins_2024_on,5,TVWQRF_TVW3_FULL,26,0.670434379204245,-0.12126069682383796
origins_2024_on,5,TVWQRF_TVW3_INDEP,26,0.67928768205902,-0.1350395122653188
origins_2024_on,6,F1b,25,0.6175924528188314,0.192983916133797
origins_2024_on,6,F2_D1_fixed,25,0.5140507442100228,0.1369565496508823
origins_2024_on,6,NAIVE_C,25,2.482818095317517,2.3135137041570193
origins_2024_on,6,RW_C,25,1.1062083784832788,0.3116898821644445
origins_2024_on,6,TVWQRF_QRF_MEAN_FULL,25,0.508878321514892,0.10955844942728789
origins_2024_on,6,TVWQRF_QRF_MEAN_INDEP,25,0.6448830527295222,0.27507755041882953
origins_2024_on,6,TVWQRF_QRF_MEDIAN_FULL,25,0.6251360890293814,-0.31604402724499286
origins_2024_on,6,TVWQRF_QRF_MEDIAN_INDEP,25,0.6043403525286961,-0.20364885499835184
origins_2024_on,6,TVWQRF_TVW3_FULL,25,0.6916470481778476,-0.12705670685877168
origins_2024_on,6,TVWQRF_TVW3_INDEP,25,0.6904044060079966,-0.10627997605769121
origins_2024_on,7,F1b,24,0.7016968201078164,0.2686569697072784
origins_2024_on,7,F2_D1_fixed,24,0.517812315830471,0.17845911695644587
origins_2024_on,7,NAIVE_C,24,2.8631629343723373,2.7195837582177647
origins_2024_on,7,RW_C,24,1.11981458189668,0.32656339710937343
origins_2024_on,7,TVWQRF_QRF_MEAN_FULL,24,0.6061171469429101,0.14127320083500164
origins_2024_on,7,TVWQRF_QRF_MEAN_INDEP,24,0.7916178553316139,0.32838181311331904
