model,j,regressor,coefficient,standard_error,t,n,r2_uncentred
T1_CPI,0,cpi_news,0.8825206671078742,0.42922372739180614,2.0560854649637936,18,0.19915156946090562
T2_CPI_FX_OIL,0,cpi_news,0.5464148318718246,0.48401868239274337,1.1289126881851466,18,0.341382170863211
T2_CPI_FX_OIL,0,fx_news,0.10555525868618675,0.24291254408240964,0.4345401719985957,18,0.341382170863211
T2_CPI_FX_OIL,0,brent_news,0.04162349160371412,0.024645035594036822,1.688919922427925,18,0.341382170863211
T3_BLOCKS_FX_OIL,0,core_news,4.156585413752962,1.6640192601416453,2.4979190525710284,18,0.5157992380273162
T3_BLOCKS_FX_OIL,0,noncore_news,-0.1993776748702456,0.5429801299566996,-0.3671914751026803,18,0.5157992380273162
T3_BLOCKS_FX_OIL,0,fx_news,0.021770805500811025,0.2187939841513738,0.09950367504505414,18,0.5157992380273162
T3_BLOCKS_FX_OIL,0,brent_news,0.04493146686936691,0.021922480097124535,2.0495613028409294,18,0.5157992380273162
T1_CPI,1,cpi_news,1.0953032147034403,0.4911003229113446,2.230304407478813,18,0.22636749812471058
T2_CPI_FX_OIL,1,cpi_news,0.6619311057250542,0.5380584060214555,1.230221660543408,18,0.3994081195510025
T2_CPI_FX_OIL,1,fx_news,0.13809818881665709,0.2700332467033661,0.5114118002231005,18,0.3994081195510025
T2_CPI_FX_OIL,1,brent_news,0.053352148027621414,0.027396604822186706,1.947399992586491,18,0.3994081195510025
T3_BLOCKS_FX_OIL,1,core_news,4.650076999895705,1.8539522980137948,2.508196680614436,18,0.5564758579116078
T3_BLOCKS_FX_OIL,1,noncore_news,-0.1619439041136231,0.604956495289221,-0.2676951241530187,18,0.5564758579116078
T3_BLOCKS_FX_OIL,1,fx_news,0.04554172496322941,0.24376737663150894,0.18682452751695555,18,0.5564758579116078
T3_BLOCKS_FX_OIL,1,brent_news,0.057006459555154994,0.024424736736981076,2.333964135172949,18,0.5564758579116078
T1_CPI,2,cpi_news,1.2869721475903035,0.5563748477916644,2.3131386199402977,18,0.23939437040920397
T2_CPI_FX_OIL,2,cpi_news,0.8093928384640346,0.6158531479613398,1.314262728287368,18,0.3972943851979006
T2_CPI_FX_OIL,2,fx_news,0.1572701457460722,0.3090757865231786,0.5088400728999779,18,0.3972943851979006
T2_CPI_FX_OIL,2,brent_news,0.05798734085525799,0.031357720898655954,1.849220517098978,18,0.3972943851979006
T3_BLOCKS_FX_OIL,2,core_news,5.235352375625875,2.1443905206695697,2.441417421483087,18,0.5454745539670176
T3_BLOCKS_FX_OIL,2,noncore_news,-0.10492613430842164,0.6997283453870388,-0.14995267091886086,18,0.5454745539670176
T3_BLOCKS_FX_OIL,2,fx_news,0.05455294963827001,0.2819557182011201,0.1934805578206333,18,0.5454745539670176
T3_BLOCKS_FX_OIL,2,brent_news,0.06204281810865752,0.028251090378508918,2.196121186028789,18,0.5454745539670176
T1_CPI,3,cpi_news,0.3902224192437714,0.5860021662912999,0.665906103578793,18,0.025421084896639856
T2_CPI_FX_OIL,3,cpi_news,-0.1337221048808368,0.6468178601815101,-0.2067384237709696,18,0.2320924769101892
T2_CPI_FX_OIL,3,fx_news,0.19012955807257234,0.3246159243232272,0.5857061956185986,18,0.2320924769101892
T2_CPI_FX_OIL,3,brent_news,0.06082475398675672,0.03293436755008827,1.8468474882431345,18,0.2320924769101892
T3_BLOCKS_FX_OIL,3,core_news,4.517340769177674,2.2518032318533545,2.006099247605956,18,0.42109762659486716
T3_BLOCKS_FX_OIL,3,noncore_news,-1.0945431412241229,0.7347778002068154,-1.4896246741750303,18,0.42109762659486716
T3_BLOCKS_FX_OIL,3,fx_news,0.08218818777013578,0.2960789051084643,0.2775887993101951,18,0.42109762659486716
T3_BLOCKS_FX_OIL,3,brent_news,0.06508649192889145,0.029666189998752656,2.1939619456232187,18,0.42109762659486716
