scheme,model,j,n,rmse,zero_rmse,correlation,material_n,sign_hit_rate,rmse_vs_zero_pct
expanding,T0_ZERO,0,10,0.4409604067851021,0.4409604067851021,,0,,0.0
expanding,T0_ZERO,1,10,0.47149395243726167,0.47149395243726167,,0,,0.0
expanding,T0_ZERO,2,10,0.4881863517715669,0.4881863517715669,,0,,0.0
expanding,T0_ZERO,3,10,0.4905578789808571,0.4905578789808571,,0,,0.0
expanding,T1_CPI,0,10,0.39051242709664036,0.4409604067851021,0.46723717961592076,8,0.75,-11.440478308758252
expanding,T1_CPI,1,10,0.45862258615564205,0.47149395243726167,0.38166207949200565,8,0.625,-2.7299112141490944
expanding,T1_CPI,2,10,0.48407890606552234,0.4881863517715669,0.4121951296295434,9,0.6666666666666666,-0.8413684018693135
expanding,T1_CPI,3,10,0.5240577355390118,0.4905578789808571,-0.0881313067715253,5,0.4,6.8289304878256685
expanding,T2_CPI_FX_OIL,0,10,1.2464527867739357,0.4409604067851021,0.3689272513448739,8,0.625,182.6677333371979
expanding,T2_CPI_FX_OIL,1,10,1.5240760906595625,0.47149395243726167,0.4662717152673431,8,0.875,223.24403797360696
expanding,T2_CPI_FX_OIL,2,10,1.641804402758574,0.4881863517715669,0.4738694467836966,9,0.7777777777777778,236.30690346026108
expanding,T2_CPI_FX_OIL,3,10,1.7012599364112408,0.4905578789808571,0.5837415193551307,5,0.8,246.8010624853563
expanding,T3_BLOCKS_FX_OIL,0,10,1.3411800847834836,0.4409604067851021,0.3506609453873923,8,0.75,204.14977493366996
expanding,T3_BLOCKS_FX_OIL,1,10,1.5814591637588018,0.47149395243726167,0.4652639805312723,8,0.75,235.41451710756252
expanding,T3_BLOCKS_FX_OIL,2,10,1.7225380446249947,0.4881863517715669,0.49162515915529714,9,0.7777777777777778,252.8443673966142
expanding,T3_BLOCKS_FX_OIL,3,10,1.8021249033791087,0.4905578789808571,0.4358385702136245,5,0.6,267.36234002052026
leave_one_out,T0_ZERO,0,18,1.8736806296714759,1.8736806296714759,,0,,0.0
leave_one_out,T0_ZERO,1,18,2.1811718090581835,2.1811718090581835,,0,,0.0
leave_one_out,T0_ZERO,2,18,2.492153167467007,2.492153167467007,,0,,0.0
leave_one_out,T0_ZERO,3,18,2.3188770674787857,2.3188770674787857,,0,,0.0
leave_one_out,T1_CPI,0,18,2.3055435293000697,1.8736806296714759,0.13691845877224326,14,0.7857142857142857,23.04890667009325
leave_one_out,T1_CPI,1,18,2.578129674225454,2.1811718090581835,0.23127577952259706,14,0.6428571428571429,18.199293770382717
leave_one_out,T1_CPI,2,18,2.858472954191263,2.492153167467007,0.28532153769260676,15,0.6666666666666666,14.698927477903712
leave_one_out,T1_CPI,3,18,2.995493036895473,2.3188770674787857,-0.3107018712417639,12,0.25,29.178604545533005
leave_one_out,T2_CPI_FX_OIL,0,18,2.3113099044538368,1.8736806296714759,0.17634143577044767,14,0.6428571428571429,23.356663235563957
leave_one_out,T2_CPI_FX_OIL,1,18,2.5453269717350997,2.1811718090581835,0.29164097726999,14,0.7142857142857143,16.695391035434113
leave_one_out,T2_CPI_FX_OIL,2,18,2.8313295291585723,2.492153167467007,0.324587233923464,15,0.6666666666666666,13.609771908052505
leave_one_out,T2_CPI_FX_OIL,3,18,2.9370324198690057,2.3188770674787857,-0.023343354660080733,12,0.5833333333333334,26.657530106255845
leave_one_out,T3_BLOCKS_FX_OIL,0,18,2.3963135216256624,1.8736806296714759,0.3062826687775805,14,0.5714285714285714,27.8933818110626
leave_one_out,T3_BLOCKS_FX_OIL,1,18,2.612239985279809,2.1811718090581835,0.41063161396121856,14,0.6428571428571429,19.76314632489946
leave_one_out,T3_BLOCKS_FX_OIL,2,18,2.914418011957033,2.492153167467007,0.4298890403125683,15,0.6666666666666666,16.94377576797219
leave_one_out,T3_BLOCKS_FX_OIL,3,18,3.0155097564052005,2.3188770674787857,0.1383913685747807,12,0.4166666666666667,30.041811991518518
