month,ict_services
2015-01,100.3
2015-02,100.2
2015-03,100.2
2015-04,100.3
2015-05,100
2015-06,99.799999999999997
2015-07,99.799999999999997
2015-08,99.799999999999997
2015-09,99.900000000000006
2015-10,99.900000000000006
2015-11,99.900000000000006
2015-12,99.900000000000006
2016-01,99.799999999999997
2016-02,99.799999999999997
2016-03,99.799999999999997
2016-04,99.799999999999997
2016-05,99.799999999999997
2016-06,99.799999999999997
2016-07,100
2016-08,100.09999999999999
2016-09,100.3
2016-10,100.3
2016-11,99.400000000000006
2016-12,99.400000000000006
2017-01,99.5
2017-02,100.40000000000001
2017-03,100.40000000000001
2017-04,100.3
2017-05,100.2
2017-06,99.900000000000006
2017-07,99.599999999999994
2017-08,99.599999999999994
2017-09,99.5
2017-10,99.099999999999994
2017-11,99.099999999999994
2017-12,98.900000000000006
2018-01,98.900000000000006
2018-02,98.900000000000006
2018-03,98.900000000000006
2018-04,98.900000000000006
2018-05,98.799999999999997
2018-06,98.700000000000003
2018-07,98.599999999999994
2018-08,98.599999999999994
2018-09,98.599999999999994
2018-10,98.599999999999994
2018-11,98.599999999999994
2018-12,98.5
2019-01,98.299999999999997
2019-02,98.200000000000003
2019-03,98.200000000000003
2019-04,98.200000000000003
2019-05,98
2019-06,97.900000000000006
2019-07,97.700000000000003
2019-08,97.700000000000003
2019-09,97.599999999999994
2019-10,97.299999999999997
2019-11,95.700000000000003
2019-12,95.400000000000006
2020-01,95.5
2020-02,95.5
2020-03,94.900000000000006
2020-04,94.599999999999994
2020-05,95.099999999999994
2020-06,95.099999999999994
2020-07,95.099999999999994
2020-08,95
2020-09,95.299999999999997
2020-10,95.299999999999997
2020-11,95
2020-12,95
2021-01,95
2021-02,95
2021-03,95.200000000000003
2021-04,95.200000000000003
2021-05,95.200000000000003
2021-06,95.200000000000003
2021-07,94.900000000000006
2021-08,94.900000000000006
2021-09,94.900000000000006
2021-10,94.900000000000006
2021-11,94.799999999999997
2021-12,94.799999999999997
2022-01,94.900000000000006
2022-02,94.900000000000006
2022-03,95
2022-04,95
2022-05,95
2022-06,95
2022-07,95.099999999999994
2022-08,95.099999999999994
2022-09,95.5
2022-10,96.299999999999997
2022-11,96.400000000000006
2022-12,96.5
2023-01,96.5
2023-02,96.599999999999994
2023-03,97.200000000000003
2023-04,97.799999999999997
2023-05,97.799999999999997
2023-06,97.799999999999997
2023-07,98.599999999999994
2023-08,98.400000000000006
2023-09,98.400000000000006
2023-10,98.400000000000006
2023-11,98.400000000000006
2023-12,98.5
2024-01,98.5
2024-02,98.5
2024-03,98.700000000000003
2024-04,98.700000000000003
2024-05,98.799999999999997
2024-06,100.2
2024-07,100.09999999999999
2024-08,100.09999999999999
2024-09,100
2024-10,99.900000000000006
2024-11,99.799999999999997
2024-12,99.700000000000003
2025-01,100.09999999999999
2025-02,100.09999999999999
2025-03,100.2
2025-04,100.2
2025-05,101.2
2025-06,101.8
2025-07,101.8
2025-08,101.8
2025-09,101.8
2025-10,101.8
2025-11,101.8
2025-12,101.90000000000001
2026-01,101.59999999999999
2026-02,102.09999999999999
2026-03,102.5
2026-04,102.7
2026-05,102.59999999999999
2026-06,102.40000000000001
2026-07,102.40000000000001
