origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,original_yy
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,TVWQRF_TVW3_FULL,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,2.8136990211578414
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,TVWQRF_TVW3_FULL,0.2589031040612597,0.1863932898415576,2.969348659003822,3.1664528533978915,0.2585685273367247,0.186219793106462,3.1786224031545887
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,TVWQRF_TVW3_FULL,0.2910947035035389,0.0930232558139509,2.769818529130847,3.1687515073054526,0.5492403706252617,0.27919980910311465,3.182468561676497
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,TVWQRF_TVW3_FULL,0.2710772243396913,0.6505576208178487,2.9467680608364977,2.956396019265518,0.8199508432945007,0.9276504370292081,2.9704323687559073
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,TVWQRF_TVW3_FULL,0.2135528327813023,0.1846722068328699,2.7462121212121224,2.8134556379960407,1.033275976129358,1.112152334386138,2.7994561870216748
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,TVWQRF_TVW3_FULL,0.2215390180714647,0.3686635944700533,2.9300567107750517,2.861972217403515,1.2545699583514585,1.4801380302261995,2.832438686238479
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,TVWQRF_TVW3_FULL,0.0106952874968399,0.0918273645546419,2.9272898961284195,2.7840638788067005,1.2652646739432027,1.5719232592490955,2.7463231841787894
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,TVWQRF_TVW3_FULL,-0.1999985613206636,-0.5504587155963248,2.6515151515151705,2.864757103955167,1.0650658484383462,1.0199439368893146,2.832141197864206
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,TVWQRF_TVW3_FULL,0.262803479841549,0.4612546125461358,2.735849056603792,2.764461011456296,1.3275246037680677,1.4801380302262201,2.713322029579351
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,TVWQRF_TVW3_FULL,0.0438897161986467,0.2754820936639035,3.116147308781873,2.8952094103469492,1.3714046912480162,1.7552413674151996,2.855436045347791
