stage,family,band,origin,config,prediction,reference,absolute_difference,n_train,train_first,train_last
core,both,0,2019-02,l1,0.005676252722968265,0.005676252722968261,3.469446951953614e-18,103,2010-04,2018-10
signal,services,0,2019-02,l0.1,-0.1813398101300888,-0.18133981013008907,2.7755575615628914e-16,120,2008-11,2018-10
signal,services,0,2018-10,l0.1,0.09989317409418857,0.09989317409418855,2.7755575615628914e-17,120,2008-07,2018-06
signal,goods,0,2019-02,l10,-0.0008738716942307621,-0.000873871694230756,6.071532165918825e-18,120,2008-11,2018-10
signal,goods,0,2018-10,l10,-0.00012135321848668952,-0.0001213532184867222,3.268869550043796e-17,120,2008-07,2018-06
core,both,1,2019-02,l0.1,-0.005377134650844352,-0.00537713465084443,7.806255641895632e-17,97,2010-07,2018-07
signal,services,1,2019-02,l0.1,-0.4695188442105177,-0.46951884421051826,5.551115123125783e-16,120,2008-08,2018-07
signal,services,1,2018-07,l0.1,0.03044914947705393,0.030449149477052684,1.2455314557513475e-15,120,2008-01,2017-12
signal,goods,1,2019-02,l10,0.004257057408662946,0.004257057408662924,2.2551405187698492e-17,120,2008-08,2018-07
signal,goods,1,2018-07,l10,-0.0062174036300748385,-0.006217403630074841,2.6020852139652106e-18,120,2008-01,2017-12
core,both,2,2019-02,l0.1,-0.018284153183859134,-0.01828415318385912,1.3877787807814457e-17,91,2010-10,2018-04
signal,services,2,2019-02,l0.1,-0.9878274820503852,-0.987827482050386,7.771561172376096e-16,120,2008-05,2018-04
signal,services,2,2018-04,l0.1,-0.27574199315541076,-0.2757419931554108,5.551115123125783e-17,120,2007-07,2017-06
signal,goods,2,2019-02,l10,-0.010549207801469609,-0.010549207801469673,6.418476861114186e-17,120,2008-05,2018-04
signal,goods,2,2018-04,l10,0.0018605640089709313,0.0018605640089709398,8.456776945386935e-18,120,2007-07,2017-06
core,both,3,2019-02,l0.1,0.02411289339564722,0.024112893395647223,3.469446951953614e-18,85,2011-01,2018-01
signal,services,3,2019-02,l10,-0.34034274156380717,-0.34034274156380745,2.7755575615628914e-16,120,2008-02,2018-01
signal,services,3,2018-01,l0.1,-0.012283219173732172,-0.012283219173739314,7.141856550596515e-15,120,2007-01,2016-12
signal,goods,3,2019-02,l10,-0.02835210830522801,-0.028352108305228132,1.214306433183765e-16,120,2008-02,2018-01
signal,goods,3,2018-01,l10,-0.004924862069741178,-0.004924862069741215,3.729655473350135e-17,120,2007-01,2016-12
