metric,h,sample,model,n,rmse,mae,bias
headline_yy,3,full,STATE_FAST_R15,84,1.4591809877871644,0.971408578467714,-0.33066172217571593
headline_yy,3,full,STABLE_LOCAL_CORE_R14B,84,1.537322537940186,1.0295519869798235,-0.331055316529311
headline_yy,3,full,DAMPED_P95_Q001_R16,84,1.4387260776011894,0.9611615217245812,-0.3247589339317813
headline_yy,3,full,CORE_FEEDBACK_R21,84,1.4336305286229916,0.9600343558673743,-0.3284094283472571
headline_yy,3,full,PRESS_ULC_R23B,84,1.4647587699097275,0.9807491241355086,-0.3512035460614956
headline_yy,3,full,PRESS_DOMESTIC_R23B,84,1.4542484835890883,0.9764480784641475,-0.3462832599841224
headline_yy,3,full,PRESS_MOMENTUM_R23B,84,1.4711515280953156,0.9700251540484075,-0.3027833246886907
headline_yy,3,full,PRESS_JOINT_R23B,84,1.4721342505612927,0.9730759320776066,-0.3362496171282516
headline_yy,3,full,PRESS_SIGNED_R23B,84,1.474866870498294,0.9747994117472099,-0.3425507799405977
headline_yy,3,full,PRESS_LEVELS_R23B,84,1.4606726807390318,0.9791415654006824,-0.33037649854999057
headline_yy,3,origins_2024plus,STATE_FAST_R15,28,0.517777318612281,0.42599003845729394,0.07248483879918984
headline_yy,3,origins_2024plus,STABLE_LOCAL_CORE_R14B,28,0.47159282356793614,0.3848786757391532,0.0605671152096295
headline_yy,3,origins_2024plus,DAMPED_P95_Q001_R16,28,0.5138610726515732,0.4172012202972862,0.010040484419272102
headline_yy,3,origins_2024plus,CORE_FEEDBACK_R21,28,0.5320666159421003,0.43494748561365076,0.015828503370068175
headline_yy,3,origins_2024plus,PRESS_ULC_R23B,28,0.5579576081850647,0.4593484430156609,0.10337050880114997
headline_yy,3,origins_2024plus,PRESS_DOMESTIC_R23B,28,0.5581208449474123,0.45933142393431814,0.10480848785115347
headline_yy,3,origins_2024plus,PRESS_MOMENTUM_R23B,28,0.5151128699414285,0.423206837291464,0.04967008303082266
headline_yy,3,origins_2024plus,PRESS_JOINT_R23B,28,0.5513126855909815,0.4510567621349336,0.0774218605111691
headline_yy,3,origins_2024plus,PRESS_SIGNED_R23B,28,0.5497366653210748,0.44739952089557194,0.06354307703254497
headline_yy,3,origins_2024plus,PRESS_LEVELS_R23B,28,0.5621119476489596,0.4613471333680746,0.10355044687979884
headline_yy,6,full,STATE_FAST_R15,81,2.290294341334928,1.5080060139069908,-0.7517105337783887
headline_yy,6,full,STABLE_LOCAL_CORE_R14B,81,2.624251525066841,1.625896960643003,-0.7498792446195656
headline_yy,6,full,DAMPED_P95_Q001_R16,81,2.239464689623496,1.4707385976402392,-0.7348264543122262
headline_yy,6,full,CORE_FEEDBACK_R21,81,2.223374524632341,1.4748201211984067,-0.7481019032106734
