origin,model,status,n_train_1,n_train_2,band1_status,band2_status,band1_alpha,band2_alpha
2019-02,PRESS_ULC_R23B,estimated,31,30,no_correction_validated,nested_selected,,3.0
2019-02,PRESS_DOMESTIC_R23B,estimated,31,30,no_correction_validated,nested_selected,,3.0
2019-02,PRESS_MOMENTUM_R23B,estimated,31,30,no_correction_validated,nested_selected,,0.3
2019-02,PRESS_JOINT_R23B,estimated,31,30,no_correction_validated,nested_selected,,1.0
2019-02,PRESS_SIGNED_R23B,estimated,31,30,no_correction_validated,nested_selected,,3.0
2019-02,PRESS_LEVELS_R23B,estimated,31,30,no_correction_validated,nested_selected,,3.0
2019-03,PRESS_ULC_R23B,estimated,31,30,no_correction_validated,nested_selected,,3.0
2019-03,PRESS_DOMESTIC_R23B,estimated,31,30,no_correction_validated,nested_selected,,3.0
2019-03,PRESS_MOMENTUM_R23B,estimated,31,30,no_correction_validated,nested_selected,,0.3
2019-03,PRESS_JOINT_R23B,estimated,31,30,no_correction_validated,nested_selected,,1.0
2019-03,PRESS_SIGNED_R23B,estimated,31,30,no_correction_validated,nested_selected,,3.0
2019-03,PRESS_LEVELS_R23B,estimated,31,30,no_correction_validated,nested_selected,,3.0
2019-04,PRESS_ULC_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-04,PRESS_DOMESTIC_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-04,PRESS_MOMENTUM_R23B,estimated,32,31,no_correction_validated,nested_selected,,0.3
2019-04,PRESS_JOINT_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-04,PRESS_SIGNED_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-04,PRESS_LEVELS_R23B,estimated,32,31,no_correction_validated,nested_selected,,30.0
2019-05,PRESS_ULC_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-05,PRESS_DOMESTIC_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-05,PRESS_MOMENTUM_R23B,estimated,32,31,no_correction_validated,nested_selected,,0.3
2019-05,PRESS_JOINT_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-05,PRESS_SIGNED_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-05,PRESS_LEVELS_R23B,estimated,32,31,no_correction_validated,nested_selected,,30.0
2019-06,PRESS_ULC_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-06,PRESS_DOMESTIC_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-06,PRESS_MOMENTUM_R23B,estimated,32,31,no_correction_validated,nested_selected,,0.3
2019-06,PRESS_JOINT_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-06,PRESS_SIGNED_R23B,estimated,32,31,no_correction_validated,no_correction_validated,,
2019-06,PRESS_LEVELS_R23B,estimated,32,31,no_correction_validated,nested_selected,,30.0
