origin,as_of,feature,reference,last_publication,units,value,status
2010-07,2010-08-08 23:59:00,tightening,2010-06,2010-08-01T00:00:00,"negative unemployment change12, pp",-0.6000000000000005,available
2010-07,2010-08-08 23:59:00,import_gap,2010-05,,"relative price gap, log points",,missing_required_history
2010-07,2010-08-08 23:59:00,ppi_gap,2010-06,2010-07-26T00:00:00,"relative price gap, log points",0.019910674584309618,available
2010-07,2010-08-08 23:59:00,fx_news,2010-07,2010-08-01T00:00:00,FX log change since import reference,-1.4165154156227984,available
2010-07,2010-08-08 23:59:00,ulc_sameq,2010Q1,2010-06-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",2.6445529930672933,available
2010-07,2010-08-08 23:59:00,import_mom,2010-05,2010-07-15T00:00:00,"six-month import-price change less six-month core change, log points",7.135227517872958,available
2010-07,2010-08-08 23:59:00,ppi_mom,2010-06,2010-07-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",3.8329906404888354,available
2010-08,2010-09-08 23:59:00,tightening,2010-07,2010-09-01T00:00:00,"negative unemployment change12, pp",-0.2999999999999998,available
2010-08,2010-09-08 23:59:00,import_gap,2010-06,,"relative price gap, log points",,missing_required_history
2010-08,2010-09-08 23:59:00,ppi_gap,2010-07,2010-08-26T00:00:00,"relative price gap, log points",0.5485912374897453,available
2010-08,2010-09-08 23:59:00,fx_news,2010-08,2010-09-01T00:00:00,FX log change since import reference,-3.8473126102902038,available
2010-08,2010-09-08 23:59:00,ulc_sameq,2010Q1,2010-06-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",2.6445529930672933,available
2010-08,2010-09-08 23:59:00,import_mom,2010-06,2010-08-14T00:00:00,"six-month import-price change less six-month core change, log points",6.513636056085826,available
2010-08,2010-09-08 23:59:00,ppi_mom,2010-07,2010-08-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",2.7636033365166863,available
2010-09,2010-10-10 23:59:00,tightening,2010-08,2010-10-02T00:00:00,"negative unemployment change12, pp",0.3000000000000007,available
2010-09,2010-10-10 23:59:00,import_gap,2010-07,,"relative price gap, log points",,missing_required_history
2010-09,2010-10-10 23:59:00,ppi_gap,2010-08,2010-09-26T00:00:00,"relative price gap, log points",0.0983657638834643,available
2010-09,2010-10-10 23:59:00,fx_news,2010-09,2010-10-01T00:00:00,FX log change since import reference,-2.6184537048880845,available
2010-09,2010-10-10 23:59:00,ulc_sameq,2010Q2,2010-09-13T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",3.169793587181914,available
2010-09,2010-10-10 23:59:00,import_mom,2010-07,2010-09-14T00:00:00,"six-month import-price change less six-month core change, log points",3.825138206378344,available
2010-09,2010-10-10 23:59:00,ppi_mom,2010-08,2010-09-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",2.354638245723593,available
2010-10,2010-11-08 23:59:00,tightening,2010-09,2010-11-01T00:00:00,"negative unemployment change12, pp",0.5,available
2010-10,2010-11-08 23:59:00,import_gap,2010-08,,"relative price gap, log points",,missing_required_history
2010-10,2010-11-08 23:59:00,ppi_gap,2010-09,2010-10-26T00:00:00,"relative price gap, log points",0.5623683780860347,available
2010-10,2010-11-08 23:59:00,fx_news,2010-10,2010-11-01T00:00:00,FX log change since import reference,-1.1392092068304986,available
2010-10,2010-11-08 23:59:00,ulc_sameq,2010Q2,2010-09-13T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",3.169793587181971,available
2010-10,2010-11-08 23:59:00,import_mom,2010-08,2010-10-15T00:00:00,"six-month import-price change less six-month core change, log points",2.1070270765552124,available
2010-10,2010-11-08 23:59:00,ppi_mom,2010-09,2010-10-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",2.4675078271099755,available
