origin,h,target,mm_S_A,mm_S_M,mm_S_M25,mm_S_M75,mm_S_A_H,mm_S_M_H,mm_E1R,mm_E4,mm_E5,mm_E6,mm_E7,mm_F2R,mm_E1_ML,mm_E1_fixed,mm_E2_ML,mm_E2_fixed,mm_E3_ML,mm_E3_fixed,mm_real,mm_naive,mm_F3,h0_real,h0_model,mm_F2_D1_ML,mm_F2_D1_fixed,mm_F2_D1_noFMIE,mm_F2_D2_ML,mm_F2_D2_fixed,f2_level,f2_phi,f2_bias_m,mm_F1a,mm_F1b,tp,op,real_yy,yy_b_F1a,yy_a_F1a,yy_b_F1b,yy_a_F1b,yy_b_F2_D1_ML,yy_a_F2_D1_ML,yy_b_F2_D1_fixed,yy_a_F2_D1_fixed,yy_b_F2_D1_noFMIE,yy_a_F2_D1_noFMIE,yy_b_F2_D2_ML,yy_a_F2_D2_ML,yy_b_F2_D2_fixed,yy_a_F2_D2_fixed,yy_b_F3,yy_a_F3,yy_b_naive,yy_a_naive,yy_rw,fmie_1y,yy_b_E1_ML,yy_a_E1_ML,yy_b_E1_fixed,yy_a_E1_fixed,yy_b_E2_ML,yy_a_E2_ML,yy_b_E2_fixed,yy_a_E2_fixed,yy_b_E3_ML,yy_a_E3_ML,yy_b_E3_fixed,yy_a_E3_fixed,yy_b_E1R,yy_a_E1R,yy_b_E4,yy_a_E4,yy_b_E5,yy_a_E5,yy_b_E6,yy_a_E6,yy_b_E7,yy_a_E7,yy_b_F2R,yy_a_F2R,yy_b_S_A,yy_a_S_A,yy_b_S_M,yy_a_S_M,yy_b_S_M25,yy_a_S_M25,yy_b_S_M75,yy_a_S_M75,yy_b_S_A_H,yy_a_S_A_H,yy_b_S_M_H,yy_a_S_M_H
2008-01,1,2008-02,0.32753186605672446,0.2287345465205683,0.26313583944635893,0.2166808092197447,,,0.4251640770632111,0.2701020256376111,0.2702704248546348,0.2693914166635912,0.2700932740766235,0.3369907494813534,0.3594663799479795,0.2795702701881476,0.3142889341795358,0.2476709628158633,0.3145400008373215,0.2502680650813046,0.3337041156840969,0.2002999610392342,,2.978235967926701,,0.2482020067054038,0.2474823235055977,0.304529719061327,0.2507795935398629,0.2501778978421214,0.307577383863566,0.184243418382361,0.0679943295239522,,,2008-02,2008-01,7.637231503579972,,,,,7.545505494067031,,7.544733423426665,,7.605933433694685,,7.548270709537411,,7.547625214988164,,,,7.494116545315377,,5.434782608695668,3.7454545454545456,7.664869063929888,,7.57915712756463,,7.616403045140115,,7.544935794238036,,7.616672387533134,,7.5477219457137315,,7.735349051646587,,7.568999667121988,,7.569180324515906,,7.568237331241747,,7.568990278514198,,7.640757379216885,,7.630609961318627,,7.52462095145824,,7.561526395778389,,7.5116897941391,,,,,
2008-01,2,2008-03,0.15927937017388938,0.0746514058079163,0.11006505417090295,0.06092597302851077,,,0.164493552692183,0.0245672987940034,0.024584209275021,0.0245085317876805,0.0245664350606489,0.0874038043637009,0.2062021766953088,0.1339855728137861,0.1664215639184268,0.1096080845402242,0.1666255521716895,0.1120696378796068,-0.1108647450110966,0.0208502022394707,,2.978235967926701,,0.1070326269714843,0.1071132586160846,0.1635546389003108,0.1119542256286785,0.1120012230201899,0.307577383863566,0.184243418382361,0.0679943295239522,,,2008-03,2008-01,7.1343638525565,,,,,7.276569276377638,,7.2758855421927695,,7.3974501842677425,,7.284601789763345,,7.284008242006795,,,,7.132998265965394,,5.434782608695668,3.7454545454545456,7.502024252015203,,7.339029076956086,,7.410973786978676,,7.278760895082309,,7.411461357506524,,7.284178051783837,,7.527622997060934,,7.211614004044935,,7.211812186802505,,7.210791211803475,,7.211603720834771,,7.350529723930857,,7.4174938184360135,,7.2210433752543,,7.295800204857484,,7.193444921080329,,,,,
2008-01,3,2008-04,0.24906832714575716,0.17879185618213317,0.2155537099235239,0.1628511869539342,,,0.2848458818233293,0.1589038216351785,0.1589053163402009,0.1588995423640091,0.1589037460914587,0.2209395409123058,0.302969046460559,0.2407878086568419,0.267296170297768,0.2193524162846578,0.2674780446067979,0.221651151401919,0.3329633740288606,0.219407348802787,,2.978235967926701,,0.2188336859617941,0.2192136087986682,0.2751960367432268,0.2243221676572974,0.224574494173261,0.307577383863566,0.184243418382361,0.0679943295239522,,,2008-04,2008-01,6.729634002361296,,,,,6.749735095761309,,6.749459397852552,,6.930125290118967,,6.763574745625735,,6.763252868796589,,,,6.607479389783057,,5.434782608695668,3.7454545454545456,7.063889367599025,,6.835286566248265,,6.935164831847309,,6.752468496850803,,6.935844212536633,,6.760307786944717,,7.070034419734443,,6.621302191665397,,6.621500874368589,,6.620479374412808,,6.621291884657134,,6.825576956701456,,6.922214789124677,,6.6518527458843515,,6.765377234743076,,6.6074344914217376,,,,,
2008-01,4,2008-05,0.2833172065863745,0.2262288611585782,0.26398773951816545,0.20825072121684962,,,0.2697531781617243,0.1564060271773178,0.1564061365463181,0.1564058163201536,0.1564060207664379,0.2183001243900909,0.3364552607873919,0.2839682939844359,0.3043694239679568,0.2642649426944287,0.304532012597349,0.2664066078291827,0.4424778761061843,0.293703975041959,,2.978235967926701,,0.2666433190501741,0.2671025444104116,0.3229344952979195,0.2722570692234402,0.272554424006135,0.307577383863566,0.184243418382361,0.0679943295239522,,,2008-05,2008-01,6.82352941176471,,,,,6.656607746147916,,6.65682077915428,,6.896820352132349,,6.676407609490253,,6.676402340629098,,,,6.543223006933083,,5.434782608695668,3.7454545454545456,7.044967532994795,,6.760528442506579,,6.8820758025578925,,6.656808748266951,,6.88292809784231,,6.666919392128746,,6.979945619591909,,6.411165283955576,,6.41136369127995,,6.410343864346779,,6.411154990449865,,6.680922815875732,,6.846702137210378,,6.515860147104982,,6.669411006314194,,6.452400141764588,,,,,
2008-01,5,2008-06,0.3425976577645568,0.2982767304829831,0.3370228878343165,0.27811680352704615,,,0.3646229183825065,0.2626105400620386,0.2626105343992128,0.2626106086992594,0.2626105393301543,0.3244805484031718,0.4123281028997484,0.3685832490978917,0.3834544159537024,0.3502526977871734,0.3835997682581003,0.352246827271418,0.2202643171806295,0.2446324298026247,,2.978235967926701,,0.3555574318137469,0.3560351124251535,0.4118265734312823,0.3611974736829867,0.3615034686451793,0.307577383863566,0.184243418382361,0.0679943295239522,,,2008-06,2008-01,6.807511737089213,,,,,6.7845754169991865,,6.785296988598316,,7.085084958710319,,6.81040150701029,,6.810721889693543,,,,6.55314899042279,,5.434782608695668,3.7454545454545456,7.2340286553312785,,6.90249458561612,,7.040060875320315,,6.779132081618822,,7.04106942251541,,6.7913764046013165,,7.117976721226485,,6.440164773268735,,6.44036322865192,,6.4393432026698605,,6.440154476180828,,6.7758443783799365,,6.961083298957109,,6.582789138929517,,6.777669759818067,,6.497878909822975,,,,,
2008-01,6,2008-07,0.700220650414098,0.6671281616459395,0.7063006291126155,0.6452333924921212,,,0.6160806757655641,0.5242694529364635,0.5242694394308249,0.5242695329157547,0.52426945267218,0.5861354632618194,0.7570957955294637,0.7210799973205599,0.731110604115867,0.7039750796141415,0.7312405417346304,0.7058310958096288,0.5494505494505475,0.3406499535220142,,2.978235967926701,,0.7120905606712733,0.7125722532323637,0.7683537366283355,0.7177359419868656,0.7180434846871491,0.307577383863566,0.184243418382361,0.0679943295239522,,,2008-07,2008-01,6.8925233644860056,,,,,7.042431671232083,,7.043666958435948,,7.4036347934913636,,7.074321801918717,,7.074969929827901,,,,6.416514195070742,,5.434782608695668,3.7454545454545456,7.541005627294783,,7.170200608977423,,7.318797989017713,,7.028350045058238,,7.319947599194128,,7.042595749025367,,7.274274783198166,,6.4982064631908445,,6.498405012483227,,6.49738452932217,,6.498196160207957,,6.899818386850481,,7.206728915991631,,6.792459889618073,,7.029355874237285,,6.6841741196167455,,,,,
2008-01,7,2008-08,0.042441177577836886,0.01939479764770058,0.05861082123111372,-0.00393535509688081,,,0.1071115960629626,0.0244814042903039,0.0244813914748505,0.0244814779170081,0.0244814040822263,0.086346794132953,0.0928050986089465,0.0635755240301153,0.0694191352418287,0.0476041705116366,0.0695352875869962,0.049330966574439,-0.10928961748633,0.0663274446702755,,2.978235967926701,,0.0583940705253627,0.0588765995922833,0.1146557401665974,0.0640405120031704,0.0643483207167827,0.307577383863566,0.184243418382361,0.0679943295239522,,,2008-08,2008-01,6.402793946449383,,,,,6.730881277367573,,6.732627682135833,,7.1512491471429405,,6.768703364872921,,6.769678077883805,,,,6.115198489516692,,5.434782608695668,3.7454545454545456,7.264880842901134,,6.86381192029057,,7.0182338667948345,,6.705332715754254,,7.01950447658497,,6.721377377309011,,7.014128455468451,,6.152249806802701,,6.152447697512281,,6.151430621101516,,6.152239537067963,,6.6184601254191096,,6.87765748468385,,6.440134217550475,,6.718074714580381,,6.307403044312234,,,,,
2008-01,8,2008-09,-0.3824940995026744,-0.3959797625168089,-0.35677272663528253,-0.42076072174035656,,,-0.2698222050939997,-0.3441894616352647,-0.3441894732201636,-0.3441893948840951,-0.3441894618205131,-0.2823241317326602,-0.3232589972533822,-0.3465511474010035,-0.3443057710016042,-0.3614642215163978,-0.3442019462591708,-0.359858295310445,-0.2188183807439903,-0.5151465230978092,,2.978235967926701,,-0.3481342358189525,-0.3476515371443921,-0.2918729306969657,-0.3424875872289612,-0.3421797340227662,0.307577383863566,0.184243418382361,0.0679943295239522,,,2008-09,2008-01,6.542056074766384,,,,,6.732069146480571,,6.734332573261604,,7.212937664118896,,6.775941637572106,,6.777246262504367,,,,5.938532969068755,,5.434782608695668,3.7454545454545456,7.292850563274529,,6.866698946519896,,7.02353644864073,,6.692246645147312,,7.024918623526176,,6.710009212133944,,7.099418123049525,,6.157633378240918,,6.157831266645884,,6.156814222099918,,6.15762310778801,,6.690058370812192,,6.841995267769383,,6.390213526012792,,6.710011301090782,,6.23110828274723,,,,,
2008-01,9,2008-10,0.1177944631504182,0.11367443902625718,0.15294145237173867,0.08731461502848653,,,0.1628404803496395,0.0959098737281132,0.0959098632976513,0.0959099341766524,0.0959098735613621,0.1577752329449887,0.1918184578707918,0.1737067543802187,0.1728768889009074,0.159783991234657,0.1729696900306554,0.1612768828195841,0.0,0.2704797293971728,,2.978235967926701,,0.1755256268173555,0.176008359205245,0.2317868461944096,0.1811723153839579,0.1814801758920396,0.307577383863566,0.184243418382361,0.0679943295239522,,,2008-10,2008-01,5.923344947735218,,,,,6.298508775336231,,6.301275256849004,,6.837392958528167,,6.348197341827279,,6.349823556434499,,,,5.608204870816989,,5.434782608695668,3.7454545454545456,6.874391747693152,,6.430659209502713,,6.585973786261564,,6.242150466375926,,6.587449053725051,,6.261421912987787,,6.650858706686051,,5.6423790592264,,5.64257597613753,,5.641563942798113,,5.642368838446908,,6.237840723866568,,6.346665429119855,,5.8926203435322035,,6.252580907925448,,5.706419526693372,,,,,
2008-01,10,2008-11,0.12025258373102354,0.12422540813155458,0.1630939888681624,0.09671530995346012,,,0.0847188729989374,0.0244812588611486,0.0244812494732554,0.0244813135959421,0.0244812587109125,0.0863466583549136,0.1811394294219346,0.1675352096935807,0.1640924910573187,0.1545396236269949,0.1641754350431485,0.1559268311621564,-0.5482456140350922,0.2407669253058419,,2.978235967926701,,0.1725708108417669,0.1730535498332176,0.228832010450451,0.1782175070541283,0.1785253687441972,0.307577383863566,0.184243418382361,0.0679943295239522,,,2008-11,2008-01,4.372842347525896,,,,,5.501677867063761,,5.504932044163743,,6.096077132423507,,5.556943836208329,,5.5588823476580815,,,,4.887906263815847,,5.434782608695668,3.7454545454545456,6.082317280736186,,5.627527595354342,,5.778034485527933,,5.426761664566318,,5.779586164217308,,5.44734570261914,,5.758554233172164,,4.695461513306015,,4.695656655340863,,4.694653760403112,,4.695451383982463,,5.35070520816532,,5.494347049678635,,5.048109120312492,,5.446117612919964,,4.834581055558319,,,,,
