model,n,coverage,mean_width,mean_interval_score
HARD_BASE,66,0.8787878787878788,1.2012743472912526,2.2839530492525957
HARD_FULL,66,0.8636363636363636,1.2519983732705346,2.2661980503840486
HARD_HALF,66,0.8787878787878788,1.2510879093007405,2.2908874655255227
SENTIMENT_BASE,66,0.8939393939393939,1.2196700794385307,2.2896431485697084
