model,RMSE,MAE,dir_corr,DM_vs_AR3,DM_pval
TVW_QRF_WIDERAW_MF1,0.5332331073293783,0.30669015192434146,0.22683003118666242,-2.209166961476532,0.02846884155988061
TVW_QRF_WIDERAW,0.5532449773436476,0.31234765782528706,0.1544169903934952,-2.1342566615092133,0.03422205442842752
TVW_QRF,0.5591798232937251,0.327539205161757,0.09730158116449994,-2.1435957005718356,0.033454031458263644
TVW_QRF_sqPCA,0.5873995254223514,0.32243827719188095,0.12634501580590649,-2.2591501245569114,0.025114982032622413
ENSEMBLE,0.6591786271596694,0.37340344671595727,-0.05509049756170596,-1.8719570221952615,0.06289065909789193
ARIMA313,0.67860818101111,0.37432521843550837,0.21859839618557356,-1.1838471282253686,0.23808833281575548
TVW_QRF_RAW,0.6888624200554317,0.3820498718430231,-0.04336548012448416,-1.0849917365215633,0.279479817233633
AR3,0.718623331411761,0.42153714482460647,-0.2814324640445626,,
BVAR,0.7252831924895857,0.4026370972742012,-0.0020534391739299874,0.33576814996933696,0.7374502295495469
RW,0.9514839645853584,0.5522716153168128,-0.2757411539687599,2.1803268115301195,0.030575898254594502
