origin,model,level,gap,phi,rho,gamma,sd_eta,sd_eps,sd_e,n,status
2019-02,TARGET_ML,0.1641042037117466,-0.04975817312774807,0.5279621582385987,0.9810626184494481,[],0.006327130389805053,0.2904964453855468,0.48968587717791334,336,converged
2019-02,TARGET_FX_ML,0.16684457061652572,-0.05269456467133064,0.5292075669983428,0.9813231073532335,[0.0033266030562662504],0.00011548639089336226,0.28963257150025984,0.49015635920016304,336,converged
2019-02,TARGET_U_FX_ML,0.16706965858160272,-0.06405877751058592,0.5300094455751304,0.9817034396381039,"[-0.10190742158467761, 0.0040610294431289344]",8.933201176430439e-05,0.2873448285750433,0.49127474894251233,336,converged
2019-03,TARGET_ML,0.16426013344144147,-0.01356933451841887,0.5278661558836845,0.9810588608182886,[],0.006249531367710142,0.29012230456352545,0.4889113962424479,337,converged
2019-03,TARGET_FX_ML,0.16681677449859678,-0.011887097133223518,0.5290952209555256,0.9813288880378369,[0.003328840539148116],5.217369243127478e-05,0.28931486762265873,0.4893419218922296,337,converged
2019-03,TARGET_U_FX_ML,0.16703733820493735,-0.007530598481060167,0.5299454263491211,0.9817082581643458,"[-0.1022550443179231, 0.004069113351527249]",0.00010092473352803472,0.2869169082621988,0.4905355808783023,337,converged
2019-04,TARGET_ML,0.16477350628572027,0.04470785750857317,0.5278262229340113,0.9810384527134444,[],0.006000969013496124,0.2898497940319702,0.4882080349779392,338,converged
2019-04,TARGET_FX_ML,0.16679042533770586,0.04620500741487608,0.5290671428937517,0.9813374803072222,[0.0033435159673705253],3.605251556452043e-05,0.28887252885076053,0.48869706213169506,338,converged
2019-04,TARGET_U_FX_ML,0.16701747417245463,0.05822745528104234,0.5309933479654739,0.9817336629393505,"[-0.10425016356383043, 0.004054532480972029]",7.090541262410119e-43,0.2857402936782084,0.48921295898793293,338,converged_retry
2019-05,TARGET_ML,0.16441225184333233,-0.01319818549575523,0.5282662972053843,0.9810618117465898,[],0.0061898284410518796,0.28872599874362453,0.4877756107633168,339,converged
2019-05,TARGET_FX_ML,0.166760024319281,-0.011406726917393663,0.5295020578925133,0.9813385725673442,[0.0033333299466926677],5.863264598608392e-05,0.2878488081624747,0.4882240155556043,339,converged
2019-05,TARGET_U_FX_ML,0.16695070543345333,-0.012772928668441014,0.5303754714888826,0.9817167484389635,"[-0.10391986259134023, 0.004082871686872719]",0.0005237384278423676,0.28539820908468405,0.4894065164129199,339,converged
2019-06,TARGET_ML,0.16558905011114694,0.12650667487156975,0.5272799979223355,0.9810014119845762,[],0.005503320004776085,0.28946140218373817,0.4881495268536339,340,converged
2019-06,TARGET_FX_ML,0.16674680204525352,0.129892172275638,0.528633694014119,0.9813719348946857,[0.0034040130666137818],0.00011051990176065106,0.2880587247238864,0.4888308078136971,340,converged
2019-06,TARGET_U_FX_ML,0.16694950039284048,0.11924191293997263,0.5293149108806618,0.9817312030199518,"[-0.10015927731949816, 0.004132116572935283]",6.472280882575006e-05,0.2858872180909816,0.48990356065712554,340,converged
2019-07,TARGET_ML,0.16550279759962488,0.055298849939479554,0.5272334842489805,0.9810046288717907,[],0.005537569824187421,0.28886667645642455,0.4875929394662765,341,converged
2019-07,TARGET_FX_ML,0.16670990151075868,0.05869968175508127,0.5283221156851564,0.9813561864863346,[0.0033993842096853425],9.119715802726705e-05,0.28770123725302854,0.4881324451758831,341,converged
2019-07,TARGET_U_FX_ML,0.1669033566645013,0.05510826362974201,0.5293332044507708,0.9817503595920537,"[-0.10582470928594186, 0.004162754028612533]",0.0006411280989611803,0.2850271955460484,0.48949906426439815,341,converged
