model,RMSE,MAE,dir_corr,DM_vs_AR3,DM_pval
AR3,0.6252298059126864,0.39460470833571687,0.29067361268943076,,
ENSEMBLE,0.6286523745799313,0.37860503504942283,0.32219953181854727,0.23691148736639134,0.813004145754114
TVW_QRF_sqPCA,0.6378179497179847,0.3730643242881029,0.2977159574786588,0.34869563708067125,0.7277393830514254
TVW_QRF,0.6504821129261958,0.3816446174294641,0.25985507894683785,0.6342459277477452,0.5267533006884118
TVW_QRF_WIDERAW,0.6659597401956373,0.3929052558856529,0.3902877284942529,0.8900946793095499,0.37464406585849286
TVW_QRF_RAW,0.6802783433874455,0.41221889185367505,0.371306882056849,1.1742863390506897,0.24194223272604254
TVW_QRF_WIDERAW_MF1,0.6904980805688802,0.40240370915466306,0.30728760022848484,1.0702987734338236,0.2859672653786791
RW,0.6957156221337072,0.42220415525559735,0.3055223133467823,0.6774090796856103,0.4990461305341489
ARIMA313,0.7059843608557616,0.41041947477579244,0.37412203568024255,1.3290990273023957,0.1855554341884953
BVAR,0.7493989406668721,0.4129871608222064,0.0800417888282743,1.3265874620469178,0.1863836264011891
