h,n_targets,n_common,model_log,nowcast_naive_log,naive_log,rw_log,model_pct,nowcast_naive_pct,naive_pct,rw_pct,cum_mm_model,cum_mm_naive,var_share_base,var_share_fut,var_share_2cov,mm_rmse_model,mm_rmse_naive,n_mm
0,90,90,0.41820709406663564,0.41820709406663564,0.8372105231522958,0.8992398294430898,0.4698811118556691,0.4698811118556691,0.9249341732010059,0.9822087386232027,0.41820709406663564,0.8372105231522957,0.8866971161576538,0.040346633703511735,0.07295625013883456,0.42098247604639977,0.8536641592890899,90
1,89,88,0.8237335863252787,0.9387588856972556,1.3511768746161068,1.4376582622755576,0.9254591162845481,1.0360192458059474,1.4846719070385739,1.5709723518952163,0.8237335863252786,1.3511768746161068,0.7727282126467795,0.08917394882703748,0.1380978385261829,0.6981530664601164,0.8630183210295119,88
2,88,86,1.183671740397481,1.470604464199209,1.8829831621311839,2.0000606741950944,1.331855852960346,1.6193565112320643,2.067776071098336,2.192540598023902,1.183671740397481,1.8829831621311839,0.6658005705627811,0.1530288927955809,0.18117053664163807,0.6993118515770397,0.8713253205463035,86
3,87,84,1.4382643504902661,1.9320994718377036,2.3380034735847812,2.4559478792003304,1.610782344580722,2.118056528572953,2.560634536727581,2.697010642247087,1.4382643504902661,2.3380034735847812,0.5617032187023647,0.21921393276194523,0.21908284853569,0.8085395069730646,0.8814742559905393,84
4,86,82,1.7484627735952596,2.3989545446702407,2.81092430707731,2.943295731231616,1.9563156747341117,2.626277535851768,3.0743926438610862,3.232792403033034,1.7484627735952598,2.8109243070773093,0.459687579171924,0.2893350087497222,0.25097741207835367,0.8060201745385271,0.8912187832410196,82
5,85,80,2.105590691767068,2.889079250998655,3.3018124442954995,3.4309270512448604,2.350057775240923,3.1592770305317823,3.6053459097937886,3.766365784539154,2.105590691767068,3.3018124442954995,0.36440524627367404,0.36602937153777115,0.26956538218855475,0.8496213236229332,0.9015611525353857,80
6,84,78,2.4565492026566536,3.382078658005006,3.799935925682772,3.9240384626438587,2.7203162171935347,3.6924440855514487,4.143302612532838,4.305620003577593,2.4565492026566536,3.7999359256827714,0.28820794733206945,0.46273334368226526,0.24905870898566507,0.8673612509893863,0.9094385330386442,78
7,83,76,2.9522138896498933,3.89343450751722,4.289050792619611,4.4119553647383345,3.264592689272411,4.245138283382115,4.67127327349068,4.839246080128419,2.9522138896498933,4.289050792619612,0.21785821960578733,0.5683513144017196,0.21379046599249318,0.9556523752867288,0.9211798651890799,76
8,82,74,3.330248652132211,4.387994505155308,4.790047062741179,4.901393952008848,3.6512713988349024,4.779368409340728,5.210669145164033,5.375424357442972,3.330248652132211,4.790047062741179,0.15388431554361245,0.6736972548320906,0.17241842962429693,0.8938513761512066,0.9321273987025073,74
9,81,72,3.9065317599445333,4.910950617138435,5.278376976074561,5.396065234462119,4.278319676045719,5.34242184118012,5.7332937585303725,5.916335565450812,3.9065317599445333,5.278376976074561,0.08951058899344669,0.7829834884302906,0.12750592257626275,0.9367056934457685,0.9430342812481813,72
10,80,70,4.489373335254099,5.42084452522572,5.790752328757911,5.884091923605035,4.911253486864439,5.887432261127676,6.278563389203036,6.448503630576519,4.489373335254099,5.790752328757911,0.04045232719838215,0.8947461372866272,0.06480153551499063,0.9298900730434921,0.9555541970701167,70
11,79,68,4.995752751919671,5.949682117093466,6.302650500143758,6.361431280495076,5.457770236586333,6.449665156198995,6.8204146649937565,6.968876914861184,4.995752751919671,6.302650500143758,0.0,1.0,0.0,0.9027085075448624,0.9693203758070632,68
12,78,66,5.43958658359452,6.4611544256407925,6.4611544256407925,6.782420884969252,5.931290109638816,6.990062293675042,6.990062293675042,7.426570296101707,5.43958658359452,6.4611544256407925,0.0,1.0,0.0,0.9854599419468892,1.0264652329632402,66
