table,obj,h,n,naive,rw,S_A,bias_S_A,S_M,bias_S_M,S_M25,bias_S_M25,S_M75,bias_S_M75,E1_ML,bias_E1_ML,E5,bias_E5,E7,bias_E7,F2_D1_fixed,bias_F2_D1_fixed,F1b,bias_F1b,S_A_H,bias_S_A_H,S_M_H,bias_S_M_H
LONG SPAN 2008-01..2026-07,b,1,222,0.6332964207348541,1.1014760688395024,0.5792973423980384,-0.013262226486853287,0.6269836667882493,-0.08695478984379995,0.6332783629821706,-0.07577274834364044,0.6233896645136868,-0.09284540716066435,0.572014120991185,-0.013891763953891573,0.5723122939853575,-0.03681953043403568,0.5919475278594343,-0.008275902730178515,0.5701431296201116,-0.09493262250258853,,,,,,
LONG SPAN 2008-01..2026-07,b,3,220,1.3669374421395235,1.8281777610578178,1.2403335803412714,-0.048048856283344835,1.3917158026476066,-0.2554583288990586,1.4161836018052125,-0.22183519136017224,1.377359767429895,-0.27394151039045467,1.216758918351673,-0.053281555467832954,1.2162437620837778,-0.12177898442890848,1.2969924918005145,-0.03473214846710322,1.2057353309765193,-0.29492430306146084,,,,,,
LONG SPAN 2008-01..2026-07,b,6,217,2.2976811117887457,2.801351745242859,2.07780542449094,-0.1031585323508018,2.408381741178529,-0.48907786223893335,2.465609272249208,-0.42241582710167114,2.3731925488081598,-0.5279446085078737,2.0223657314837826,-0.12664934795287228,1.996781732648526,-0.2569615230770697,2.17925978680529,-0.07838003871543114,2.023974769736593,-0.5961962486129019,,,,,,
LONG SPAN 2008-01..2026-07,b,9,214,3.20644828205988,3.7135507302958897,3.0262964892149435,-0.18456690143971835,3.4162816866466685,-0.7111990710957731,3.4990855802290906,-0.613870135970426,3.364762659651658,-0.7710048274463154,2.94654192476417,-0.23934881436108887,2.8840637833599327,-0.41767209299501806,3.1414739372262406,-0.14658753925152362,2.9309827671335937,-0.904469367640098,,,,,,
LONG SPAN 2008-01..2026-07,b,12,211,4.093597443989172,4.472970319336139,4.041836397955288,-0.299917484409092,4.348273756357767,-0.9413004173405981,4.450822843718269,-0.817777191375555,4.28390779713471,-1.020736749762136,3.955208356516943,-0.3945561922177701,3.828848138459607,-0.612268009047398,4.182361798432718,-0.2507071839518118,3.839250809415117,-1.2322211790005606,,,,,,
COMPONENT SPAN 2019-02..2026-07 (b),b,1,84,0.9529163476447362,1.6041817110843999,0.8349806236194158,-0.09414074663643096,0.9149264403075311,-0.32509630201801804,,,,,,,,,0.8713076138639442,-0.0634273363943853,0.832902454668172,-0.23678816487358834,0.784845090523422,-0.12131488031288391,0.7848450905234219,-0.12131488031288397,0.7848450905234219,-0.12131488031288397
COMPONENT SPAN 2019-02..2026-07 (b),b,3,84,2.0945116103044437,2.697010642247087,1.8293883789305272,-0.3047537718761396,2.0656202276368947,-0.9600778723566039,,,,,,,,,1.9672569862268017,-0.20685384514869304,1.83051518360742,-0.7164469208180193,1.5564864775582956,-0.3369584376813826,1.5564864775582954,-0.3369584376813826,1.5564864775582954,-0.3369584376813826
COMPONENT SPAN 2019-02..2026-07 (b),b,6,78,3.65237982726404,4.305620003577593,3.211641076233067,-0.6935664439486852,3.7204551183387498,-2.0065865685283577,,,,,,,,,3.4899424864094146,-0.46728247667953965,3.2537184893830706,-1.5018573546656433,2.5721594600213993,-0.8332803042876396,2.6594761106871974,-0.7765131374388153,2.800918165612923,-1.3682965481180085
COMPONENT SPAN 2019-02..2026-07 (b),b,9,72,5.278392321188259,5.916335565450812,4.8570032008784265,-1.2239022663822492,5.460751224394626,-3.172994191191533,,,,,,,,,5.228952436404242,-0.8105753578097971,4.887475454748254,-2.3689589342454442,4.053826134192116,-1.4470131653850111,4.126760336566726,-1.2910283803331732,4.501787856530432,-2.4747786678688826
COMPONENT SPAN 2019-02..2026-07 (b),b,12,66,6.990062293675042,7.426570296101707,6.803097015144659,-1.9831480160800583,7.237198488739271,-4.568598582945917,,,,,,,,,7.268906515480363,-1.3332930801252443,6.664483091120692,-3.422090199965882,5.7880222439845745,-2.3615329336577395,6.077968243783486,-2.065907431370682,6.396012041235883,-3.81836422128421
COMPONENT SPAN 2019-02..2026-07 (a),a,1,84,0.9529163476447362,1.6041817110843999,0.9703943501242265,-0.14016099886859787,1.0217991209264952,-0.37127041293141455,,,,,,,,,1.0085840507668287,-0.10938672748657445,0.9581870313994703,-0.2828878588362109,0.9429438916139287,-0.16720361179687712,0.9429438916139288,-0.16720361179687698,0.9429438916139288,-0.16720361179687698
COMPONENT SPAN 2019-02..2026-07 (a),a,3,84,2.0945116103044437,2.697010642247087,1.8821462423191295,-0.3511919895621812,2.0893479818946243,-1.006958414483869,,,,,,,,,2.0282175560709845,-0.2530817399160758,1.8668559350088274,-0.7631506095869858,1.6107823445807217,-0.383501555630929,1.610782344580722,-0.383501555630929,1.610782344580722,-0.383501555630929
COMPONENT SPAN 2019-02..2026-07 (a),a,6,78,3.65237982726404,4.305620003577593,3.2945331957091364,-0.7389354384396849,3.764253707101026,-2.0529091293916286,,,,,,,,,3.579098623766245,-0.5122505266823134,3.312656441230511,-1.5478885811300584,2.68040067060324,-0.8785035046814702,2.725098017963526,-0.8227186586349211,2.8715973339546275,-1.4142663070011525
COMPONENT SPAN 2019-02..2026-07 (a),a,9,72,5.278392321188259,5.916335565450812,4.9579771519708125,-1.2746110649743334,5.520989378108813,-3.225182226970365,,,,,,,,,5.334960696985947,-0.8607215148528466,4.96237959645715,-2.420746473490174,4.1828563717260945,-1.4973482174345814,4.206154968479483,-1.3432122720593223,4.582953965891299,-2.5265789878354346
