model,omitted_period,n,reference_rmse,candidate_rmse,relative_rmse_gain
NO_PROXY,2019-02,89,0.42010764304855075,0.4181106456463925,0.00475353742118767
NO_PROXY,2019-03,89,0.42015789426432565,0.4181750691670519,0.004719237992054315
NO_PROXY,2019-04,89,0.4191897467031229,0.41717254300044526,0.004812149434815005
NO_PROXY,2019-05,89,0.41727233915900896,0.4153479044509045,0.004611939319972724
NO_PROXY,2019-06,89,0.42021602694934274,0.4182365849709462,0.004710534228708041
NO_PROXY,2019-07,89,0.4202764413014783,0.4182975097132374,0.004708642678406316
NO_PROXY,2019-08,89,0.4202826410962219,0.41830401248297244,0.004707852335011031
NO_PROXY,2019-09,89,0.4191792942090844,0.41719948352426295,0.0047230641211822855
NO_PROXY,2019-10,89,0.4193131567915026,0.41750700675007774,0.004307401311337666
NO_PROXY,2019-11,89,0.42003200305762134,0.4180512924100462,0.004715618412779454
NO_PROXY,2019-12,89,0.4198359660795065,0.4178812451790745,0.0046559157822649855
NO_PROXY,2020-01,89,0.4153072380969587,0.41343461516427404,0.004509006251047887
NO_PROXY,2020-02,89,0.420292995648092,0.41830935892899496,0.004719652098979954
NO_PROXY,2020-03,89,0.4199418369230324,0.4179473681912582,0.004749392788267803
NO_PROXY,2020-04,89,0.42010818755208623,0.41812605643573725,0.0047181444567853115
NO_PROXY,2020-05,89,0.41961905071812056,0.4176303655141159,0.004739263388068959
NO_PROXY,2020-06,89,0.41941529755146656,0.417433161426943,0.004725950951467994
NO_PROXY,2020-07,89,0.420191960990069,0.4181987592487818,0.004743550392041662
NO_PROXY,2020-08,89,0.42027835601570396,0.41829576324634793,0.00471733255110085
NO_PROXY,2020-09,89,0.41964148139724305,0.4176560780731096,0.004731189389387436
NO_PROXY,2020-10,89,0.420289414171003,0.4183072403722984,0.004716211572005302
NO_PROXY,2020-11,89,0.420055829932072,0.4180644793574786,0.004740680720740076
NO_PROXY,2020-12,89,0.41841515193065487,0.41640021184012044,0.004815648002317929
NO_PROXY,2021-01,89,0.41731184857448544,0.41536803410108586,0.00465794220806226
NO_PROXY,2021-02,89,0.41959286260200945,0.4176536731467295,0.0046215978109219735
NO_PROXY,2021-03,89,0.42026211719812856,0.41827984468186996,0.004716752795789314
NO_PROXY,2021-04,89,0.4194966426390018,0.4175147909892514,0.0047243564031473895
NO_PROXY,2021-05,89,0.418478792189829,0.4164962056021509,0.004737603493126907
NO_PROXY,2021-06,89,0.41990504035221954,0.41791869511841573,0.004730462944997349
NO_PROXY,2021-07,89,0.4186008172488332,0.41659470696394024,0.0047924184622420984
NO_PROXY,2021-08,89,0.41725988958381316,0.41524893184019657,0.004819436983560466
NO_PROXY,2021-09,89,0.41888748555452116,0.41682633515920386,0.004920534669563437
NO_PROXY,2021-10,89,0.4192713829259161,0.41723890862244023,0.004847634220327857
NO_PROXY,2021-11,89,0.4171715165934454,0.4150191178451558,0.0051595055335170725
NO_PROXY,2021-12,89,0.418449773071089,0.41654488911140225,0.004552240393647211
NO_PROXY,2022-01,89,0.42028664184132264,0.41830448248442703,0.004716208319663795
NO_PROXY,2022-02,89,0.4177726884456281,0.4156562485632587,0.005066008240614872
NO_PROXY,2022-03,89,0.41318906156425267,0.4114385390818869,0.004236613805163825
NO_PROXY,2022-04,89,0.40505029957815597,0.402730200688774,0.0057279278445127035
NO_PROXY,2022-05,89,0.42028303729749306,0.4182991750159726,0.004720300619975304
NO_PROXY,2022-06,89,0.41972132938710377,0.4175703007286889,0.0051248971825089695
NO_PROXY,2022-07,89,0.42015437495609564,0.41816564696997793,0.004733326854743591
NO_PROXY,2022-08,89,0.41958006947636056,0.41761998450520516,0.004671539745921716
NO_PROXY,2022-09,89,0.4148180674485476,0.4128769647733585,0.004679407257085932
NO_PROXY,2022-10,89,0.3197867130986118,0.3197941730191634,-2.3327800205752425e-05
NO_PROXY,2022-11,89,0.4176796041592494,0.41561708199989783,0.004938048539629314
NO_PROXY,2022-12,89,0.42026290267664757,0.41827256393446594,0.004735937265709644
NO_PROXY,2023-01,89,0.40296262658064075,0.40091918447415476,0.0050710462253676925
NO_PROXY,2023-02,89,0.420229966958315,0.41827685601670445,0.004647719332696476
NO_PROXY,2023-03,89,0.41979672494912573,0.4177898916311715,0.0047804882665472
NO_PROXY,2023-04,89,0.4124151509251561,0.41028827703319065,0.005157118712041386
NO_PROXY,2023-05,89,0.42022561058940905,0.4182467212873653,0.00470911161094667
NO_PROXY,2023-06,89,0.4193536090330634,0.41732395564429187,0.004839956888534891
NO_PROXY,2023-07,89,0.42011981356151445,0.41809783611628915,0.004812859046290252
NO_PROXY,2023-08,89,0.41928378705852537,0.4174252851315248,0.004432563300476811
NO_PROXY,2023-09,89,0.41756412389983394,0.4156389346149437,0.004610523688936552
NO_PROXY,2023-10,89,0.4198071689241805,0.41780230616243175,0.004775675381834321
NO_PROXY,2023-11,89,0.42027000101879836,0.41827375559451085,0.004749911769691639
NO_PROXY,2023-12,89,0.4193395441318545,0.4174147388398276,0.004590087719992475
NO_PROXY,2024-01,89,0.41595694214914314,0.4139016596746162,0.004941094296702531
NO_PROXY,2024-02,89,0.4202814927893528,0.41830279778332224,0.004708023170133413
NO_PROXY,2024-03,89,0.4202111139340466,0.41822709602509134,0.004721478902308673
NO_PROXY,2024-04,89,0.4199312270072481,0.417948655759899,0.004721180802576774
NO_PROXY,2024-05,89,0.41971443640140027,0.417722221107875,0.004746597021075494
NO_PROXY,2024-06,89,0.41865646479744106,0.41666331316417526,0.004760828509432269
NO_PROXY,2024-07,89,0.41707110644856454,0.4150692461700408,0.004799805710757443
NO_PROXY,2024-08,89,0.41960256515271627,0.4176178294387857,0.0047300371321805645
NO_PROXY,2024-09,89,0.4202362496091427,0.4182522941338275,0.004721047927589428
NO_PROXY,2024-10,89,0.42021136638472745,0.41824559555390395,0.004678052494714535
NO_PROXY,2024-11,89,0.4202801526412135,0.4182974232224425,0.004717637524186413
NO_PROXY,2024-12,89,0.41905396025863934,0.41705804731048873,0.004762902006507086
NO_PROXY,2025-01,89,0.4198793093534417,0.41790162383835405,0.00471012853225139
NO_PROXY,2025-02,89,0.42007624200847327,0.41809594235459807,0.004714143424076944
NO_PROXY,2025-03,89,0.42021975116470384,0.4182329972239896,0.004727892811338896
NO_PROXY,2025-04,89,0.4191768916386103,0.41718718935775545,0.004746688857481862
NO_PROXY,2025-05,89,0.4195326494018781,0.4175458069624751,0.004735847000789106
NO_PROXY,2025-06,89,0.4201942480003772,0.4182093070824086,0.004723865039596653
NO_PROXY,2025-07,89,0.4202890302486624,0.4183066556369979,0.004716693677423778
NO_PROXY,2025-08,89,0.42028628724075384,0.41830333457885266,0.0047180998336148194
NO_PROXY,2025-09,89,0.42009951624484654,0.4181147817391569,0.004724438922069307
NO_PROXY,2025-10,89,0.419389732022151,0.4173943115791024,0.004757914394869389
NO_PROXY,2025-11,89,0.4189737806105335,0.41698718282797925,0.004741580200219975
NO_PROXY,2025-12,89,0.4202888734971607,0.4183068258923608,0.004715917383935508
NO_PROXY,2026-01,89,0.420261526036291,0.4182790484607503,0.004717247363180022
NO_PROXY,2026-02,89,0.41987947586660646,0.41790872525373624,0.004693610252805791
NO_PROXY,2026-03,89,0.4202892347969995,0.4183061366756504,0.004718412838498942
NO_PROXY,2026-04,89,0.4202929791950256,0.4183105076032547,0.004716880104844612
NO_PROXY,2026-05,89,0.4193343904448563,0.4173436179464522,0.004747458218945955
NO_PROXY,2026-06,89,0.41951204674247367,0.41751637893039995,0.004757116816001217
NO_PROXY,2026-07,89,0.4199827575189388,0.4179978217214886,0.004726231641451917
OFFICIAL_PREDICTORS,2019-02,89,0.42010764304855075,0.41464961037432646,0.012991986136261513
OFFICIAL_PREDICTORS,2019-03,89,0.42015789426432565,0.41467176047412685,0.01305731455981507
OFFICIAL_PREDICTORS,2019-04,89,0.4191897467031229,0.4133443015659603,0.013944628138298554
OFFICIAL_PREDICTORS,2019-05,89,0.41727233915900896,0.4120548992513784,0.012503680253874605
OFFICIAL_PREDICTORS,2019-06,89,0.42021602694934274,0.4147742138382434,0.01295003703358355
OFFICIAL_PREDICTORS,2019-07,89,0.4202764413014783,0.4148096714644755,0.013007557168976058
OFFICIAL_PREDICTORS,2019-08,89,0.4202826410962219,0.4147476627402492,0.013169657308557348
OFFICIAL_PREDICTORS,2019-09,89,0.4191792942090844,0.41376094755436993,0.012926083729726923
OFFICIAL_PREDICTORS,2019-10,89,0.4193131567915026,0.41420595063438786,0.012179933003280907
OFFICIAL_PREDICTORS,2019-11,89,0.42003200305762134,0.41465709101164044,0.0127964345736854
OFFICIAL_PREDICTORS,2019-12,89,0.4198359660795065,0.4143682378365313,0.013023486991916577
OFFICIAL_PREDICTORS,2020-01,89,0.4153072380969587,0.41006119773601896,0.012631709442335715
OFFICIAL_PREDICTORS,2020-02,89,0.420292995648092,0.4148129669882356,0.013038591450724057
OFFICIAL_PREDICTORS,2020-03,89,0.4199418369230324,0.41445062186741377,0.013076132389793438
OFFICIAL_PREDICTORS,2020-04,89,0.42010818755208623,0.4147090729050954,0.01285172440568405
OFFICIAL_PREDICTORS,2020-05,89,0.41961905071812056,0.4146579529318103,0.011822861182827715
OFFICIAL_PREDICTORS,2020-06,89,0.41941529755146656,0.41410684404121967,0.012656795165167933
OFFICIAL_PREDICTORS,2020-07,89,0.420191960990069,0.4147554081079394,0.012938260097408394
OFFICIAL_PREDICTORS,2020-08,89,0.42027835601570396,0.41478435692241683,0.013072286532599509
OFFICIAL_PREDICTORS,2020-09,89,0.41964148139724305,0.4135967034064493,0.014404624563489343
OFFICIAL_PREDICTORS,2020-10,89,0.420289414171003,0.4147149820801966,0.013263317853964285
OFFICIAL_PREDICTORS,2020-11,89,0.420055829932072,0.414009155226944,0.014394931040728198
OFFICIAL_PREDICTORS,2020-12,89,0.41841515193065487,0.41215674820994364,0.014957402216037474
OFFICIAL_PREDICTORS,2021-01,89,0.41731184857448544,0.4124696012775432,0.011603426342873147
OFFICIAL_PREDICTORS,2021-02,89,0.41959286260200945,0.4138460486699508,0.01369616703301646
OFFICIAL_PREDICTORS,2021-03,89,0.42026211719812856,0.4148126463643174,0.012966838101284406
OFFICIAL_PREDICTORS,2021-04,89,0.4194966426390018,0.41438277231549225,0.012190491660049596
OFFICIAL_PREDICTORS,2021-05,89,0.418478792189829,0.4126289203171102,0.0139788968566541
OFFICIAL_PREDICTORS,2021-06,89,0.41990504035221954,0.41452956407710045,0.012801647416782802
OFFICIAL_PREDICTORS,2021-07,89,0.4186008172488332,0.41287579940374686,0.013676556779589788
OFFICIAL_PREDICTORS,2021-08,89,0.41725988958381316,0.4115801460050405,0.013612004701525016
OFFICIAL_PREDICTORS,2021-09,89,0.41888748555452116,0.41353244212064477,0.012783966144959913
OFFICIAL_PREDICTORS,2021-10,89,0.4192713829259161,0.41393192119126404,0.01273509700898312
OFFICIAL_PREDICTORS,2021-11,89,0.4171715165934454,0.4111925335937685,0.014332193742517041
OFFICIAL_PREDICTORS,2021-12,89,0.418449773071089,0.41279515733823435,0.013513248415345624
OFFICIAL_PREDICTORS,2022-01,89,0.42028664184132264,0.4148000517546554,0.013054400355504758
OFFICIAL_PREDICTORS,2022-02,89,0.4177726884456281,0.4130288972912536,0.011354957577586866
OFFICIAL_PREDICTORS,2022-03,89,0.41318906156425267,0.4096156187530572,0.008648444849113646
OFFICIAL_PREDICTORS,2022-04,89,0.40505029957815597,0.4034864293763921,0.0038609283918381587
OFFICIAL_PREDICTORS,2022-05,89,0.42028303729749306,0.41460215029762715,0.013516812470936723
OFFICIAL_PREDICTORS,2022-06,89,0.41972132938710377,0.4145270196343179,0.012375615412185237
OFFICIAL_PREDICTORS,2022-07,89,0.42015437495609564,0.414569906202583,0.01329146877048748
OFFICIAL_PREDICTORS,2022-08,89,0.41958006947636056,0.4137249226876053,0.013954778157271752
OFFICIAL_PREDICTORS,2022-09,89,0.4148180674485476,0.41066297941707763,0.010016651533591547
OFFICIAL_PREDICTORS,2022-10,89,0.3197867130986118,0.3087911686465943,0.03438399408616721
OFFICIAL_PREDICTORS,2022-11,89,0.4176796041592494,0.413037852927225,0.011113186245633844
OFFICIAL_PREDICTORS,2022-12,89,0.42026290267664757,0.41464784843522584,0.013360813447153008
OFFICIAL_PREDICTORS,2023-01,89,0.40296262658064075,0.3984704533152391,0.011147865754996156
OFFICIAL_PREDICTORS,2023-02,89,0.420229966958315,0.41481172710932673,0.012893511350954512
OFFICIAL_PREDICTORS,2023-03,89,0.41979672494912573,0.4140752373415627,0.01362918590719453
OFFICIAL_PREDICTORS,2023-04,89,0.4124151509251561,0.4062050725338774,0.01505783281081674
OFFICIAL_PREDICTORS,2023-05,89,0.42022561058940905,0.4148005712387524,0.01290982561259768
OFFICIAL_PREDICTORS,2023-06,89,0.4193536090330634,0.4140476418146198,0.012652728161033355
OFFICIAL_PREDICTORS,2023-07,89,0.42011981356151445,0.4147065773163827,0.012884982022727476
OFFICIAL_PREDICTORS,2023-08,89,0.41928378705852537,0.4137406891611636,0.01322039646762696
OFFICIAL_PREDICTORS,2023-09,89,0.41756412389983394,0.411929141181924,0.013494891910928897
OFFICIAL_PREDICTORS,2023-10,89,0.4198071689241805,0.4142588438355828,0.013216365749103676
OFFICIAL_PREDICTORS,2023-11,89,0.42027000101879836,0.4147899033451306,0.01303946905651876
OFFICIAL_PREDICTORS,2023-12,89,0.4193395441318545,0.4138853039072171,0.013006739528772848
OFFICIAL_PREDICTORS,2024-01,89,0.41595694214914314,0.41025443181753457,0.01370937650936932
OFFICIAL_PREDICTORS,2024-02,89,0.4202814927893528,0.41480253190098976,0.013036407699039687
OFFICIAL_PREDICTORS,2024-03,89,0.4202111139340466,0.4147537963005039,0.012987085425825273
OFFICIAL_PREDICTORS,2024-04,89,0.4199312270072481,0.41439342861832196,0.013187393632030586
OFFICIAL_PREDICTORS,2024-05,89,0.41971443640140027,0.4142772115053724,0.012954581554654676
OFFICIAL_PREDICTORS,2024-06,89,0.41865646479744106,0.4132613921672339,0.012886633991947227
OFFICIAL_PREDICTORS,2024-07,89,0.41707110644856454,0.41131800747038894,0.013794048279115456
OFFICIAL_PREDICTORS,2024-08,89,0.41960256515271627,0.41403521678219546,0.013268146653237278
OFFICIAL_PREDICTORS,2024-09,89,0.4202362496091427,0.4147193089525825,0.013128188398053298
OFFICIAL_PREDICTORS,2024-10,89,0.42021136638472745,0.41473798121657507,0.013025314415558098
OFFICIAL_PREDICTORS,2024-11,89,0.4202801526412135,0.41480685943577567,0.01302296378032941
OFFICIAL_PREDICTORS,2024-12,89,0.41905396025863934,0.4136392513933024,0.012921268807470576
OFFICIAL_PREDICTORS,2025-01,89,0.4198793093534417,0.41438612409882647,0.013082771959099349
OFFICIAL_PREDICTORS,2025-02,89,0.42007624200847327,0.41463847398197246,0.012944716893537489
OFFICIAL_PREDICTORS,2025-03,89,0.42021975116470384,0.4146991167979741,0.013137493778977438
OFFICIAL_PREDICTORS,2025-04,89,0.4191768916386103,0.4137416636416176,0.012966430414963592
OFFICIAL_PREDICTORS,2025-05,89,0.4195326494018781,0.41397523300659983,0.013246683906965151
OFFICIAL_PREDICTORS,2025-06,89,0.4201942480003772,0.4147045223442071,0.01306473299502453
OFFICIAL_PREDICTORS,2025-07,89,0.4202890302486624,0.4147941891282157,0.013073957978859685
OFFICIAL_PREDICTORS,2025-08,89,0.42028628724075384,0.41481195212129546,0.013025252751876049
OFFICIAL_PREDICTORS,2025-09,89,0.42009951624484654,0.4146412553838932,0.012992780638604984
OFFICIAL_PREDICTORS,2025-10,89,0.419389732022151,0.4138268239836309,0.013264292408156297
OFFICIAL_PREDICTORS,2025-11,89,0.4189737806105335,0.41348975122676307,0.013089194688457595
OFFICIAL_PREDICTORS,2025-12,89,0.4202888734971607,0.4148077392780028,0.013041349806741764
OFFICIAL_PREDICTORS,2026-01,89,0.420261526036291,0.4147703940880276,0.013065987743520524
OFFICIAL_PREDICTORS,2026-02,89,0.41987947586660646,0.41447706918325355,0.012866565273767283
OFFICIAL_PREDICTORS,2026-03,89,0.4202892347969995,0.4148039689704394,0.013051168986542017
