model,variant,n,cov50,cov80,cov90,cov80_exjan,cov90_exjan,cov80_2024,cov90_2024,cov80_big,cov90_big,width80,pit_ks,crps,twcrps_big
BASE_RIDGE,V0,66,0.48484848484848486,0.803030303030303,0.8484848484848485,0.819672131147541,0.8524590163934426,0.967741935483871,1.0,0.6,0.75,0.8445722119634126,0.11578044596912523,0.22499633391142176,0.20301402149229225
BASE_RIDGE,V1,66,0.4090909090909091,0.7727272727272727,0.8333333333333334,0.7704918032786885,0.8360655737704918,0.967741935483871,1.0,0.55,0.7,0.7954885964503611,0.10606060606060608,0.22841749803259995,0.20353020893892
BASE_RIDGE,V2,66,0.4090909090909091,0.803030303030303,0.8484848484848485,0.8032786885245902,0.8524590163934426,0.9354838709677419,0.967741935483871,0.65,0.8,0.8539236847384285,0.12878787878787878,0.23335217595424368,0.2073200221235461
BASE_RIDGE,V3,66,0.4696969696969697,0.7878787878787878,0.8333333333333334,0.7868852459016393,0.8360655737704918,1.0,1.0,0.6,0.7,0.9302620442462752,0.10067694551394224,0.231988081227256,0.2039840900389271
BASE_RIDGE,V4,66,0.4393939393939394,0.7878787878787878,0.8636363636363636,0.7868852459016393,0.8688524590163934,0.967741935483871,1.0,0.6,0.75,0.8127221782867478,0.09389442103427664,0.22791626755517022,0.2038716489628441
PAST_FULL,V0,66,0.45454545454545453,0.7727272727272727,0.8333333333333334,0.7868852459016393,0.8524590163934426,0.967741935483871,0.967741935483871,0.55,0.7,0.8794250026963557,0.06892872385830134,0.2359835262247773,0.2223547389112194
PAST_FULL,V1,66,0.3787878787878788,0.7727272727272727,0.8181818181818182,0.7868852459016393,0.819672131147541,0.967741935483871,1.0,0.55,0.7,0.820443736146613,0.10710553814002091,0.2404401893558478,0.2222596383378191
PAST_FULL,V2,66,0.45454545454545453,0.7424242424242424,0.8333333333333334,0.7540983606557377,0.8360655737704918,0.8709677419354839,1.0,0.55,0.75,0.8762336054006263,0.08773784355179703,0.24276095471995748,0.22625396188267324
PAST_FULL,V3,66,0.5,0.7878787878787878,0.8333333333333334,0.7868852459016393,0.8360655737704918,1.0,1.0,0.6,0.75,0.9304354410570601,0.10860978907316671,0.24425235353977562,0.2218644182102414
PAST_FULL,V4,66,0.3787878787878788,0.7727272727272727,0.8333333333333334,0.7868852459016393,0.8360655737704918,0.967741935483871,1.0,0.55,0.7,0.8552540561876019,0.0829373947115688,0.24136617792389783,0.22206312844980763
PAST_HALF,V0,66,0.5,0.7878787878787878,0.8484848484848485,0.8032786885245902,0.8524590163934426,0.967741935483871,1.0,0.6,0.75,0.8789197089331378,0.09803921568627455,0.22631905043420752,0.21076575571055578
PAST_HALF,V1,66,0.45454545454545453,0.7575757575757576,0.8333333333333334,0.7540983606557377,0.8360655737704918,0.967741935483871,1.0,0.55,0.7,0.790453729577523,0.0850439882697947,0.2305126605317742,0.21076401738530565
PAST_HALF,V2,66,0.45454545454545453,0.7575757575757576,0.8333333333333334,0.7540983606557377,0.8360655737704918,0.9032258064516129,0.967741935483871,0.6,0.75,0.8626977155795671,0.0871212121212121,0.23399342507312737,0.21474718225590075
PAST_HALF,V3,66,0.5454545454545454,0.7878787878787878,0.8484848484848485,0.7868852459016393,0.8524590163934426,1.0,1.0,0.6,0.8,0.915313478626784,0.06144926652263327,0.234717007176598,0.2111678152480882
PAST_HALF,V4,66,0.45454545454545453,0.7878787878787878,0.8333333333333334,0.7868852459016393,0.8360655737704918,0.967741935483871,1.0,0.65,0.7,0.8246088440041054,0.07575757575757576,0.2310677440840337,0.21096344011942217
