period,model,weighted_core_error,noncore_reconciliation_error,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
2019-02,NO_PROXY,0.02164783253816505,0.10032911925259519,-0.00016497149547560117,-0.0008471933703528168,-0.001012164865828417
2019-03,NO_PROXY,0.07980495289080573,-0.18022094233424962,-1.97397607623849e-05,4.461225787750609e-05,2.4872497115120337e-05
2019-04,NO_PROXY,-0.017599570049727117,0.3084897875604181,0.0001474552738475623,-0.002333829411496351,-0.002186374137648772
2019-05,NO_PROXY,0.0070034233285596005,-0.47584504999451305,-4.7300992679530615e-05,0.005407220131638663,0.0053599191389591405
2019-06,NO_PROXY,-0.06832899891911252,-0.005860591287456279,0.0002362046456196986,2.0009363581488058e-05,0.0002562140092011861
2019-07,NO_PROXY,-0.18958404240714755,0.2206992275563775,-0.0015429141243554143,0.001815843774670738,0.00027292965031532306
2019-08,NO_PROXY,0.03667862940553119,-0.058678050730595024,-0.0003967851912117154,0.0006900899032735146,0.0002933047120617992
2019-09,NO_PROXY,0.2117987600613163,0.07563216957581609,0.0004380656389051732,0.00015605077359855688,0.000594116412503759
2019-10,NO_PROXY,-0.18918973726812394,-0.05529131316272551,0.010562440000565346,0.0028876256344427934,0.013450065635008147
2019-11,NO_PROXY,0.05539352045516733,-0.1943012250399895,-8.945671967383866e-05,0.00031610404275529886,0.00022664732308145738
2019-12,NO_PROXY,0.004576910300990759,-0.1833128148540173,-1.8535886265528063e-05,0.002247430928957579,0.002228895042692046
2020-01,NO_PROXY,-0.2365130076505233,-0.3642696773483176,0.00391617779048694,0.005929545672961801,0.009845723463448752
2020-02,NO_PROXY,-0.16885769932903913,0.1781251534556199,0.0026391809802669315,-0.0027224242143519626,-8.32432340850307e-05
2020-03,NO_PROXY,0.17178879921003837,-0.3361898806519953,0.000810721639210775,-0.0015758292090762185,-0.0007651075698654405
2020-04,NO_PROXY,-0.016756568776266287,-0.10042460610515647,1.3588845427349742e-05,8.04777666783465e-05,9.406661210569454e-05
2020-05,NO_PROXY,-0.2905522360373057,0.06560319898713896,-0.000284978498985497,6.439911016183231e-05,-0.00022057938882367317
2020-06,NO_PROXY,0.027403888231362836,-0.2828611370613862,-3.579186261631667e-05,0.0003739513436201111,0.00033815948100381077
2020-07,NO_PROXY,-0.2664272385764487,0.3576409760756951,0.0022899698832074544,-0.003049561514984255,-0.0007595916317768006
2020-08,NO_PROXY,0.11970205460485925,-0.0865630883411301,-1.247214936920052e-06,9.019488144758717e-07,-3.452661224440795e-07
2020-09,NO_PROXY,0.015776021189645283,0.20488341084441813,1.1067071724490843e-06,1.4356879260162069e-05,1.5463586432611087e-05
2020-10,NO_PROXY,-0.12642472783449016,0.11081604245750548,0.00021325459688034676,-0.0001863063130202761,2.6948283860071326e-05
2020-11,NO_PROXY,0.11830552808944975,0.01702389547425215,-0.0005008158306506142,-7.272272718110155e-05,-0.0005735385578317168
2020-12,NO_PROXY,0.14434757796367076,0.2323682348142962,-0.0006635901783854439,-0.0010768794598997292,-0.001740469638285197
2021-01,NO_PROXY,-0.15996418170608068,-0.307287582339963,0.0013512222055079431,0.002562276749418928,0.003913498954926847
