origin,as_of_utc,target,h,model,mm_forecast,native_h0,h0_exante,h0_actual,h0_method,mm_actual,yy_actual,yy_exante,yy_conditional,status,converged,fallback_used,unemployment_end,unemployment_adjustments,fx_end,headline_n,origin_status,contribution_core,contribution_food,contribution_administered,contribution_alcohol_tobacco,contribution_fuel,contribution_wedge,value_core,value_food,value_administered,value_alcohol_tobacco,value_fuel,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core
2019-02,2019-03-10T22:59:00+00:00,2019-02,0,TARGET_ML,0.3177548805881821,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1867413632119507,2.6794258373205744,2.813699021157841,2.6794258373205744,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-03,1,TARGET_ML,0.0079671771309151,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1863932898415576,2.969348659003822,2.920378771411895,2.7859662653845505,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-04,2,TARGET_ML,0.19162816196944,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,0.0930232558139509,2.769818529130847,2.822137289791272,2.687853085698862,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-05,3,TARGET_ML,0.1696562811492195,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,0.6505576208178487,2.9467680608364977,2.5070540254835447,2.373181315515702,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-06,4,TARGET_ML,0.1575290743533599,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1846722068328699,2.7462121212121224,2.2796364826290803,2.1460607766386293,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-07,5,TARGET_ML,0.2320902072222665,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,0.3686635944700533,2.9300567107750517,2.323223518950383,2.1895908889294127,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-08,6,TARGET_ML,-0.1770016875267344,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,0.0918273645546419,2.9272898961284195,2.0456582137982062,1.9123880799971016,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-09,7,TARGET_ML,-0.2914759589826372,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,-0.5504587155963248,2.6515151515151705,2.037277095115204,1.9040179069322447,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-10,8,TARGET_ML,0.1643124383804356,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,0.4612546125461358,2.735849056603792,1.819258025494849,1.6862835670210043,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-11,9,TARGET_ML,0.0448227392348088,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,0.2754820936639035,3.116147308781873,1.961085909698824,1.8279262260871776,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-12,10,TARGET_ML,0.0610240647283875,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1831501831501825,3.207547169811327,1.9270583062066908,1.793943062146416,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2020-01,11,TARGET_ML,1.207998751624457,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,1.4625228519195457,3.6414565826330487,2.0988198431372536,1.9654802810274965,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2020-02,12,TARGET_ML,0.17299577304754,0.1465256876159247,0.3177548805881821,0.1867413632119507,HARD_BASE,0.2702702702702675,3.7278657968313063,1.9514906484295151,1.9514906484295151,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-02,0,TARGET_FX_ML,0.3177548805881821,0.152783458721291,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1867413632119507,2.6794258373205744,2.813699021157841,2.6794258373205744,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-03,1,TARGET_FX_ML,0.0148351921037781,0.152783458721291,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1863932898415576,2.969348659003822,2.927446795314059,2.793025058551104,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-04,2,TARGET_FX_ML,0.1990129114290175,0.152783458721291,0.3177548805881821,0.1867413632119507,HARD_BASE,0.0930232558139509,2.769818529130847,2.8367777218815458,2.7024743975994303,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-05,3,TARGET_FX_ML,0.1800597771855031,0.152783458721291,0.3177548805881821,0.1867413632119507,HARD_BASE,0.6505576208178487,2.9467680608364977,2.5322973652697605,2.398391687870186,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-06,4,TARGET_FX_ML,0.1680503587065169,0.152783458721291,0.3177548805881821,0.1867413632119507,HARD_BASE,0.1846722068328699,2.7462121212121224,2.31557067068069,2.181948035167381,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-07,5,TARGET_FX_ML,0.2435169660814597,0.152783458721291,0.3177548805881821,0.1867413632119507,HARD_BASE,0.3686635944700533,2.9300567107750517,2.3708422732348224,2.237147453818772,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-08,6,TARGET_FX_ML,-0.168799626248773,0.152783458721291,0.3177548805881821,0.1867413632119507,HARD_BASE,0.0918273645546419,2.9272898961284195,2.101536386390067,1.9681932765146424,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
2019-02,2019-03-10T22:59:00+00:00,2019-09,7,TARGET_FX_ML,-0.2867223852935365,0.152783458721291,0.3177548805881821,0.1867413632119507,HARD_BASE,-0.5504587155963248,2.6515151515151705,2.098017938415092,1.9646794235811469,converged,True,False,2019-01,sa,2019-02,336,,,,,,,,,,,,,,,,,,
