family,h,n,gain_vs_naive_pct,dm_lag_h1,dm_lag_12,boot_p,beats_rw,passes
F1a,3,84,25.68737886671082,-1.9343203594847065,-1.8713200013032016,0.062,True,True
F1a,6,78,28.29327773688769,-2.4729169944201086,-2.524407545815714,0.025,True,True
F1a,12,66,15.14682043669705,-3.1425396867031603,-3.2061772637016706,0.002,True,True
F1b,3,84,25.68737886671082,-1.9343203594847065,-1.8713200013032016,0.066,True,True
F1b,6,78,29.57579491538871,-2.5096345393194333,-2.5042916390880343,0.016,True,True
F1b,12,66,17.196413983007464,-2.860787024561439,-2.9269810692993894,0.01,True,True
F2,3,87,9.2423095813004,-1.8760923403765803,-1.939966823532678,0.017,True,False
F2,6,84,10.669563550185202,-2.360724173172207,-2.0698416651859066,0.004,True,True
F2,12,78,5.2335926406008815,-0.7817444467874787,-0.7575854951954089,0.139,True,False
F3,3,87,10.05726519421698,-2.1579425561976633,-2.012501735107517,0.024,True,True
F3,6,84,10.503296225303515,-2.0940768837976345,-2.187433017640492,0.008,True,True
F3,12,78,3.134532564943582,-0.5192460634085684,-0.5099226136598974,0.181,True,False
