period,cls,comb,s_add,actual,share,I1,w_I1,I2,w_I2,P,w_P,clock
2017-02,0111,0.7250397330504512,0.9323997192147863,1.6715830875122961,0.15760645614951468,1.0163742689508546,0.5,,0.0,0.4337051971500478,0.5,A
2017-02,0112,0.2032641561980817,0.38233294349673264,0.1980198019801982,0.234170063597261,0.3077593509405024,0.5,,0.0,0.098768961455661,0.5,A
2017-02,0113,0.03093345218254101,-0.33156509531040157,0.8442776735459789,0.02502096929165964,-0.08169195283384437,0.5,,0.0,0.14355885719892636,0.5,A
2017-02,0114,-0.22467949090713168,0.11658827974672015,-0.7968127490039945,0.1833456463595904,0.016563202666819862,0.5,,0.0,-0.46592218448108325,0.5,A
2017-02,0115,-1.3338169532811046,-1.569150920163348,-0.9541984732824416,0.04487744470118863,-1.5956493946327452,0.5,,0.0,-1.071984511929464,0.5,A
2017-02,0116,0.6320100656312229,0.3569826370518253,1.7561983471074516,0.06410011519318465,0.5457425134437652,0.5,,0.0,0.7182776178186804,0.5,A
2017-02,0117,3.165645740013259,1.9306984422166913,15.238954012623985,0.08472465671799283,3.2801651234861744,0.5,,0.0,3.0511263565403444,0.5,A
2017-02,0118,0.8390360566719468,1.134745890290199,-0.666666666666671,0.07081311163527204,1.2145450456408213,0.5,,0.0,0.46352706770307217,0.5,A
2017-02,0119,-0.46644249550526085,-1.1581154991899951,-0.5769230769230749,0.03574303942526106,-0.8076616184396239,0.5,,0.0,-0.12522337257089777,0.5,A
2017-02,012,0.008723126054761915,0.140445392852979,-0.7912957467853587,0.09959849692907487,-0.017404505221503525,0.5,,0.0,0.034850757331027354,0.5,A
2017-03,0111,0.1892907997232829,0.07604917168597253,1.0638297872340274,0.1580300139981823,0.20333082022197654,0.5,,0.0,0.17525077922458923,0.5,A
2017-03,0112,-0.2793491532239098,-0.4274299863786434,0.6916996047430901,0.23139634856742824,-0.495552145325292,0.5,,0.0,-0.06314616112252758,0.5,A
2017-03,0113,-0.2746886682331209,-0.7028788363350968,0.0,0.02488406793653457,-0.411137955146545,0.5,,0.0,-0.13823938131969682,0.5,A
2017-03,0114,-0.5951527246153847,-0.3203533387999655,0.9036144578313365,0.1793751248564567,-0.3869253978520256,0.5,,0.0,-0.8033800513787437,0.5,A
2017-03,0115,1.317530299993796,1.426674516573039,0.28901734104045396,0.04383592550381611,1.4687997280425102,0.5,,0.0,1.1662608719450818,0.5,A
2017-03,0116,1.0861072395989566,0.7344965881658924,4.060913705583746,0.06432587049799614,0.9626227210559511,0.5,,0.0,1.209591758141962,0.5,A
2017-03,0117,1.192837425154748,0.13728480978145496,-10.719874804381845,0.09628865369028855,1.9664070013432002,0.5,,0.0,0.41926784896629576,0.5,A
2017-03,0118,0.4215366884872288,0.2447554168749968,-1.821668264621279,0.06937047633589247,0.2813485878559677,0.5,,0.0,0.5617247891184899,0.5,A
2017-03,0119,0.23684704570073645,0.5720254553877488,0.3868471953578201,0.03504650128119727,0.9488813987893019,0.5,,0.0,-0.475187307387829,0.5,A
2017-03,012,0.09276793547722262,0.3594935309845897,2.2931206380857327,0.09744701733220762,0.17334419524447275,0.5,,0.0,0.012191675709972483,0.5,A
2017-04,0111,-0.05397815710463755,0.0003407048653417538,0.191387559808609,0.15996297567115395,0.19206844459751798,0.5,,0.0,-0.3000247588067931,0.5,A
2017-04,0112,-0.3193429191047738,-0.11182639760202412,0.19627085377820208,0.23336424550526438,-0.061755130732382,0.5,,0.0,-0.5769307074771657,0.5,A
2017-04,0113,1.34970791316889,1.5808751956361604,-2.6976744186046564,0.024923298702501612,1.8864200408348446,0.5,,0.0,0.8129957855029355,0.5,A
2017-04,0114,-0.0977118831795365,0.6931719924683959,0.29850746268655914,0.18128133210046377,0.7860974497454626,0.5,,0.0,-0.9815212161045355,0.5,A
2017-04,0115,0.9619042827597071,1.99300612809381,0.0,0.044031927823631176,2.187550290818824,0.5,,0.0,-0.26374172529940987,0.5,A
2017-04,0116,1.3032286551079793,0.5786092706881625,-3.219512195121943,0.06704361926435119,1.0140278759502281,0.5,,0.0,1.5924294342657306,0.5,A
2017-04,0117,2.5544483207783117,0.37001027120718444,-1.4899211218229569,0.0861021605251729,1.122230269703878,0.5,,0.0,3.9866663718527455,0.5,A
2017-04,0118,-0.39058809458932686,0.3099402588248764,-0.48828125,0.0682141495433471,0.37254757744433015,0.5,,0.0,-1.153723766622984,0.5,A
2017-04,0119,0.5055962374737021,0.45539745527225745,-1.0597302504816941,0.035237543694255954,0.6474255537322519,0.5,,0.0,0.36376692121515225,0.5,A
2017-04,012,-0.3849229802814935,0.054250760286434385,-1.2670565302144277,0.0998387471698579,-0.012785301063851673,0.5,,0.0,-0.7570606594991354,0.5,A
2017-05,0111,-0.16512880825579435,-0.215544882268048,0.9551098376313183,0.16103887152789115,-0.02563087958562188,0.5,,0.0,-0.3046267369259668,0.5,A
2017-05,0112,0.21079339467280564,0.10947473634339044,1.4691478942213454,0.23494528196057524,0.15924156228721945,0.5,,0.0,0.2623452270583918,0.5,A
2017-05,0113,-0.9038207117265102,-1.2642563428096887,2.581261950286806,0.024367422626343276,-1.2035143606900123,0.5,,0.0,-0.6041270627630082,0.5,A
2017-05,0114,0.17448849263529406,0.3885983176212626,-0.1984126984126977,0.18269573425002827,0.46675839827733673,0.5,,0.0,-0.1177814130067486,0.5,A
2017-05,0115,0.6114875573910232,0.7028038585706842,0.5763688760807018,0.044243406033661815,0.7506991915935511,0.5,,0.0,0.47227592318849526,0.5,A
2017-05,0116,-0.8444330532267644,-1.6800108635787407,2.5201612903225756,0.06519677458155486,-1.3167953287436802,0.5,,0.0,-0.37207077770984864,0.5,A
2017-05,0117,0.22304165114692664,-1.5954411384612621,-7.295373665480431,0.08522667962453362,-0.6478264470227719,0.5,,0.0,1.0939097493166252,0.5,A
2017-05,0118,1.2585271744610753,1.6927324709902873,2.8459273797840856,0.06820709442698597,1.6007393148544267,0.5,,0.0,0.9163150340677237,0.5,A
2017-05,0119,-1.1973189761947003,-1.8530703305646492,0.2921129503407949,0.03503156750348335,-1.7518348911733326,0.5,,0.0,-0.6428030612160682,0.5,A
2017-05,012,0.7795788730078979,0.7220473313263087,0.7897334649555665,0.09904716746494242,0.5123029566869944,0.5,,0.0,1.0468547893288014,0.5,A
2017-06,0111,0.3497898708655821,0.0799713778874292,0.0,0.16196758016151122,0.28791027787500023,0.5,,0.0,0.41166946385616404,0.5,A
2017-06,0112,0.15751322163816567,0.1572581126733849,0.6756756756756799,0.23750338899064294,0.33449032204669266,0.5,,0.0,-0.019463878770361293,0.5,A
2017-06,0113,1.6792103104147365,1.60870843393002,-1.0251630941286116,0.02490271525199541,1.8314103611694441,0.5,,0.0,1.5270102596600288,0.5,A
2017-06,0114,-1.1333134193199799,-1.0060110215581615,1.491053677932408,0.1816498005354489,-0.8519434277746651,0.5,,0.0,-1.4146834108652944,0.5,A
2017-06,0115,-1.676234001498851,-1.8202589464460526,5.157593123209159,0.04433161725445592,-1.6681258932788217,0.5,,0.0,-1.6843421097188804,0.5,A
2017-06,0116,4.139010114296741,4.391996694643542,-0.5899705014749346,0.06658930177976465,4.995259657901769,0.5,,0.0,3.2827605706917127,0.5,A
2017-06,0117,-2.9054909277409577,-4.756372364693073,-4.702495201535517,0.07871292409117896,-4.164093274886373,0.5,,0.0,-1.6468885805955429,0.5,A
2017-06,0118,-0.8230695145706413,-1.1983818009950005,-0.9541984732824416,0.06988528127777344,-1.1860470874128248,0.5,,0.0,-0.4600919417284577,0.5,A
2017-06,0119,0.9053501043235067,1.0564468393158535,1.747572815533971,0.03500220637553465,1.255414160692041,0.5,,0.0,0.5552860479549724,0.5,A
2017-06,012,-0.13426825792478264,-0.1951043492057044,-0.48971596474045587,0.099455184281694,-0.2673383865944582,0.5,,0.0,-0.0011981292551070666,0.5,A
2017-07,0111,0.18494808966570248,-0.03747176131239832,0.18921475875117721,0.16169143257317306,0.23586795835773128,0.5,,0.0,0.13402822097367367,0.5,A
2017-07,0112,0.07203128494236734,0.1516527523146306,0.3835091083413289,0.2387004727719317,0.37277554770103816,0.5,,0.0,-0.22871297781630345,0.5,A
2017-07,0113,1.2472914827414554,1.4971417853257778,2.4482109227871973,0.024605399037513402,1.6182688443556719,0.5,,0.0,0.8763141211272387,0.5,A
2017-07,0114,-0.05852286185530209,0.338112231745176,1.7629774730656411,0.1840439737939518,0.6694170194035299,0.5,,0.0,-0.7864627431141341,0.5,A
2017-07,0115,1.5719567509672114,1.8116594323955941,3.7238873751135326,0.046538579956046135,2.3400321290581867,0.5,,0.0,0.8038813728762362,0.5,A
2017-07,0116,-2.9002517249458806,-3.7220657983251026,-1.6815034619188762,0.06608358252061124,-3.322913152082743,0.5,,0.0,-2.4775902978090185,0.5,A
2017-07,0117,-6.788562311090139,-8.645928045238481,3.0211480362537735,0.07488356139089233,-8.181050178694953,0.5,,0.0,-5.396074443485326,0.5,A
2017-07,0118,0.7839422129661775,1.4290147826314386,0.674373795761074,0.06910042260527267,1.5155826023475412,0.5,,0.0,0.052301823584813834,0.5,A
2017-07,0119,0.5759057209138514,0.07766142082809771,0.0954198473282597,0.03555317529634955,0.2580208060213135,0.5,,0.0,0.8937906358063893,0.5,A
2017-07,012,0.1607695480384655,0.3473628505822149,1.3779527559055094,0.09879940005425811,0.3092455684892185,0.5,,0.0,0.01229352758771246,0.5,A
2017-08,0111,-0.0652650498611255,0.12669654167689706,-0.47214353163361755,0.16042299390301773,0.4060522450647286,0.5,,0.0,-0.5365823447869796,0.5,A
2017-08,0112,0.49970937476325744,0.9396652450085476,1.1461318051575908,0.23728718700219434,1.1039228719989675,0.5,,0.0,-0.10450412247245278,0.5,A
2017-08,0113,-1.3973155177792318,-1.7857882301612564,-0.4595588235294157,0.024962807440679143,-1.7044610755196374,0.5,,0.0,-1.0901699600388262,0.5,A
2017-08,0114,-0.8105749477454268,-0.22079872984011184,0.7699711260827691,0.18546845009414964,0.14072895928598783,0.5,,0.0,-1.7618788547768416,0.5,A
2017-08,0115,1.0113830967708686,1.6377512738693654,0.26269702276706663,0.04780249313606706,2.2621946863599445,0.5,,0.0,-0.2394284928182071,0.5,A
2017-08,0116,-2.8756317984505055,-3.435530209082174,-3.5211267605633756,0.06434094617135981,-3.1287348503025005,0.5,,0.0,-2.622528746598511,0.5,A
2017-08,0117,-3.390267436720135,-6.0317820372595214,-11.534701857282503,0.07639615681823024,-5.378607877165497,0.5,,0.0,-1.4019269962747725,0.5,A
2017-08,0118,-0.06799517647335487,0.15343729884121238,-1.0526315789473606,0.06889033169922984,0.07363673817978207,0.5,,0.0,-0.2096270911264918,0.5,A
2017-08,0119,-1.540973264777983,-1.7905194535460005,0.7626310772163913,0.03524124438513208,-1.573520179511097,0.5,,0.0,-1.5084263500448691,0.5,A
2017-08,012,-0.751747064727388,-0.20705804014608253,-0.09708737864077,0.09918738934994015,-0.22604698632204204,0.5,,0.0,-1.2774471431327337,0.5,A
2017-09,0111,0.9388837087372555,0.37029553366146356,0.9487666034155628,0.16099038707380287,0.6151554199883041,0.5,,0.0,1.2626119974862067,0.5,A
2017-09,0112,0.7326356206726637,0.2919602439795206,-0.7554296506137925,0.2419982597943608,0.4815547331806427,0.5,,0.0,0.9837165081646848,0.5,A
2017-09,0113,1.3743166399814992,0.8576179582949686,-1.0156971375807844,0.025054264881007086,1.0359389029056667,0.5,,0.0,1.712694377057332,0.5,A
2017-09,0114,1.1883820931036861,1.1997561670123607,-0.19102196752627254,0.18844727139620726,1.5780893644179552,0.5,,0.0,0.7986748217894171,0.5,A
2017-09,0115,-0.14161251439069267,-0.6646559849722511,5.327510917030565,0.048325750487811805,-0.16930254706520526,0.5,,0.0,-0.11392248171618014,0.5,A
2017-09,0116,-0.734952262980765,-2.1818397809218397,-1.2513034410844615,0.06259048871798577,-1.9451681102632352,0.5,,0.0,0.47526358430170523,0.5,A
2017-09,0117,6.7398322625525395,5.246631727056014,0.8839779005524795,0.06814486471644685,5.814276333552252,0.5,,0.0,7.665388191552827,0.5,A
2017-09,0118,0.5943182102928335,0.42706429083529773,1.0638297872340274,0.0687307686433743,0.37761134914512445,0.5,,0.0,0.8110250714405425,0.5,A
2017-09,0119,1.7621031557677047,1.2184171950597278,-1.4191106906338735,0.03580464820329736,1.5465699862544253,0.5,,0.0,1.9776363252809839,0.5,A
2017-09,012,-0.6961233038233379,-1.1354923811666453,-0.7774538386783436,0.09991329608570612,-1.2474866487959368,0.5,,0.0,-0.14475995885073878,0.5,A
2017-10,0111,-0.4166468854998354,-0.5291517700959605,-0.6578947368421129,0.16236763877827445,-0.20862982929800428,0.5,,0.0,-0.6246639417016666,0.5,A
2017-10,0112,-0.00341824496266227,0.21488559945387967,0.4757373929590969,0.23994820879144166,0.3577072149134051,0.5,,0.0,-0.36454370483872967,0.5,A
2017-10,0113,-1.2011336803637662,-1.1838173201121855,1.0261194029850706,0.02477687368175713,-1.125540017484966,0.5,,0.0,-1.2767273432425668,0.5,A
