period,cell,feature,coef
2019-02,C1,exp12,-0.0
2019-02,C1,exp36,-0.02265771374584386
2019-02,C1,household_exp,-0.0
2019-02,C1,esi,0.06278093346120296
2019-02,C1,eurczk_mm,0.0
2019-02,C1,services_l1,0.0
2019-02,C1,import_l2,0.021501966043129997
2019-02,C1,core_l1,0.0
2019-02,C1,core_l2,-0.0
2019-02,C1,core_l12,0.08765425412004885
2019-02,C1,state,0.0
2019-02,C1,eurczk_mm_x_state,-0.015610409661199783
2019-02,C1,exp12_x_state,0.0011203609032723288
2019-02,C1,import_l2_x_state,0.0
2019-02,C1,mon_2,0.010766571484127904
2019-02,C1,mon_3,-0.01831680528213703
2019-02,C1,mon_4,0.02144665662171821
2019-02,C1,mon_5,-0.008324539489963026
2019-02,C1,mon_6,-0.0
2019-02,C1,mon_7,0.03989299783119955
2019-02,C1,mon_8,-0.0
2019-02,C1,mon_9,-0.10834155339268307
2019-02,C1,mon_10,0.011297806095023424
2019-02,C1,mon_11,-0.030535964938004274
2019-02,C1,mon_12,-0.0
2019-02,C2,exp12,-0.0
2019-02,C2,exp36,-0.022914362645881006
2019-02,C2,household_exp,-0.0
2019-02,C2,esi,0.06271992964830814
2019-02,C2,eurczk_mm,0.0
2019-02,C2,services_l1,0.003281741810716923
2019-02,C2,import_l2,0.01878994393799944
2019-02,C2,core_l1,0.0
2019-02,C2,core_l2,0.0
2019-02,C2,core_l12,0.08354894732939165
2019-02,C2,state,0.0
2019-02,C2,eurczk_mm_x_state,-0.016211706627923646
2019-02,C2,exp12_x_state,0.001642352460770544
2019-02,C2,import_l2_x_state,0.0
2019-02,C2,mon_2,0.013866666164090798
2019-02,C2,mon_3,-0.010375813643687287
2019-02,C2,mon_4,0.0248072038206866
2019-02,C2,mon_5,-0.007897146602672038
2019-02,C2,mon_6,-0.0
2019-02,C2,mon_7,0.03693009660462692
2019-02,C2,mon_8,-0.0
2019-02,C2,mon_9,-0.10173405290975092
2019-02,C2,mon_10,0.014064623773686679
2019-02,C2,mon_11,-0.029827156762311915
2019-02,C2,mon_12,-0.0
2019-02,C2,de_neig,-0.016078002222566196
2019-02,C2,de_serv,0.0
2019-02,C2,ea_neig,-0.007087630765678322
2019-02,C2,ea_serv,0.0
2019-02,F1,food_l1,0.0
2019-02,F1,food_l12,0.0
2019-02,F1,agri_l0,0.0
2019-02,F1,agri_l1,0.0
2019-02,F1,food_ppi_l1,0.0
2019-02,F2,food_l1,0.0
2019-02,F2,food_l12,-0.030526134958036612
2019-02,F2,agri_l0,-0.0
2019-02,F2,agri_l1,0.0
2019-02,F2,food_ppi_l1,0.014399602208595702
2019-02,F2,de_foodun,0.0
2019-02,F2,de_foodpr,0.10431729612436537
2019-02,F2,ea_foodun,0.24213659975774182
2019-02,F2,ea_foodpr,-0.0
2019-03,C1,exp12,-0.0
2019-03,C1,exp36,-0.022447546412677304
2019-03,C1,household_exp,-0.0
2019-03,C1,esi,0.06251177930205716
2019-03,C1,eurczk_mm,0.0
2019-03,C1,services_l1,0.0
2019-03,C1,import_l2,0.021121343460654363
2019-03,C1,core_l1,0.0
2019-03,C1,core_l2,-0.0
2019-03,C1,core_l12,0.08826788132955717
2019-03,C1,state,0.0
2019-03,C1,eurczk_mm_x_state,-0.015484575655942238
2019-03,C1,exp12_x_state,0.00102276614055147
2019-03,C1,import_l2_x_state,0.0
2019-03,C1,mon_2,0.011644599383963013
2019-03,C1,mon_3,-0.018322480771639792
2019-03,C1,mon_4,0.021143086198772247
2019-03,C1,mon_5,-0.008295885696692502
2019-03,C1,mon_6,-0.0
2019-03,C1,mon_7,0.039592673604973816
2019-03,C1,mon_8,-0.0
2019-03,C1,mon_9,-0.10792879027501674
2019-03,C1,mon_10,0.011033506775391924
2019-03,C1,mon_11,-0.030439739401928564
2019-03,C1,mon_12,-0.0
2019-03,C2,exp12,-0.0
2019-03,C2,exp36,-0.022718994152776242
2019-03,C2,household_exp,-0.0
2019-03,C2,esi,0.062468401599182675
2019-03,C2,eurczk_mm,0.0
2019-03,C2,services_l1,0.003534843982864067
2019-03,C2,import_l2,0.01843737257907726
2019-03,C2,core_l1,0.0
2019-03,C2,core_l2,0.0
2019-03,C2,core_l12,0.08414227050665
2019-03,C2,state,0.0
2019-03,C2,eurczk_mm_x_state,-0.01610630391461263
2019-03,C2,exp12_x_state,0.0015336762157521957
2019-03,C2,import_l2_x_state,0.0
2019-03,C2,mon_2,0.014647180523605583
2019-03,C2,mon_3,-0.010429852206071094
2019-03,C2,mon_4,0.02448692405170448
2019-03,C2,mon_5,-0.007877500490232154
2019-03,C2,mon_6,-0.0
2019-03,C2,mon_7,0.0365568152780457
2019-03,C2,mon_8,-0.0
