origin,as_of_utc,target,h,model,mm_forecast,native_h0,h0_exante,h0_actual,h0_method,mm_actual,yy_actual,yy_exante,yy_conditional,status,converged,fallback_used,unemployment_end,unemployment_adjustments,fx_end,headline_n
2022-01,2022-02-13T22:59:00+00:00,2022-06,5,TARGET_U_FX_ML,0.11464095193780338,1.3118027220621524,4.378137226971534,4.442581726739303,HARD_BASE,1.5801354401805856,17.187499999999993,8.787411027988929,8.85457787414067,converged,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-07,6,TARGET_U_FX_ML,0.2408147327995369,1.3118027220621524,4.378137226971534,4.442581726739303,HARD_BASE,1.333333333333342,17.525773195876276,7.925166655184005,7.99180113978227,converged,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-08,7,TARGET_U_FX_ML,-0.12546143144085128,1.3118027220621524,4.378137226971534,4.442581726739303,HARD_BASE,0.43859649122806044,17.235494880546053,7.053995901358791,7.120092513132975,converged,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-09,8,TARGET_U_FX_ML,-0.3378455000349288,1.3118027220621524,4.378137226971534,4.442581726739303,HARD_BASE,0.8005822416302655,17.972742759795548,6.510560158515689,6.576321245576235,converged,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-10,9,TARGET_U_FX_ML,0.1509860875269019,1.3118027220621524,4.378137226971534,4.442581726739303,HARD_BASE,-1.4440433212996373,15.092748735244497,5.592070623848036,5.657264622817377,converged,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-11,10,TARGET_U_FX_ML,0.014521277220767292,1.3118027220621524,4.378137226971534,4.442581726739303,HARD_BASE,1.172161172161168,16.24579124579122,5.429613698821315,5.494707394647244,converged,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-12,11,TARGET_U_FX_ML,0.021190902065268052,1.3118027220621524,4.378137226971534,4.442581726739303,HARD_BASE,0.0,15.758591785414907,5.009993931089307,5.074828547890236,converged,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2023-01,12,TARGET_U_FX_ML,1.2123200832058458,1.3118027220621524,4.378137226971534,4.442581726739303,HARD_BASE,6.010137581462716,17.49598715890851,1.8250124025257792,1.8250124025257792,converged,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-01,0,BVAR_U_FX,4.378137226971534,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,4.442581726739303,9.876543209876534,9.808745777581164,9.876543209876534,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-02,1,BVAR_U_FX,0.3018142008927365,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,1.2841091492777013,11.091549295774657,9.946255426430959,10.014137759077768,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-03,2,BVAR_U_FX,0.11004664268248471,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,1.6640253565768592,12.741652021089633,9.873807786841228,9.941645389317365,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-04,3,BVAR_U_FX,0.2904831356502951,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,1.7926734216679563,14.160839160839142,9.61503749761812,9.682715331753045,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-05,4,BVAR_U_FX,0.31594836250139213,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,1.7611026033690802,15.968586387434563,9.769459763710584,9.837232940279812,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-06,5,BVAR_U_FX,0.24444153244690964,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,1.5801354401805856,17.187499999999993,9.464668465850485,9.532253460073813,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-07,6,BVAR_U_FX,0.3796788369662735,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,1.333333333333342,17.525773195876276,8.747496226939981,8.814638429143717,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-08,7,BVAR_U_FX,-0.0034365924307019347,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,0.43859649122806044,17.235494880546053,8.001480800158284,8.068162402160912,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-09,8,BVAR_U_FX,-0.22349002891973474,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,0.8005822416302655,17.972742759795548,7.576530562279022,7.642949794150952,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-10,9,BVAR_U_FX,0.2869044969871934,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,-1.4440433212996373,15.092748735244497,6.793585560942423,6.859521391785198,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-11,10,BVAR_U_FX,0.1180691670928847,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,1.172161172161168,16.24579124579122,6.739676403616588,6.805578950203013,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-12,11,BVAR_U_FX,0.1660813011656918,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,0.0,15.758591785414907,6.468849827236177,6.534585161763615,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2023-01,12,BVAR_U_FX,1.3208350109753582,1.4277567263467073,4.378137226971534,4.442581726739303,HARD_BASE,6.010137581462716,17.49598715890851,3.3503093056367796,3.3503093056367796,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-01,0,RF_U_FX,4.378137226971534,,4.378137226971534,4.442581726739303,HARD_BASE,4.442581726739303,9.876543209876534,9.808745777581164,9.876543209876534,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-02,1,RF_U_FX,0.31803476215925264,,4.378137226971534,4.442581726739303,HARD_BASE,1.2841091492777013,11.091549295774657,9.964035662874105,10.031928973283824,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-03,2,RF_U_FX,0.23360573177097532,,4.378137226971534,4.442581726739303,HARD_BASE,1.6640253565768592,12.741652021089633,10.027208079689517,10.0951403936196,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-04,3,RF_U_FX,0.5497314727041465,,4.378137226971534,4.442581726739303,HARD_BASE,1.7926734216679563,14.160839160839142,10.051824182207111,10.119771694457983,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-05,4,RF_U_FX,0.35450687951544907,,4.378137226971534,4.442581726739303,HARD_BASE,1.7611026033690802,15.968586387434563,10.24922207472975,10.31729146315869,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-06,5,RF_U_FX,0.32700727145134545,,4.378137226971534,4.442581726739303,HARD_BASE,1.5801354401805856,17.187499999999993,10.033652625509552,10.101588918390997,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-07,6,RF_U_FX,0.6370046290326584,,4.378137226971534,4.442581726739303,HARD_BASE,1.333333333333342,17.525773195876276,9.592978559565612,9.660642774208311,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-08,7,RF_U_FX,0.14262663358523558,,4.378137226971534,4.442581726739303,HARD_BASE,0.43859649122806044,17.235494880546053,9.000145442455615,9.067443633765336,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-09,8,RF_U_FX,-0.0055748723167416666,,4.378137226971534,4.442581726739303,HARD_BASE,0.8005822416302655,17.972742759795548,8.808388978848344,8.875568777075927,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-10,9,RF_U_FX,0.7843805253265204,,4.378137226971534,4.442581726739303,HARD_BASE,-1.4440433212996373,15.092748735244497,8.552297276318741,8.619318960001433,estimated,True,False,2021-12,sa,2022-01,371
2022-01,2022-02-13T22:59:00+00:00,2022-11,10,RF_U_FX,0.1962178866591825,,4.378137226971534,4.442581726739303,HARD_BASE,1.172161172161168,16.24579124579122,8.582189740526799,8.64922988022867,estimated,True,False,2021-12,sa,2022-01,371
