run_ts,spec,target,h0_struct_qrf,core,food,adm,fuel,wedge,fuel_weeks_observed,core_edge,panel_edge,h1_target,h1_struct,h0_base_ridge,h0_past_full,h0_past_half,pe_corr,h0_edge_gap
2026-09-05T20:04:27,v1.1-2026-09-05,2026-08,0.303,0.076,-0.117,0.05,7.244,0.017,5,2026-07,2026-09,,,,,,,0
2026-09-05T20:04:37,v1.1-2026-09-05,2026-09,-0.199,-0.275,-0.908,0.15,2.576,0.009,0,2026-07,2026-09,,,,,,,1
2026-09-05T20:17:37,v1.2-2026-09-05,2026-08,0.303,0.076,-0.117,0.05,7.244,0.017,5,2026-07,2026-09,,,,,,,0
2026-09-05T20:17:47,v1.2-2026-09-05,2026-09,-0.199,-0.275,-0.908,0.15,2.576,0.009,0,2026-07,2026-09,,,,,,,1
2026-09-05T20:25:08,v1.3-2026-09-05,2026-08,0.303,0.076,-0.117,0.05,7.244,0.017,5,2026-07,2026-09,2026-09,-0.467,,,,,0
2026-09-05T20:25:18,v1.3-2026-09-05,2026-09,-0.199,-0.275,-0.908,0.15,2.576,0.009,0,2026-07,2026-09,2026-10,0.458,,,,,1
2026-09-05T20:34:46,v1.4-2026-09-05,2026-08,0.303,0.076,-0.117,0.05,7.244,0.017,5,2026-07,2026-09,2026-09,-0.467,,,,,0
2026-09-05T20:34:55,v1.4-2026-09-05,2026-09,-0.199,-0.275,-0.908,0.15,2.576,0.009,0,2026-07,2026-09,2026-10,0.458,,,,,1
2026-09-05T20:42:34,v1.5-2026-09-05,2026-08,0.303,0.076,-0.117,0.05,7.244,0.017,5,2026-07,2026-09,2026-09,-0.467,,,,,0
2026-09-05T20:42:45,v1.5-2026-09-05,2026-09,-0.199,-0.275,-0.908,0.15,2.576,0.009,0,2026-07,2026-09,2026-10,0.458,,,,,1
2026-09-05T21:15:47,v1.6-2026-09-05,2026-08,0.277,0.076,-0.117,0.05,7.244,0.014,5,2026-07,2026-09,2026-09,-0.538,,,,,0
2026-09-05T21:16:04,v1.6-2026-09-05,2026-09,-0.263,-0.275,-0.908,0.15,2.576,0.012,0,2026-07,2026-09,2026-10,0.453,,,,,1
2026-09-05T21:31:13,v1.6.1-2026-09-05,2026-08,0.266,0.076,-0.117,0.05,7.244,0.007,5,2026-07,2026-09,2026-09,-0.483,,,,,0
2026-09-05T21:31:28,v1.6.1-2026-09-05,2026-09,-0.213,-0.275,-0.908,0.15,2.576,0.01,0,2026-07,2026-09,2026-10,0.4,,,,,1
2026-09-06T09:53:55,v2.2-codex-review-2026-09-06,2026-09,-0.205,-0.295,-0.908,0.15,2.578,-0.028,0,2026-07,2026-09,2026-10,0.368,-0.217,-0.172,-0.195,0.0828,1
2026-09-06T14:15:44,v2.2-codex-review-2026-09-06,2026-08,0.279,0.064,-0.117,0.05,7.473,0.008,4,2026-07,2026-09,2026-09,-0.441,0.273,0.319,0.296,0.0832,0
