source,target_month,assumed_available_from,timezone,status
CNB_core,2011-10,2011-11-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-11,2011-12-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2011-12,2012-01-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-01,2012-02-16 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-02,2012-03-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-03,2012-04-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-04,2012-05-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-05,2012-06-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-06,2012-07-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-07,2012-08-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-08,2012-09-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-09,2012-10-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-10,2012-11-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-11,2012-12-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2012-12,2013-01-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-01,2013-02-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-02,2013-03-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-03,2013-04-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-04,2013-05-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-05,2013-06-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-06,2013-07-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-07,2013-08-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-08,2013-09-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-09,2013-10-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-10,2013-11-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-11,2013-12-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2013-12,2014-01-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-01,2014-02-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-02,2014-03-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-03,2014-04-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-04,2014-05-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-05,2014-06-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-06,2014-07-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-07,2014-08-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-08,2014-09-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-09,2014-10-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-10,2014-11-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-11,2014-12-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2014-12,2015-01-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
