as_of_utc,target,model,mm_forecast,native_h0,h0_exante,h0_actual,h0_method,mm_actual,yy_actual,yy_exante,yy_conditional,status,converged,fallback_used,unemployment_end,unemployment_adjustments,fx_end,headline_n,origin,h,origin_status,contribution_core,contribution_food,contribution_administered,contribution_alcohol_tobacco,contribution_fuel,contribution_wedge,value_core,value_food,value_administered,value_alcohol_tobacco,value_fuel,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core
2025-03-04T22:59:00+00:00,2025-10,INDEPENDENT_BRIDGE,0.35969136702385796,,0.3273352565503001,0.1948051948051921,HARD_BASE,0.5151320025756467,2.4950755088640726,3.135224685548209,2.9989854675851375,estimated,True,False,2025-01,sa,2025-02,408,2025-02,8,estimated,0.21395551445363223,0.15439387287356499,0.0,0.0035087604820415457,0.020946015956893112,-0.033112796742273895,0.40651572246577317,0.8701597773328595,0.0,0.0414638864488559,0.5909590377304208,-0.033112796742273895,0.177431636,0.035444108,0.084622084,0.17618669973275852,0.5263154722672414
2025-03-04T22:59:00+00:00,2025-11,INDEPENDENT_BRIDGE,0.13457701525718258,,0.3273352565503001,0.1948051948051921,HARD_BASE,-0.3203074951953821,2.099737532808387,3.206255886970608,3.06992283845292,estimated,True,False,2025-01,sa,2025-02,408,2025-02,9,estimated,0.030330665828063583,0.09952753513309195,0.008809334986637926,-0.0006067033862344842,-0.010867708439740902,0.007383891135364497,0.05762829980544998,0.5609345513394914,0.05,-0.007169563281311816,-0.3066153742602551,0.007383891135364497,0.177431636,0.035444108,0.084622084,0.17618669973275852,0.5263154722672414
2025-03-04T22:59:00+00:00,2025-12,INDEPENDENT_BRIDGE,-0.15522678860612946,,0.3273352565503001,0.1948051948051921,HARD_BASE,-0.2570694087403624,2.1052631578947296,3.3172259517122162,3.1807463143362225,estimated,True,False,2025-01,sa,2025-02,408,2025-02,10,estimated,0.031088091371086344,-0.08457654738648283,0.0,-0.0575467096530258,-0.04150464246364355,-0.0026869804740636246,0.059067409204533294,-0.47667118047924006,0.0,-0.680043635571842,-1.1709884887960376,-0.0026869804740636246,0.177431636,0.035444108,0.084622084,0.17618669973275852,0.5263154722672414
2025-03-04T22:59:00+00:00,2026-01,INDEPENDENT_BRIDGE,1.128579042663901,,0.3273352565503001,0.1948051948051921,HARD_BASE,0.8376288659793785,1.62337662337662,3.126317283845931,2.9900898323520337,estimated,True,False,2025-01,sa,2025-02,408,2025-02,11,estimated,0.24638935426648934,0.5169244612618867,0.11452135482629304,0.27357553988917677,-0.0031115056641220816,-0.019720161915822793,0.4681400552507089,2.913372569375885,0.65,3.2329095072768093,-0.08778625954198316,-0.019720161915822793,0.177431636,0.035444108,0.084622084,0.17618669973275852,0.5263154722672414
2025-03-04T22:59:00+00:00,2026-02,INDEPENDENT_BRIDGE,0.31996540663334877,,0.3273352565503001,0.1948051948051921,HARD_BASE,-0.0638977635782689,1.3609850939727857,3.1187418261810147,3.1187418261810147,estimated,True,False,2025-01,sa,2025-02,408,2025-02,12,estimated,0.213389140129683,0.06388560253953268,0.017618669973275852,-0.024678661363377218,0.03299073876414072,0.016759916590093748,0.4054396106017053,0.36005756346366935,0.1,-0.2916338170468269,0.9307820291073687,0.016759916590093748,0.177431636,0.035444108,0.084622084,0.17618669973275852,0.5263154722672414
2025-04-03T21:59:00+00:00,2025-03,INDEPENDENT_BRIDGE,0.0259612093364776,,0.0259612093364776,0.0648088139987068,HARD_BASE,0.0648088139987068,2.659574468085101,2.6197195119721894,2.659574468085101,estimated,True,False,2025-02,sa,2025-03,409,2025-03,0,estimated,,,,,,,,,,,,,,,,,
2025-04-03T21:59:00+00:00,2025-04,INDEPENDENT_BRIDGE,0.4700206627270575,,0.0259612093364776,0.0648088139987068,HARD_BASE,-0.1295336787564882,1.8494055482166376,2.421062292045821,2.4608400946172946,estimated,True,False,2025-02,sa,2025-03,409,2025-03,1,estimated,0.23864151171213496,0.18081873631060905,0.017529100721142367,0.013983489481755578,0.018304957052375632,0.0007428674490398968,0.45264882015128727,1.0190896076199683,0.1,0.16524633784433362,0.5164456967678699,0.0007428674490398968,0.177431636,0.035444108,0.084622084,0.17529100721142366,0.5272111647885763
2025-04-03T21:59:00+00:00,2025-05,INDEPENDENT_BRIDGE,0.4008784998819904,,0.0259612093364776,0.0648088139987068,HARD_BASE,0.5188067444876765,2.377807133421391,2.8316463101253726,2.871583573355081,estimated,True,False,2025-02,sa,2025-03,409,2025-03,2,estimated,0.16466073177580495,0.16165574966738466,0.026293651081713554,0.05904409576321023,0.003367369090009975,-0.014143097496132975,0.3123240605912389,0.9110875225621246,0.15000000000000002,0.6977386158819987,0.09500504540867483,-0.014143097496132975,0.177431636,0.035444108,0.084622084,0.17529100721142366,0.5272111647885763
2025-04-03T21:59:00+00:00,2025-06,INDEPENDENT_BRIDGE,0.3256614275195678,,0.0259612093364776,0.0648088139987068,HARD_BASE,0.2580645161290418,2.913907284768222,3.4398181368247585,3.4799915989212877,estimated,True,False,2025-02,sa,2025-03,409,2025-03,3,estimated,0.23112090937852958,0.02127152067444488,0.017529100721142367,0.024033897025203282,0.03738471306408918,-0.005678713343841509,0.4383839433127603,0.11988572699879113,0.1,0.28401447812610336,1.0547511328001025,-0.005678713343841509,0.177431636,0.035444108,0.084622084,0.17529100721142366,0.5272111647885763
2025-04-03T21:59:00+00:00,2025-07,INDEPENDENT_BRIDGE,0.4657118384856526,,0.0259612093364776,0.0648088139987068,HARD_BASE,0.4504504504504458,2.697368421052633,3.2378552102302143,3.2779502349307528,estimated,True,False,2025-02,sa,2025-03,409,2025-03,4,estimated,0.4333781616541544,-0.003103505513431397,0.0,0.01631302435155849,0.026994748742021766,-0.007870590748650637,0.8220200758228421,-0.017491274856031858,0.0,0.19277502491617304,0.7616145606491709,-0.007870590748650637,0.177431636,0.035444108,0.084622084,0.17529100721142366,0.5272111647885763
2025-04-03T21:59:00+00:00,2025-08,INDEPENDENT_BRIDGE,0.20111204892158016,,0.0259612093364776,0.0648088139987068,HARD_BASE,0.0640614990390808,2.493438320209967,3.1739685325993494,3.214038745297427,estimated,True,False,2025-02,sa,2025-03,409,2025-03,5,estimated,0.16207730559677172,-0.0073262329767738105,0.008764550360571183,0.024466261648103928,0.003766642720510297,0.009363521572396834,0.3074238870904193,-0.04129045497147876,0.05,0.28912383732010105,0.10626992561105775,0.009363521572396834,0.177431636,0.035444108,0.084622084,0.17529100721142366,0.5272111647885763
2025-04-03T21:59:00+00:00,2025-09,INDEPENDENT_BRIDGE,-0.3015997691563193,,0.0259612093364776,0.0648088139987068,HARD_BASE,-0.5761843790012655,2.305665349143618,3.269368398203978,3.30947566184582,estimated,True,False,2025-02,sa,2025-03,409,2025-03,6,estimated,-0.2313220607070373,-0.10087220102648023,0.026293651081713554,0.036379522746946356,-0.0018889539100168107,-0.030189727341444882,-0.4387654817587232,-0.5685130526919124,0.15000000000000002,0.42990577668763574,-0.05329387637620364,-0.030189727341444882,0.177431636,0.035444108,0.084622084,0.17529100721142366,0.5272111647885763
2025-04-03T21:59:00+00:00,2025-10,INDEPENDENT_BRIDGE,0.3776457553358225,,0.0259612093364776,0.0648088139987068,HARD_BASE,0.5151320025756467,2.4950755088640726,3.3190477156298415,3.3591742734875036,estimated,True,False,2025-02,sa,2025-03,409,2025-03,7,estimated,0.23193677354123682,0.15439387287356499,0.0,0.0035087604820415457,0.020946015956893112,-0.033139667517913945,0.43993145257887084,0.8701597773328595,0.0,0.0414638864488559,0.5909590377304208,-0.033139667517913945,0.177431636,0.035444108,0.084622084,0.17529100721142366,0.5272111647885763
2025-04-03T21:59:00+00:00,2025-11,INDEPENDENT_BRIDGE,0.1919795490184677,,0.0259612093364776,0.0648088139987068,HARD_BASE,-0.3203074951953821,2.099737532808387,3.4494743548877014,3.4896515672200437,estimated,True,False,2025-02,sa,2025-03,409,2025-03,8,estimated,0.08776902729020211,0.09952753513309195,0.008764550360571183,-0.0006067033862344842,-0.010867708439740902,0.007392848060577844,0.1664779374036957,0.5609345513394914,0.05,-0.007169563281311816,-0.3066153742602551,0.007392848060577844,0.177431636,0.035444108,0.084622084,0.17529100721142366,0.5272111647885763
2025-04-03T21:59:00+00:00,2025-12,INDEPENDENT_BRIDGE,-0.06995430495290517,,0.0259612093364776,0.0648088139987068,HARD_BASE,-0.2570694087403624,2.1052631578947296,3.649152012530907,3.6894067747174084,estimated,True,False,2025-02,sa,2025-03,409,2025-03,9,estimated,0.1163874457999507,-0.08457654738648283,0.0,-0.0575467096530258,-0.04150464246364355,-0.0027138512497036707,0.2207605862190432,-0.47667118047924006,0.0,-0.680043635571842,-1.1709884887960376,-0.0027138512497036707,0.177431636,0.035444108,0.084622084,0.17529100721142366,0.5272111647885763
