table,obj,h,n,naive,rw,E1R,bias_E1R,E4,bias_E4,E5,bias_E5,E6,bias_E6,E7,bias_E7,E1_ML,bias_E1_ML,F2_D1_fixed,bias_F2_D1_fixed,F2R,bias_F2R,F1b,bias_F1b,E,bias_E
LONG SPAN 2008-01..2026-07,b,1,222,0.6332964207348541,1.1014760688395024,0.5743820815923865,-0.013275344516044374,0.5882894179282309,-0.0027238109556402927,0.5723122939853575,-0.036819530434035685,0.5923894888646468,0.02604770326129382,0.5919475278594343,-0.008275902730178487,0.572014120991185,-0.013891763953891573,0.5701431296201116,-0.09493262250258853,0.5684320832892472,-0.09474766988929892,,,,
LONG SPAN 2008-01..2026-07,b,3,220,1.3669374421395235,1.8281777610578178,1.2262855252859908,-0.05197237044216483,1.2899783784290064,-0.017327997758353586,1.2162437620837778,-0.12177898442890844,1.307399762699963,0.07012779085717467,1.2969924918005145,-0.034732148467103235,1.216758918351673,-0.053281555467832954,1.2057353309765193,-0.29492430306146084,1.203364502594369,-0.2957478427478743,,,,
LONG SPAN 2008-01..2026-07,b,6,217,2.2976811117887457,2.801351745242859,2.0342410983475925,-0.12159010331768856,2.167324379029644,-0.043322627102618944,1.9967817326485262,-0.2569615230770697,2.2260157648256533,0.13115454215177091,2.17925978680529,-0.07838003871543116,2.0223657314837826,-0.12664934795287228,2.023974769736593,-0.5961962486129019,2.0168861217045766,-0.5976354733336278,,,,
LONG SPAN 2008-01..2026-07,b,9,214,3.20644828205988,3.7135507302958897,2.9564298932790916,-0.22397776989668763,3.1425741426509606,-0.09466396283349836,2.8840637833599327,-0.41767209299501806,3.240308821937377,0.16760627586365776,3.1414739372262406,-0.14658753925152357,2.94654192476417,-0.23934881436108887,2.9309827671335937,-0.904469367640098,2.927048150139115,-0.9039876518860201,,,,
LONG SPAN 2008-01..2026-07,b,12,211,4.093597443989172,4.472970319336139,3.9629139361866343,-0.3702992039985357,4.21112510388967,-0.1809973491639849,3.828848138459607,-0.612268009047398,4.377167055538326,0.1718150240681515,4.182361798432718,-0.25070718395181185,3.955208356516943,-0.3945561922177701,3.839250809415117,-1.2322211790005606,3.8384364597946274,-1.2307391062763098,,,,
COMPONENT SPAN 2019-02..2026-07 (b),b,1,88,0.9368098432246982,1.5709723518952163,,,,,,,,,,,0.812409345008555,-0.08589217462304731,0.8184068750216974,-0.22743908873376048,0.8199836966191866,-0.22693387711329435,0.7719127355685579,-0.11286314731321867,0.855089311058043,-0.06180667681627081
COMPONENT SPAN 2019-02..2026-07 (b),b,3,84,2.0945116103044437,2.697010642247087,,,,,,,,,,,1.8161830364751224,-0.2864782224384056,1.83051518360742,-0.7164469208180193,1.8277876689603547,-0.7143630053999699,1.5564864775582956,-0.3369584376813826,1.9672569862268015,-0.20685384514869304
COMPONENT SPAN 2019-02..2026-07 (b),b,6,78,3.65237982726404,4.305620003577593,,,,,,,,,,,3.192818688437651,-0.6475672525086431,3.2537184893830706,-1.5018573546656433,3.244200919415886,-1.5041054767439308,2.5721594600213993,-0.8332803042876396,3.4899424864094146,-0.46728247667953976
COMPONENT SPAN 2019-02..2026-07 (b),b,9,72,5.278392321188259,5.916335565450812,,,,,,,,,,,4.83641938384204,-1.139158696373974,4.887475454748254,-2.3689589342454442,4.881755409364604,-2.3664623907134166,4.053826134192116,-1.4470131653850111,5.228952436404241,-0.8105753578097971
COMPONENT SPAN 2019-02..2026-07 (b),b,12,66,6.990062293675042,7.426570296101707,,,,,,,,,,,6.799100930331589,-1.8440645738589199,6.664483091120692,-3.422090199965882,6.663039160893473,-3.420386822815004,5.7880222439845745,-2.3615329336577395,7.268906515480363,-1.333293080125244
COMPONENT SPAN 2019-02..2026-07 (a),a,1,88,0.9368098432246982,1.5709723518952163,,,,,,,,,,,0.9440004285920327,-0.1225799184342513,0.9398796389574813,-0.2641951451221514,0.9405883199776429,-0.26369545790391286,0.925459116284548,-0.1494154263222989,0.9883361198513826,-0.0984292502639038
COMPONENT SPAN 2019-02..2026-07 (a),a,3,84,2.0945116103044437,2.697010642247087,,,,,,,,,,,1.8687347769056757,-0.33292705574852405,1.8668559350088274,-0.7631506095869858,1.86458258693882,-0.7610608226269695,1.6107823445807217,-0.383501555630929,2.0282175560709845,-0.25308173991607585
COMPONENT SPAN 2019-02..2026-07 (a),a,6,78,3.65237982726404,4.305620003577593,,,,,,,,,,,3.275686769438298,-0.6929560717164589,3.312656441230511,-1.5478885811300584,3.3031614915487655,-1.550144305016302,2.68040067060324,-0.8785035046814702,3.579098623766245,-0.5122505266823134
COMPONENT SPAN 2019-02..2026-07 (a),a,9,72,5.278392321188259,5.916335565450812,,,,,,,,,,,4.937881112543111,-1.189876768329201,4.96237959645715,-2.420746473490174,4.95499589768262,-2.4183363780413156,4.1828563717260945,-1.4973482174345814,5.334960696985947,-0.8607215148528464
COMPONENT SPAN 2019-02..2026-07 (a),a,12,66,6.990062293675042,7.426570296101707,,,,,,,,,,,6.799100930331589,-1.8440645738589199,6.664483091120692,-3.422090199965882,6.663039160893473,-3.420386822815004,5.7880222439845745,-2.3615329336577395,7.268906515480363,-1.333293080125244
