candidate,reference,frame,block,delta,lower,upper
SENTIMENT_BASE,HARD_BASE,all,3,0.003682859178111675,0.0003954574285339477,0.010024275984529101
SENTIMENT_BASE,HARD_BASE,all,6,0.003682859178111675,0.0003333987014772361,0.010409447352966695
SENTIMENT_BASE,HARD_BASE,all,12,0.003682859178111675,0.0005257078868490682,0.010894902966934225
SENTIMENT_BASE,HARD_BASE,2024+,3,0.00039733898729124584,-0.00043613883578178317,0.0012149830551870325
SENTIMENT_BASE,HARD_BASE,2024+,6,0.00039733898729124584,-0.0005194844019116684,0.0012376739188889175
SENTIMENT_BASE,HARD_BASE,2024+,12,0.00039733898729124584,-0.0006226932124573092,0.0012259251662342363
HARD_HALF,HARD_BASE,all,3,-0.004255109091485798,-0.010898486849275319,0.004177429928659924
HARD_HALF,HARD_BASE,all,6,-0.004255109091485798,-0.008986595323847303,0.0020781500388323704
HARD_HALF,HARD_BASE,all,12,-0.004255109091485798,-0.008594230497837207,0.0024269442879386242
HARD_HALF,HARD_BASE,2024+,3,0.0006103098497225456,-0.00880725985899535,0.00949433011487361
HARD_HALF,HARD_BASE,2024+,6,0.0006103098497225456,-0.009812379753977073,0.009783145566910154
HARD_HALF,HARD_BASE,2024+,12,0.0006103098497225456,-0.010472605462062214,0.009172234599493083
HARD_FULL,HARD_BASE,all,3,-0.004020700394509857,-0.017968384325968423,0.014431413514240127
HARD_FULL,HARD_BASE,all,6,-0.004020700394509857,-0.013524699493614723,0.009666161229699405
HARD_FULL,HARD_BASE,all,12,-0.004020700394509857,-0.012902602866599916,0.009608946261897284
HARD_FULL,HARD_BASE,2024+,3,0.006338818721064093,-0.012755084850793427,0.024037061590204183
HARD_FULL,HARD_BASE,2024+,6,0.006338818721064093,-0.012833756774507717,0.02282304969621425
HARD_FULL,HARD_BASE,2024+,12,0.006338818721064093,-0.01448979656794875,0.021650053830952573
