model,split,n,mae,rmse
HARD_BASE,all,90,0.2408643018849658,0.2997166455678414
HARD_BASE,2024+,31,0.1491075961606604,0.19013957694935202
HARD_BASE,flash2025+,19,0.11658015571665543,0.13201748039704428
SELECTED,all,90,0.2298049993238964,0.30397614100234593
SELECTED,2024+,31,0.12553409981646005,0.18111380479118475
SELECTED,flash2025+,19,0.08157696424948083,0.10347752760120986
