model,RMSE,MAE,dir_corr,DM_vs_AR3,DM_pval
TVW_QRF,0.629597688822883,0.3660140325440357,0.35742386043081037,-2.623032051708095,0.009488699965739311
ENSEMBLE,0.7016782729814539,0.39808612005450494,0.30495394564359396,-1.1980145433765599,0.2325406656357405
ARIMA313,0.7111529488729846,0.409788690102058,0.34192210304591003,-1.224915509426239,0.22226269745782434
AR3,0.7313686957426111,0.4455313755858277,0.042936761468999156,,
TVW_QRF_RAW,0.7344401797226608,0.41063247136882175,0.25724736583780644,-0.10310768880364203,0.9180004781032531
RW,0.9662974954871358,0.5379860225566276,0.20103219854972115,1.5399167922322643,0.12539723302645522
