,RMSE,RMSE_2024p,bigMAE,WL15,halved
BASE_RIDGE,0.729,0.212,0.641,6-3,4
RESIDUAL_QRF,0.726,0.219,0.625,7-2,3
PAST_FULL,0.724,0.225,0.599,9-4,6
PAST_HALF,0.724,0.216,0.62,8-2,4
SCENARIO_RIDGE,0.478,0.214,0.542,6-3,4
SCENARIO_PAST_FULL,0.476,0.227,0.5,9-3,6
