period,actual,fuel_mm,h0_TVW_QRF_ENRS,h0_X13_ENRS,h0_TVW_QRF_ENRF,h0_X13_ENRF
2018-02,0.0,-0.24880767408301807,0.2530217498506113,0.2530217498506113,0.2742841298939444,0.2742841298939444
2018-03,-0.0956937799043045,-1.0142394423408252,0.0025765569772464164,-0.12688262521786237,0.09603739218204166,-0.0825036618152808
2018-04,0.2873563218390718,2.9291707361624564,0.36106257086151405,0.29857158455784166,0.391852623583847,0.4002321907997296
2018-05,0.47755491881567025,3.8165421793641796,0.16694500645841037,0.27244618909774887,0.21926531621654272,0.21355377726408947
2018-06,0.3802281368821214,3.689550737804992,0.35248624114722704,0.08968802553559409,0.3107913167328237,0.14497769506916813
2018-07,0.18939393939394478,-0.8461788516681445,0.2744629823425099,0.38694399650944805,0.2214658640662649,0.3873956979660021
2018-08,0.0945179584121103,-0.32881254495231715,0.26647191464957815,-0.10828767377261622,0.21246261014264775,-0.13904469910965567
2018-09,-0.2832861189801861,0.697401996360858,0.16260428975544527,-0.07718527130153315,0.11158385611966123,-0.10339325452539824
2018-10,0.37878787878788955,0.522268154605432,0.23718596582757157,0.38505579819446567,0.1788452294061388,0.363190038233468
2018-11,-0.09433962264150386,-1.1413243334275958,0.2108018410281174,0.08921407596077979,0.16076407398241396,0.08274318067152858
2018-12,0.09442870632672129,-3.7649125418296014,0.029959979472410303,-0.017970291210445757,-0.03127198433931626,-0.0032831573659036772
2019-01,1.037735849056598,-3.7555800762565816,-0.15566495195661306,0.490796756246188,-0.11435356678913015,0.4174260046251145
2019-02,0.18674136321195078,-0.8938585837308999,0.01408368027795532,0.24797129565018833,0.013108262057848367,0.21593085046589228
2019-03,0.18639328984155767,1.3482402934703375,0.26122837268178434,0.102120649718647,0.2415940748755802,0.09561102107048022
2019-04,0.09302325581395099,3.724780608074596,0.4272908519921062,0.4003244441314944,0.41272795916497684,0.38995727146199
2019-05,0.6505576208178487,2.9076958481378368,0.35308385002493575,0.4300079785947395,0.28967970306284024,0.43080373320301757
2019-06,0.1846722068328699,-0.10539739631607592,0.2322419686591586,0.10405979939590163,0.2959566955980467,0.09163174274157136
2019-07,0.36866359447005337,-0.9779633073985217,0.12427486242011293,0.3712785747203577,-0.03407930442456583,0.3132828171969253
2019-08,0.09182736455464191,-0.44484495391748924,0.15128695354650243,0.0072361966789120675,0.26207316790705915,0.03830281384354728
2019-09,-0.5504587155963248,1.7463400086433545,0.2700834755440362,-0.12010639047303795,0.2850286912122784,-0.13474795355752417
2019-10,0.46125461254613587,0.0842122455356753,0.30822268136859504,0.411736819027585,0.3424727607898378,0.33301195645714604
2019-11,0.2754820936639035,-0.5181913737704491,-0.015294677783506377,0.03409269855676338,0.04517552568702164,0.0422508715021302
2019-12,0.1831501831501825,0.5766596956426229,0.1301793587448121,0.29702232515669996,0.14713257183553657,0.2480692436275735
2020-01,1.4625228519195455,0.023902357043814604,0.6422571942674997,0.8944303700035721,0.6381136574329164,0.8530080776963733
2020-02,0.2702702702702675,-0.7639300298811991,0.2538518885140077,0.363474510158981,0.21403188399435893,0.3034020836021414
2020-03,-0.08984725965857088,-9.658632657191024,-0.09962197286726387,-0.2809043847160056,-0.10247824914073644,-0.22649782300659263
2020-04,-0.17985611510791255,-13.292631947566102,-0.256664990924225,-0.13946778136312787,-0.2551818938188176,-0.27818595058584605
2020-05,0.3603603603603567,3.468068733511931,0.37506223365968455,0.6079852765546044,0.3157951378211025,0.6329256791148187
2020-06,0.6283662477558183,3.4417838300551784,0.4160044388529426,0.3934640504539626,0.4019447007377074,0.44963979874478766
2020-07,0.4460303300624524,4.683551956666565,0.5104720810469765,0.721760754465257,0.5336984534468523,0.7314788146712493
2020-08,0.0,0.8448002988761028,0.39165180678115463,0.2518738051421139,0.32861010532597507,0.25508067909803345
2020-09,-0.6216696269982114,-0.924278375808274,0.18200117588152098,-0.19739871335489695,0.0960791378852078,-0.16947452245741035
2020-10,0.17873100983019086,0.7510140068415883,0.3988514737521124,0.35285439376708877,0.4020994954775391,0.40794520885557484
2020-11,0.0,1.2790317301440979,0.18824642956108228,0.07241155651258697,0.26423340041705656,0.0984027977062417
2020-12,-0.1784121320249632,2.1690787273746626,0.09635842621024406,0.18331112470280078,0.11955273877296459,0.18704259807515775
2021-01,1.3404825737265424,0.9810546176569845,0.7817122895385809,1.0355962666319067,0.7628283229241797,1.0445472497029464
2021-02,0.17636684303350414,2.687295552008062,0.363139023756777,0.38019992305805916,0.44937230195567285,0.29510006024523344
2021-03,0.17605633802817433,6.153086739373381,0.2576288158287269,0.2027191691711209,0.36532463825820827,0.2590233540584864
2021-04,0.5272407732864748,3.3249122119921815,0.44056056726077236,0.20549462286100895,0.3733100214600003,0.19532681184530426
2021-05,0.17482517482516613,1.5838844183300838,0.17960828712491844,0.43097041744342074,0.13979241853258245,0.40149219800114494
2021-06,0.523560209424101,1.9263837118130178,0.15295067897713166,0.24441638919208683,0.14659225549553262,0.3137551502384391
2021-07,1.041666666666674,3.231860721993751,0.3413205637573311,0.3618263101372727,0.3456236257807753,0.34266008817437216
2021-08,0.6872852233676952,-0.2996171856775587,0.33476681912666334,0.05249680632576313,0.3215605822759909,0.055144819753904256
2021-09,0.17064846416381396,0.36970158011364607,0.561509740789377,-0.17222060479115192,0.4375825800180162,-0.20439969620054346
