model,category,frame,n,rmse,mae,seasonal_rmse,seasonal_mae
TARGET_CHANNEL,accommodation,all,90,0.7551422305534815,0.529976984680157,0.8684240532931693,0.5982200031866298
TARGET_CHANNEL,accommodation,2024+,31,0.5561230584258295,0.3911759523495135,0.541636978489033,0.44682726793850636
TARGET_CHANNEL,actual_rent,all,90,0.26136961814916626,0.1877310415942594,0.26711507054189193,0.19443594393226127
TARGET_CHANNEL,actual_rent,2024+,31,0.23446875690984167,0.1760056802556623,0.2235918145075158,0.16609705914407288
TARGET_CHANNEL,catering,all,90,0.5504863314159363,0.32832520731831294,0.7720896805406895,0.508802973027249
TARGET_CHANNEL,catering,2024+,31,0.24739045771366544,0.17237741963903286,0.5114820293521546,0.4731171501667751
TARGET_CHANNEL,imputed_rent,all,90,0.3701103051557379,0.25619442522252905,0.6049021421362075,0.41623899419426463
TARGET_CHANNEL,imputed_rent,2024+,31,0.2999459608941426,0.1808223910020167,0.35876876081119696,0.2744544254058189
TARGET_CHANNEL,package_holidays,all,90,1.8015863879864908,1.2286336549172054,2.4957023071326736,1.6537158889750518
TARGET_CHANNEL,package_holidays,2024+,31,1.9128006320931783,1.320523535262308,2.4683591430822105,1.817467136918943
TARGET_OWN,accommodation,all,90,0.7520329415477194,0.5378811777845626,0.8684240532931693,0.5982200031866298
TARGET_OWN,accommodation,2024+,31,0.5449945229700216,0.4014684980686231,0.541636978489033,0.44682726793850636
TARGET_OWN,actual_rent,all,90,0.26136961814916626,0.1877310415942594,0.26711507054189193,0.19443594393226127
TARGET_OWN,actual_rent,2024+,31,0.23446875690984167,0.1760056802556623,0.2235918145075158,0.16609705914407288
TARGET_OWN,catering,all,90,0.5303203960543612,0.3003519528608111,0.7720896805406895,0.508802973027249
TARGET_OWN,catering,2024+,31,0.25250374082799665,0.17591193773046215,0.5114820293521546,0.4731171501667751
TARGET_OWN,imputed_rent,all,90,0.3701103051557379,0.25619442522252905,0.6049021421362075,0.41623899419426463
TARGET_OWN,imputed_rent,2024+,31,0.2999459608941426,0.1808223910020167,0.35876876081119696,0.2744544254058189
TARGET_OWN,package_holidays,all,90,1.787232936698342,1.2161567314377861,2.4957023071326736,1.6537158889750518
TARGET_OWN,package_holidays,2024+,31,1.8905517973593453,1.3012257975892598,2.4683591430822105,1.817467136918943
TARGET_SHARED,accommodation,all,90,0.9964897287468139,0.6637364474849695,0.8684240532931693,0.5982200031866298
TARGET_SHARED,accommodation,2024+,31,0.6347818922727599,0.48692741967808123,0.541636978489033,0.44682726793850636
TARGET_SHARED,actual_rent,all,90,0.29149665015153375,0.21492420550233637,0.26711507054189193,0.19443594393226127
TARGET_SHARED,actual_rent,2024+,31,0.33752569298659635,0.26755392812448137,0.2235918145075158,0.16609705914407288
TARGET_SHARED,catering,all,90,0.7672532103578998,0.36400924474416735,0.7720896805406895,0.508802973027249
TARGET_SHARED,catering,2024+,31,0.2908818301854935,0.17941966034623763,0.5114820293521546,0.4731171501667751
TARGET_SHARED,imputed_rent,all,90,0.6689434956553433,0.43072243951128975,0.6049021421362075,0.41623899419426463
TARGET_SHARED,imputed_rent,2024+,31,0.33077374972365636,0.23447923892466033,0.35876876081119696,0.2744544254058189
TARGET_SHARED,package_holidays,all,90,2.8812410047258648,2.194173400750704,2.4957023071326736,1.6537158889750518
TARGET_SHARED,package_holidays,2024+,31,2.08149160890259,1.5818743206946353,2.4683591430822105,1.817467136918943
