report,season,origin,origin_clock,quarter,quarters_ahead,cnb,ours_a,ours_b,naive,realised,err_cnb,err_ours_a,err_ours_b,err_naive
2022-02-10,winter,2022-01,2022-02-13,2022Q1,1,9.63663198795535,9.867157867313317,9.968231986927973,9.84594358102924,11.23658150891361,-1.5999495209582584,-1.3694236416002923,-1.2683495219856358,-1.3906379278843684
2022-02-10,winter,2022-01,2022-02-13,2022Q2,2,9.50510416,9.56918972586566,9.669989724731636,9.414482410856834,15.772308516091229,-6.267204356091229,-6.2031187902255684,-6.102318791359593,-6.357826105234395
2022-02-10,winter,2022-01,2022-02-13,2022Q3,3,8.17038043,8.123309603831693,8.222779441225946,8.231758312071134,17.578003612072624,-9.407623182072625,-9.454694008240931,-9.355224170846679,-9.34624530000149
2022-02-10,winter,2022-01,2022-02-13,2022Q4,4,6.62746481,6.567012275259252,6.665050371035737,7.004608872228874,15.69904392215021,-9.07157911215021,-9.132031646890958,-9.033993551114474,-8.694435049921335
2022-05-12,spring,2022-05,2022-06-09,2022Q3,1,13.8649926,17.408365000590294,17.150636724597472,14.571502664616416,17.578003612072624,-3.7130110120726236,-0.1696386114823305,-0.42736688747515217,-3.0065009474562086
2022-05-12,spring,2022-05,2022-06-09,2022Q4,2,12.749894,18.283343396785487,18.023694417156417,13.272472162761503,15.69904392215021,-2.9491499221502107,2.5842994746352765,2.324650495006207,-2.4265717593887075
2022-05-12,spring,2022-05,2022-06-09,2023Q1,3,7.85719611,15.311033270712928,15.05790894002608,9.012264427925656,16.393468660721577,-8.536272550721577,-1.0824353900086496,-1.3355597206954979,-7.3812042327959215
2022-08-11,summer,2022-08,2022-09-11,2022Q4,1,19.6557739,18.960141599663455,18.74218159989744,15.939051393112543,15.69904392215021,3.9567299778497897,3.261097677513245,3.0431376777472288,0.24000747096233255
2022-08-11,summer,2022-08,2022-09-11,2023Q1,2,16.1682854,16.490604225542523,16.277168937652668,11.578552905847717,16.393468660721577,-0.2251832607215789,0.09713556482094532,-0.11629972306890934,-4.81491575487386
2022-08-11,summer,2022-08,2022-09-11,2023Q2,3,11.4594623,13.747849484775555,13.53943950044214,7.8055405090214665,11.15840613352934,0.30105616647066036,2.5894433512462154,2.381033366912801,-3.3528656245078734
2022-11-10,autumn,2022-11,2022-12-11,2023Q1,1,14.8665554,10.521793237814355,11.082496647524488,11.792822866037968,16.393468660721577,-1.526913260721578,-5.871675422907222,-5.310972013197089,-4.60064579468361
2022-11-10,autumn,2022-11,2022-12-11,2023Q2,2,10.1921138,5.580267013189537,6.115900882113653,8.012564961943418,11.15840613352934,-0.9662923335293403,-5.578139120339803,-5.042505251415687,-3.1458411715859214
2022-11-10,autumn,2022-11,2022-12-11,2023Q3,3,6.95297995,2.3397220364045057,2.8589158479917587,5.842335022455209,8.048806481176504,-1.0958265311765043,-5.709084444771998,-5.189890633184746,-2.2064714587212952
2023-02-09,winter,2023-01,2023-02-09,2023Q1,1,16.3076255004732,14.852667412925053,16.128564688879433,16.3047026550176,16.393468660721577,-0.0858431602483769,-1.5408012477965247,-0.26490397184214487,-0.08876600570397741
2023-02-09,winter,2023-01,2023-02-09,2023Q2,2,11.3077531,9.963313777333022,11.184895266589988,12.371876197796405,11.15840613352934,0.14934696647065948,-1.1950923561963176,0.026489133060648484,1.2134700642670655
2023-02-09,winter,2023-01,2023-02-09,2023Q3,3,7.77590417,6.761422377232081,7.947434082980204,10.11405730268133,8.048806481176504,-0.2729023111765043,-1.2873841039444232,-0.1013723981962995,2.0652508215048258
2023-02-09,winter,2023-01,2023-02-09,2023Q4,4,7.62282898,6.863570264948457,8.050716730686206,10.532392710471335,7.563594181986673,0.05923479801332743,-0.7000239170382159,0.4871225486995332,2.968798528484662
2023-05-11,spring,2023-05,2023-06-11,2023Q3,1,8.32302304,9.066607297469565,9.105647426731485,8.888411423196677,8.048806481176504,0.2742165588234968,1.017800816293061,1.0568409455549812,0.8396049420201734
2023-05-11,spring,2023-05,2023-06-11,2023Q4,2,8.33257222,10.29411270588387,10.333592217748784,9.302090467563518,7.563594181986673,0.7689780380133264,2.7305185238971976,2.769998035762111,1.7384962855768453
2023-05-11,spring,2023-05,2023-06-11,2024Q1,3,2.50204809,5.787886393669415,5.825752912684624,5.843361484514758,2.0857590939023534,0.4162889960976468,3.7021272997670613,3.739993818782271,3.7576023906124045
2023-08-10,summer,2023-08,2023-09-10,2023Q4,1,8.18874505,9.078847362167428,8.815208612397639,8.66807938268098,7.563594181986673,0.6251508680133266,1.5152531801807552,1.2516144304109655,1.1044852006943078
2023-08-10,summer,2023-08,2023-09-10,2024Q1,2,2.54878083,3.972980328601844,3.7216822336315185,5.22941289345532,2.0857590939023534,0.46302173609764674,1.8872212346994908,1.6359231397291651,3.143653799552967
2023-08-10,summer,2023-08,2023-09-10,2024Q2,3,2.34805158,4.291095005934226,4.039028041858263,6.402780040816265,2.4619743363836153,-0.11392275638361538,1.8291206695506106,1.5770537054746474,3.9408057044326497
2023-11-09,autumn,2023-10,2023-11-09,2023Q4,1,7.4869530045711,7.998172391902589,7.737342429257243,7.915054780320905,7.563594181986673,-0.0766411774155733,0.4345782099159159,0.17374824727057003,0.35146059833423227
2023-11-09,autumn,2023-10,2023-11-09,2024Q1,2,2.72442838094152,2.6580809423126284,2.410148011371346,4.50021681995494,2.0857590939023534,0.6386692870391668,0.572321848410275,0.3243889174689927,2.414457726052587
2023-11-09,autumn,2023-10,2023-11-09,2024Q2,3,2.60050989,2.7301623454928454,2.482055328367673,5.665453020909332,2.4619743363836153,0.1385355536163848,0.26818800910923013,0.02008099198405766,3.203478684525717
2023-11-09,autumn,2023-10,2023-11-09,2024Q3,4,2.23573565,2.497612206261981,2.250066828679268,6.543780719533786,2.3104616266815143,-0.07472597668151426,0.18715057958046666,-0.06039479800224612,4.2333190928522715
2024-02-15,winter,2024-02,2024-03-10,2024Q2,1,2.64855616,1.8317034240712349,1.8489788593253484,3.238472627964898,2.4619743363836153,0.18658182361638476,-0.6302709123123804,-0.6129954770582668,0.7764982915812828
2024-02-15,winter,2024-02,2024-03-10,2024Q3,2,2.25182174,1.3474015106470933,1.3645947855712954,4.09662642828865,2.3104616266815143,-0.05863988668151432,-0.963060116034421,-0.9458668411102189,1.786164801607136
2024-02-15,winter,2024-02,2024-03-10,2024Q4,3,2.71600921,1.5909401995730519,1.608174790086711,4.828953988317106,2.8836531940027856,-0.16764398400278546,-1.2927129944297338,-1.2754784039160747,1.9453007943143201
2024-05-09,spring,2024-04,2024-05-12,2024Q2,1,2.43930764498391,2.4499490986090686,2.663339701715008,3.2147502951525957,2.4619743363836153,-0.02266669139970512,-0.012025237774546671,0.2013653653313927,0.7527759587689804
2024-05-09,spring,2024-04,2024-05-12,2024Q3,2,2.11409498,1.941512683138691,2.1538442759250276,4.072706907262137,2.3104616266815143,-0.19636664668151438,-0.36894894354282326,-0.15661735075648675,1.7622452805806224
2024-05-09,spring,2024-04,2024-05-12,2024Q4,3,2.51517686,2.1632991947460893,2.3760927414708033,4.804866191669455,2.8836531940027856,-0.3684763340027857,-0.7203539992566963,-0.5075604525319823,1.9212129976666694
2024-05-09,spring,2024-04,2024-05-12,2025Q1,4,2.35125799,2.0609807759689986,2.273561206052037,6.974833256647844,2.731002175839953,-0.37974418583995284,-0.6700213998709543,-0.4574409697879158,4.24383108080789
2024-08-08,summer,2024-07,2024-08-11,2024Q3,1,2.03928603786943,1.4921614892339228,1.9509838617361963,2.395271010064286,2.3104616266815143,-0.27117558881208437,-0.8183001374475916,-0.359477764945318,0.08480938338277166
2024-08-08,summer,2024-07,2024-08-11,2024Q4,2,2.31618987,1.5531005268006208,2.0121983904677694,3.115629407355005,2.8836531940027856,-0.5674633240027855,-1.3305526672021648,-0.8714548035350163,0.2319762133522194
2024-08-08,summer,2024-07,2024-08-11,2025Q1,3,2.18682304,1.3219836085461405,1.7800366465715551,5.25062110983249,2.731002175839953,-0.5441791358399528,-1.4090185672938125,-0.9509655292683978,2.5196189339925374
2024-08-08,summer,2024-07,2024-08-11,2025Q2,4,1.74934064,0.7230194978903034,1.1783647589774566,6.030930568629611,2.380373322135417,-0.6310326821354171,-1.6573538242451136,-1.2020085631579605,3.6505572464941936
2024-11-15,autumn,2024-11,2024-12-09,2025Q1,1,2.93713111860977,2.937400706096619,2.872420054902065,5.01296960000335,2.731002175839953,0.20612894276981697,0.2063985302566662,0.14141787906211212,2.281967424163397
2024-11-15,autumn,2024-11,2024-12-09,2025Q2,2,2.56695573,2.385528782577511,2.320896508131547,5.791517152608737,2.380373322135417,0.18658240786458302,0.005155460442094029,-0.05947681400387017,3.41114383047332
2024-11-15,autumn,2024-11,2024-12-09,2025Q3,3,2.63406164,2.0941188453116437,2.029670527400022,6.814929026248717,2.4988240301354057,0.13523760986459443,-0.40470518482376194,-0.4691535027353835,4.316104996113312
2025-02-15,winter,2025-02,2025-03-04,2025Q2,1,2.23488009,2.198200634162242,2.057743580381773,3.4968895434798775,2.380373322135417,-0.1454932321354172,-0.18217268797317487,-0.3226297417536439,1.1165162213444604
2025-02-15,winter,2025-02,2025-03-04,2025Q3,2,2.39037316,1.7961228462814587,1.6562183918728557,4.498103520691385,2.4988240301354057,-0.10845087013540544,-0.702701183853947,-0.84260563826255,1.999279490555979
2025-02-15,winter,2025-02,2025-03-04,2025Q4,3,2.39852331,1.4167270526662075,1.2773440244183123,4.59286514725623,2.2333587331890628,0.1651645768109371,-0.8166316805228553,-0.9560147087707505,2.3595064140671673
