model,RMSE,MAE,dir_corr,DM_vs_AR3,DM_pval
TVW_QRF_WIDERAW_MF1,0.29362280270921565,0.23190220801309952,0.23334030008389167,-3.991806130165858,0.00010174334921386752
TVW_QRF_WIDERAW,0.3047914096041295,0.2366109117367347,0.14865152954146368,-4.348152213591787,2.503499873474091e-05
TVW_QRF_sqPCA,0.3130642792371872,0.2374916113530672,0.1719808515732252,-3.8286243323937765,0.00018790267843971087
TVW_QRF,0.31308289920891347,0.2505671929055095,0.10412911597910515,-4.283703726892519,3.2462563544610745e-05
ENSEMBLE,0.3671235215466033,0.285995798947791,-0.02023304136155579,-5.167423788271056,7.353963240586125e-07
TVW_QRF_RAW,0.3962329078980152,0.29008372903129864,-0.05381006131089872,-2.1686870243809233,0.031725770594794866
ARIMA313,0.3967620127782656,0.2873895652339991,0.23046129383368394,-2.103126318718906,0.03710202910613325
BVAR,0.40733850429658935,0.2979787256554644,0.030941582261719863,-2.3914705589610543,0.018003768373829443
AR3,0.43709181667180763,0.3405378447432274,-0.2919584885509669,,
RW,0.5720975402039868,0.4289550734599182,-0.27863151463884606,3.910806416161842,0.00013827717277448137
