model,period,n_errors,lower,upper,actual,covered,width,interval_score
HARD_BASE,2019-02,0,,,0.2,,,
HARD_BASE,2019-03,1,,,0.2,,,
HARD_BASE,2019-04,2,,,0.1,,,
HARD_BASE,2019-05,3,,,0.7,,,
HARD_BASE,2019-06,4,,,0.2,,,
HARD_BASE,2019-07,5,,,0.4,,,
HARD_BASE,2019-08,6,,,0.1,,,
HARD_BASE,2019-09,7,,,-0.6,,,
HARD_BASE,2019-10,8,,,0.5,,,
HARD_BASE,2019-11,9,,,0.3,,,
HARD_BASE,2019-12,10,,,0.2,,,
HARD_BASE,2020-01,11,,,1.5,,,
HARD_BASE,2020-02,12,,,0.3,,,
HARD_BASE,2020-03,13,,,-0.1,,,
HARD_BASE,2020-04,14,,,-0.2,,,
HARD_BASE,2020-05,15,,,0.4,,,
HARD_BASE,2020-06,16,,,0.6,,,
HARD_BASE,2020-07,17,,,0.4,,,
HARD_BASE,2020-08,18,,,0.0,,,
HARD_BASE,2020-09,19,,,-0.6,,,
HARD_BASE,2020-10,20,,,0.2,,,
HARD_BASE,2020-11,21,,,0.0,,,
HARD_BASE,2020-12,22,,,-0.2,,,
HARD_BASE,2021-01,23,,,1.3,,,
HARD_BASE,2021-02,24,-0.04574947453885514,0.9032971840269636,0.2,True,0.9490466585658187,0.9490466585658187
HARD_BASE,2021-03,25,-0.32261325486333603,0.6264334037024827,0.2,True,0.9490466585658187,0.9490466585658187
HARD_BASE,2021-04,26,-0.21849686054643536,0.7305497980193834,0.5,True,0.9490466585658187,0.9490466585658187
HARD_BASE,2021-05,27,0.09349050310757484,1.0425371616733936,0.2,True,0.9490466585658187,0.9490466585658187
HARD_BASE,2021-06,28,-0.14485541135371066,0.804191247212108,0.5,True,0.9490466585658187,0.9490466585658187
HARD_BASE,2021-07,29,0.17313102015587334,1.115972915616754,1.0,True,0.9428418954608806,0.9428418954608806
HARD_BASE,2021-08,30,-0.246917595371786,0.6959243000890946,0.7,False,0.9428418954608806,1.0243558936789885
HARD_BASE,2021-09,31,-0.5985234267126154,0.35052323185320333,0.2,True,0.9490466585658187,0.9490466585658187
HARD_BASE,2021-10,32,0.24918189815888742,1.1982285567247062,1.0,True,0.9490466585658187,0.9490466585658187
HARD_BASE,2021-11,33,0.20782512214551102,1.1568717807113298,0.2,False,0.9490466585658187,1.105549101476039
HARD_BASE,2021-12,34,0.29544231977568447,1.2464356150583757,0.4,True,0.9509932952826914,0.9509932952826914
HARD_BASE,2022-01,35,3.902640579330188,4.853633874612879,4.4,True,0.9509932952826914,0.9509932952826914
HARD_BASE,2022-02,36,0.39092875938706706,1.3419220546697583,1.3,True,0.9509932952826914,0.9509932952826914
HARD_BASE,2022-03,37,0.49857512974821916,1.4495684250309107,1.7,False,0.9509932952826914,5.959624794664477
HARD_BASE,2022-04,38,0.259510104484921,1.2242070073417617,1.8,False,0.9646969028568407,12.480556756021606
HARD_BASE,2022-05,39,1.344994542130598,2.309691444987439,1.8,True,0.9646969028568407,0.9646969028568407
HARD_BASE,2022-06,40,0.9109122417700293,1.8756091446268701,1.6,True,0.9646969028568407,0.9646969028568407
HARD_BASE,2022-07,41,0.9194918388538422,1.884188741710683,1.3,True,0.9646969028568407,0.9646969028568407
HARD_BASE,2022-08,42,0.1485042050393,1.1132011078961408,0.4,True,0.9646969028568407,0.9646969028568407
HARD_BASE,2022-09,43,-0.3202560067855771,0.6444408960712636,0.8,False,0.9646969028568407,4.075878981431568
HARD_BASE,2022-10,44,0.5640259759275067,1.7818692467269397,-1.4,False,1.217843270799433,40.49836278934957
HARD_BASE,2022-11,45,0.1206083187317647,1.3964234294460782,1.2,True,1.2758151107143134,1.2758151107143134
HARD_BASE,2022-12,46,-0.5904324896344251,0.6853826210798883,0.0,True,1.2758151107143134,1.2758151107143134
HARD_BASE,2023-01,47,4.235240875886398,5.511055986600712,6.0,False,1.2758151107143134,11.054695378700073
HARD_BASE,2023-02,48,-0.1946130164610047,1.2572434287598655,0.6,True,1.4518564452208702,1.4518564452208702
HARD_BASE,2023-03,49,-0.3452736987425078,0.9305414119718056,0.1,True,1.2758151107143134,1.2758151107143134
HARD_BASE,2023-04,50,-0.0738147664668416,1.2020003442474718,-0.2,False,1.2758151107143134,3.7995197813774815
HARD_BASE,2023-05,51,-0.49694554219366127,0.9549109030272089,0.3,True,1.4518564452208702,1.4518564452208702
HARD_BASE,2023-06,52,-0.6908841435696905,0.7609723016511797,0.3,True,1.4518564452208702,1.4518564452208702
HARD_BASE,2023-07,53,-0.3397530792003141,1.1121033660205561,0.5,True,1.4518564452208702,1.4518564452208702
HARD_BASE,2023-08,54,-0.2513138321737039,1.2005426130471664,0.2,True,1.4518564452208702,1.4518564452208702
HARD_BASE,2023-09,55,-0.974826622209479,0.4770298230113912,-0.7,True,1.4518564452208702,1.4518564452208702
HARD_BASE,2023-10,56,-0.4353307952268567,1.0165256499940134,0.1,True,1.4518564452208702,1.4518564452208702
HARD_BASE,2023-11,57,-0.667435729677988,0.7844207155428822,0.1,True,1.4518564452208702,1.4518564452208702
HARD_BASE,2023-12,58,-0.8589984637112674,0.5928579815096028,-0.4,True,1.4518564452208702,1.4518564452208702
HARD_BASE,2024-01,59,0.29400898229470007,1.5698240930090135,1.5,True,1.2758151107143134,1.2758151107143134
HARD_BASE,2024-02,60,-0.3672875541034256,0.9085275566108878,0.3,True,1.2758151107143134,1.2758151107143134
