period,actual,STRUCT,STRUCT_QRF,STRUCT_ST,STRUCT_R,STRUCT_QRF_R,STRUCT_PE,STRUCT_PE_R,STRUCT_PEH,STRUCT_PEH_R,pe_corr,fuel_pre,STRUCT_PRE,STRUCT_PE_PRE,adm_pred_R,alc_pred,alc_actual,core_pred,core_actual,food_pred,food_actual,adm_pred,adm_actual,fuel_mm,wedge,target_h1,STRUCT_H1,actual_h1,target_h3,STRUCT_H3,actual_h3,target_h6,STRUCT_H6,actual_h6,target_h12,STRUCT_H12,actual_h12,band_lo,band_hi
2019-02,0.18674136321195078,0.29732246703397786,0.37531692381855597,0.27930543071331637,0.29732246703397786,0.37531692381855597,0.29732246703397786,0.29732246703397786,0.29732246703397786,0.29732246703397786,0.0,-1.3621768883987917,0.28370719226776947,0.28370719226776947,0.05,0.08872469572955288,-1.1524822695035408,0.26557667934771134,0.3,0.6289580042592983,0.7490636704119868,0.05,0.7,-0.8938585837308999,0.05036019152028475,2019-03,,0.18639328984155767,2019-05,,0.6505576208178487,2019-08,,0.09182736455464191,2020-02,,0.2702702702702675,,
2019-03,0.18639328984155767,0.08972438907971064,0.09348596014589158,0.0768627665101651,0.08972438907971064,0.09348596014589158,0.08972438907971064,0.08972438907971064,0.08972438907971064,0.08972438907971064,0.0,1.139315424325127,0.08365038029006189,0.08365038029006189,0.1,0.5070259413749834,0.7174887892376747,0.014512459121095098,-0.1,0.13793940287435802,0.0,0.1,0.9,1.3482402934703377,-0.04363661943011843,2019-04,0.3327484279444245,0.09302325581395099,2019-06,,0.1846722068328699,2019-09,,-0.5504587155963248,2020-03,,-0.08984725965857088,,
2019-04,0.09302325581395099,0.4053450403264134,0.45959700722200836,0.4157914952927877,0.4053450403264134,0.45959700722200836,0.4053450403264134,0.4053450403264134,0.4053450403264134,0.4053450403264134,0.0,3.936549139634704,0.41150172204328983,0.41150172204328983,0.1,0.6547269024545554,-1.6028495102404228,0.41730438316789603,0.4,0.07334150892937163,-0.6505576208178376,0.1,0.1,3.724780608074596,-0.02112953465157505,2019-05,0.26496326113700125,0.6505576208178487,2019-07,,0.36866359447005337,2019-10,,0.46125461254613587,2020-04,,-0.17985611510791255,,
2019-05,0.6505576208178487,0.23176081035126414,0.25914349656364294,0.2306782576079216,0.23176081035126414,0.25914349656364294,0.23176081035126414,0.23176081035126414,0.23176081035126414,0.23176081035126414,0.0,2.9085655055438364,0.23178609363491362,0.23178609363491362,0.1,0.12036906490745514,1.538461538461533,0.11933138158888865,0.1,0.14373062808932474,1.9644527595883865,0.1,0.3,2.9076958481378368,0.0298391502631064,2019-06,0.1608947107592966,0.1846722068328699,2019-08,-0.0017381381885210115,0.09182736455464191,2019-11,,0.2754820936639035,2020-05,,0.3603603603603567,,
2019-06,0.1846722068328699,0.12439473405926268,0.10247066848392859,0.14039875901241156,0.12439473405926268,0.10247066848392859,0.12439473405926268,0.12439473405926268,0.12439473405926268,0.12439473405926268,0.0,-0.13582394774592776,0.12351015224006734,0.12351015224006734,0.0,-0.0443104061040811,-0.6238859180035639,0.17466925068140837,0.3,0.185062561815512,0.3669724770642313,0.0,0.2,-0.1053973963160759,0.002365372872739262,2019-07,0.2236662506465028,0.36866359447005337,2019-09,-0.0877665695483767,-0.5504587155963248,2019-12,,0.1831501831501825,2020-06,,0.6283662477558183,,
2019-07,0.36866359447005337,0.39969041617493817,0.40066206865220644,0.4072647847829706,0.39969041617493817,0.40066206865220644,0.39969041617493817,0.39969041617493817,0.39969041617493817,0.39969041617493817,0.0,-1.283983067683414,0.39079359732622215,0.39079359732622215,0.05,0.5006382609860527,-0.4484304932735439,0.5822327523442469,1.0,0.3102283615885567,-0.5484460694698434,0.05,0.0,-0.9779633073985216,-0.0015045653950910703,2019-08,0.09670165643939446,0.09182736455464191,2019-10,0.3234795354693969,0.46125461254613587,2020-01,,1.4625228519195455,2020-07,,0.4460303300624524,,
2019-08,0.09182736455464191,-0.004843705964041406,0.035988683509590294,-0.047650257296311865,-0.004843705964041406,0.035988683509590294,-0.004843705964041406,-0.004843705964041406,-0.004843705964041406,-0.004843705964041406,0.0,-0.5090035419711203,-0.006708968961996686,-0.006708968961996686,0.0,-0.3328819766809238,0.6306306306306242,0.11231945703088961,0.2,-0.3394064941699059,-0.27573529411764053,0.0,0.0,-0.4448449539174892,0.03721909169910362,2019-09,-0.17124975597072295,-0.5504587155963248,2019-11,-0.01824611897818592,0.2754820936639035,2020-02,0.09889535822382023,0.2702702702702675,2020-08,,0.0,,
2019-09,-0.5504587155963248,-0.2840616673484415,-0.24128118124426812,-0.2977625015024569,-0.2840616673484415,-0.24128118124426812,-0.2840616673484415,-0.2840616673484415,-0.2840616673484415,-0.2840616673484415,0.0,-0.3972116761063016,-0.34638048955235273,-0.34638048955235273,0.1,0.2824815536417502,0.44762757385854446,-0.5801347491155394,-0.9,-0.044413442855467306,-0.552995391705069,0.1,0.2,1.7463400086433545,-0.0488983328127846,2019-10,0.19504675584668038,0.46125461254613587,2019-12,-0.08199439771483427,0.1831501831501825,2020-03,0.01798307408192587,-0.08984725965857088,2020-09,,-0.6216696269982114,,
2019-10,0.46125461254613587,0.2816447155873891,0.30481091997280524,0.28740872844168536,0.2816447155873891,0.30481091997280524,0.2816447155873891,0.2816447155873891,0.2816447155873891,0.2816447155873891,0.0,0.13197377021314516,0.2830332717793107,0.2830332717793107,0.0,0.11621002199403707,0.0,0.3043641898771228,0.6,0.6092833344375574,0.8341056533827551,0.0,0.0,0.0842122455356753,-0.007701368717259351,2019-11,0.09411089161551002,0.2754820936639035,2020-01,0.8385225284812553,1.4625228519195455,2020-04,0.19986711615333785,-0.17985611510791255,2020-10,,0.17873100983019086,,
2019-11,0.2754820936639035,0.17143071372988755,0.18362333954193952,0.18420972934187246,0.17143071372988755,0.18362333954193952,0.17143071372988755,0.17143071372988755,0.17143071372988755,0.17143071372988755,0.0,-0.5817726827380687,0.1695822337901525,0.1695822337901525,0.0,-0.0828143751614413,0.0,0.11565764843981874,0.0,0.6592902773726735,1.194852941176472,0.0,0.4,-0.5181913737704491,0.013339109185301892,2019-12,0.10218915989776006,0.1831501831501825,2020-02,0.3335322016419558,0.2702702702702675,2020-05,0.3716612896215036,0.3603603603603567,2020-11,,0.0,,
