period,category,base_basket_fraction,effective_year,assumed_available_from
2019-02,actual_rent,0.033660201,2018,2018-02-14
2019-02,imputed_rent,0.10385733600000001,2018,2018-02-14
2019-02,catering,0.051351304,2018,2018-02-14
2019-02,accommodation,0.007778524,2018,2018-02-14
2019-02,package_holidays,0.019182249,2018,2018-02-14
2019-03,actual_rent,0.033660201,2018,2018-02-14
2019-03,imputed_rent,0.10385733600000001,2018,2018-02-14
2019-03,catering,0.051351304,2018,2018-02-14
2019-03,accommodation,0.007778524,2018,2018-02-14
2019-03,package_holidays,0.019182249,2018,2018-02-14
2019-04,actual_rent,0.033660201,2018,2018-02-14
2019-04,imputed_rent,0.10385733600000001,2018,2018-02-14
2019-04,catering,0.051351304,2018,2018-02-14
2019-04,accommodation,0.007778524,2018,2018-02-14
2019-04,package_holidays,0.019182249,2018,2018-02-14
2019-05,actual_rent,0.033660201,2018,2018-02-14
2019-05,imputed_rent,0.10385733600000001,2018,2018-02-14
2019-05,catering,0.051351304,2018,2018-02-14
2019-05,accommodation,0.007778524,2018,2018-02-14
2019-05,package_holidays,0.019182249,2018,2018-02-14
2019-06,actual_rent,0.033660201,2018,2018-02-14
2019-06,imputed_rent,0.10385733600000001,2018,2018-02-14
2019-06,catering,0.051351304,2018,2018-02-14
2019-06,accommodation,0.007778524,2018,2018-02-14
2019-06,package_holidays,0.019182249,2018,2018-02-14
2019-07,actual_rent,0.033660201,2018,2018-02-14
2019-07,imputed_rent,0.10385733600000001,2018,2018-02-14
2019-07,catering,0.051351304,2018,2018-02-14
2019-07,accommodation,0.007778524,2018,2018-02-14
2019-07,package_holidays,0.019182249,2018,2018-02-14
2019-08,actual_rent,0.033660201,2018,2018-02-14
2019-08,imputed_rent,0.10385733600000001,2018,2018-02-14
2019-08,catering,0.051351304,2018,2018-02-14
2019-08,accommodation,0.007778524,2018,2018-02-14
2019-08,package_holidays,0.019182249,2018,2018-02-14
2019-09,actual_rent,0.033660201,2018,2018-02-14
2019-09,imputed_rent,0.10385733600000001,2018,2018-02-14
2019-09,catering,0.051351304,2018,2018-02-14
2019-09,accommodation,0.007778524,2018,2018-02-14
2019-09,package_holidays,0.019182249,2018,2018-02-14
2019-10,actual_rent,0.033660201,2018,2018-02-14
2019-10,imputed_rent,0.10385733600000001,2018,2018-02-14
2019-10,catering,0.051351304,2018,2018-02-14
2019-10,accommodation,0.007778524,2018,2018-02-14
2019-10,package_holidays,0.019182249,2018,2018-02-14
2019-11,actual_rent,0.033660201,2018,2018-02-14
2019-11,imputed_rent,0.10385733600000001,2018,2018-02-14
2019-11,catering,0.051351304,2018,2018-02-14
2019-11,accommodation,0.007778524,2018,2018-02-14
2019-11,package_holidays,0.019182249,2018,2018-02-14
2019-12,actual_rent,0.033660201,2018,2018-02-14
2019-12,imputed_rent,0.10385733600000001,2018,2018-02-14
2019-12,catering,0.051351304,2018,2018-02-14
2019-12,accommodation,0.007778524,2018,2018-02-14
2019-12,package_holidays,0.019182249,2018,2018-02-14
2020-01,actual_rent,0.033660201,2018,2018-02-14
2020-01,imputed_rent,0.10385733600000001,2018,2018-02-14
2020-01,catering,0.051351304,2018,2018-02-14
2020-01,accommodation,0.007778524,2018,2018-02-14
2020-01,package_holidays,0.019182249,2018,2018-02-14
2020-02,actual_rent,0.036321093,2020,2020-02-14
2020-02,imputed_rent,0.106143269,2020,2020-02-14
2020-02,catering,0.054804978,2020,2020-02-14
2020-02,accommodation,0.008724414,2020,2020-02-14
2020-02,package_holidays,0.019151497,2020,2020-02-14
2020-03,actual_rent,0.036321093,2020,2020-02-14
2020-03,imputed_rent,0.106143269,2020,2020-02-14
2020-03,catering,0.054804978,2020,2020-02-14
2020-03,accommodation,0.008724414,2020,2020-02-14
2020-03,package_holidays,0.019151497,2020,2020-02-14
2020-04,actual_rent,0.036321093,2020,2020-02-14
2020-04,imputed_rent,0.106143269,2020,2020-02-14
2020-04,catering,0.054804978,2020,2020-02-14
2020-04,accommodation,0.008724414,2020,2020-02-14
2020-04,package_holidays,0.019151497,2020,2020-02-14
2020-05,actual_rent,0.036321093,2020,2020-02-14
2020-05,imputed_rent,0.106143269,2020,2020-02-14
2020-05,catering,0.054804978,2020,2020-02-14
2020-05,accommodation,0.008724414,2020,2020-02-14
2020-05,package_holidays,0.019151497,2020,2020-02-14
2020-06,actual_rent,0.036321093,2020,2020-02-14
2020-06,imputed_rent,0.106143269,2020,2020-02-14
2020-06,catering,0.054804978,2020,2020-02-14
2020-06,accommodation,0.008724414,2020,2020-02-14
2020-06,package_holidays,0.019151497,2020,2020-02-14
2020-07,actual_rent,0.036321093,2020,2020-02-14
2020-07,imputed_rent,0.106143269,2020,2020-02-14
2020-07,catering,0.054804978,2020,2020-02-14
2020-07,accommodation,0.008724414,2020,2020-02-14
2020-07,package_holidays,0.019151497,2020,2020-02-14
2020-08,actual_rent,0.036321093,2020,2020-02-14
2020-08,imputed_rent,0.106143269,2020,2020-02-14
2020-08,catering,0.054804978,2020,2020-02-14
2020-08,accommodation,0.008724414,2020,2020-02-14
2020-08,package_holidays,0.019151497,2020,2020-02-14
2020-09,actual_rent,0.036321093,2020,2020-02-14
2020-09,imputed_rent,0.106143269,2020,2020-02-14
2020-09,catering,0.054804978,2020,2020-02-14
2020-09,accommodation,0.008724414,2020,2020-02-14
2020-09,package_holidays,0.019151497,2020,2020-02-14
2020-10,actual_rent,0.036321093,2020,2020-02-14
2020-10,imputed_rent,0.106143269,2020,2020-02-14
2020-10,catering,0.054804978,2020,2020-02-14
2020-10,accommodation,0.008724414,2020,2020-02-14
2020-10,package_holidays,0.019151497,2020,2020-02-14
2020-11,actual_rent,0.036321093,2020,2020-02-14
2020-11,imputed_rent,0.106143269,2020,2020-02-14
2020-11,catering,0.054804978,2020,2020-02-14
2020-11,accommodation,0.008724414,2020,2020-02-14
2020-11,package_holidays,0.019151497,2020,2020-02-14
2020-12,actual_rent,0.036321093,2020,2020-02-14
2020-12,imputed_rent,0.106143269,2020,2020-02-14
2020-12,catering,0.054804978,2020,2020-02-14
2020-12,accommodation,0.008724414,2020,2020-02-14
2020-12,package_holidays,0.019151497,2020,2020-02-14
2021-01,actual_rent,0.036321093,2020,2020-02-14
2021-01,imputed_rent,0.106143269,2020,2020-02-14
2021-01,catering,0.054804978,2020,2020-02-14
2021-01,accommodation,0.008724414,2020,2020-02-14
2021-01,package_holidays,0.019151497,2020,2020-02-14
2021-02,actual_rent,0.036321093,2020,2020-02-14
2021-02,imputed_rent,0.106143269,2020,2020-02-14
2021-02,catering,0.054804978,2020,2020-02-14
2021-02,accommodation,0.008724414,2020,2020-02-14
2021-02,package_holidays,0.019151497,2020,2020-02-14
2021-03,actual_rent,0.036321093,2020,2020-02-14
2021-03,imputed_rent,0.106143269,2020,2020-02-14
2021-03,catering,0.054804978,2020,2020-02-14
2021-03,accommodation,0.008724414,2020,2020-02-14
2021-03,package_holidays,0.019151497,2020,2020-02-14
