model,RMSE,MAE,dir_corr,DM_vs_AR3,DM_pval
TVW_QRF_sqPCA,0.6280798263614703,0.3561724625479613,0.34415548686724856,-2.9213299153775805,0.0039477980849955685
TVW_QRF_WIDERAW_MF1,0.6444817775427605,0.37028742867316017,0.3383543245767468,-2.0174487365510028,0.04518545399707885
TVW_QRF,0.646821317564793,0.36516189945002564,0.3597895675617559,-2.201977627993196,0.02898193162691176
TVW_QRF_WIDERAW,0.6529252169835316,0.3727720810777231,0.28101980647264907,-2.104524951365921,0.03676916093547389
ENSEMBLE,0.6798017556745147,0.3811491289634687,0.4464432672507889,-1.3257407553216487,0.18666344921614741
ARIMA313,0.6958342097366611,0.39743890572682095,0.2577741938148481,-0.6175187182609055,0.5376999448810655
TVW_QRF_RAW,0.7004368077383064,0.41329615460516567,0.18093575565404915,-0.6475217484231887,0.5181781822647815
AR3,0.7083527530385569,0.4199373081392002,0.2214472194173572,,
BVAR,0.7372323871636691,0.4017268860533111,0.10776992431945497,0.8898941049239089,0.3747514636702445
RW,0.8869640812330238,0.530604853326712,0.24405753993674636,1.4764263096715455,0.14163696367320333
