table,obj,h,n,naive,rw,S_A,bias_S_A,S_M,bias_S_M,S_M25,bias_S_M25,S_M75,bias_S_M75,E1_ML,bias_E1_ML,E5,bias_E5,E7,bias_E7,F2_D1_fixed,bias_F2_D1_fixed,F1b,bias_F1b,S_A_H,bias_S_A_H,S_M_H,bias_S_M_H
LONG SPAN 2008-01..2026-07,b,1,222,0.6332964207348541,1.1014760688395024,0.5809458093385597,-0.008012646940665856,0.6333749525220109,-0.07832181644024053,0.6423064367608307,-0.06370802004823478,0.6283620270647449,-0.08630423829380575,0.572014120991185,-0.013891763953891573,0.5723122939853575,-0.03681953043403568,0.5919475278594343,-0.008275902730178515,0.5701431296201116,-0.09493262250258853,,,,,,
LONG SPAN 2008-01..2026-07,b,3,220,1.3669374421395235,1.8281777610578178,1.2479514068913906,-0.03182447389919424,1.4165823128662152,-0.2296843865540291,1.4518276812575581,-0.18662720110052744,1.3964377649508959,-0.2540028503662205,1.216758918351673,-0.053281555467832954,1.2162437620837778,-0.12177898442890848,1.2969924918005145,-0.03473214846710322,1.2057353309765193,-0.29492430306146084,,,,,,
LONG SPAN 2008-01..2026-07,b,6,217,2.2976811117887457,2.801351745242859,2.095260152326416,-0.07280170439500305,2.4524117832101453,-0.44211185274837866,2.5297155055422222,-0.35955430637011915,2.406826001407875,-0.4910000061940395,2.0223657314837826,-0.12664934795287228,1.996781732648526,-0.2569615230770697,2.17925978680529,-0.07838003871543114,2.023974769736593,-0.5961962486129019,,,,,,
LONG SPAN 2008-01..2026-07,b,9,214,3.20644828205988,3.7135507302958897,3.046720088041249,-0.14632337472428844,3.4602490709660683,-0.6522670246265502,3.5645252515138814,-0.5355500204119141,3.398875728416897,-0.7244537901419172,2.94654192476417,-0.23934881436108887,2.8840637833599327,-0.41767209299501806,3.1414739372262406,-0.14658753925152362,2.9309827671335937,-0.904469367640098,,,,,,
LONG SPAN 2008-01..2026-07,b,12,211,4.093597443989172,4.472970319336139,4.052273836496276,-0.26390163892435076,4.371255669480633,-0.8836668019985585,4.491008360665765,-0.7401261319488167,4.301829386285272,-0.9759624943927361,3.955208356516943,-0.3945561922177701,3.828848138459607,-0.612268009047398,4.182361798432718,-0.2507071839518118,3.839250809415117,-1.2322211790005606,,,,,,
COMPONENT SPAN 2019-02..2026-07 (b),b,1,84,0.9529163476447362,1.6041817110843999,0.8353334080938982,-0.08895508776610182,0.9184594108058803,-0.3142918383371375,,,,,,,,,0.8713076138639442,-0.0634273363943853,0.832902454668172,-0.23678816487358834,0.784845090523422,-0.12131488031288391,0.7848450905234219,-0.12131488031288397,0.7848450905234219,-0.12131488031288397
COMPONENT SPAN 2019-02..2026-07 (b),b,3,84,2.0945116103044437,2.697010642247087,1.8310413298841404,-0.2890711084281351,2.077442252449757,-0.927276876588123,,,,,,,,,1.9672569862268017,-0.20685384514869304,1.83051518360742,-0.7164469208180193,1.5564864775582956,-0.3369584376813826,1.5564864775582954,-0.3369584376813826,1.5564864775582954,-0.3369584376813826
COMPONENT SPAN 2019-02..2026-07 (b),b,6,78,3.65237982726404,4.305620003577593,3.2162156791656487,-0.6677036413803632,3.7351146975257015,-1.9473448773038489,,,,,,,,,3.4899424864094146,-0.46728247667953965,3.2537184893830706,-1.5018573546656433,2.5721594600213993,-0.8332803042876396,2.664540370642598,-0.7631583795314971,2.80627746582282,-1.3374833138131943
COMPONENT SPAN 2019-02..2026-07 (b),b,9,72,5.278392321188259,5.916335565450812,4.859642057366646,-1.1945537707937897,5.463838636483851,-3.096966100125018,,,,,,,,,5.228952436404242,-0.8105753578097971,4.887475454748254,-2.3689589342454442,4.053826134192116,-1.4470131653850111,4.137924916596965,-1.2657724423612162,4.504460852585307,-2.42010634464216
COMPONENT SPAN 2019-02..2026-07 (b),b,12,66,6.990062293675042,7.426570296101707,6.794682003669787,-1.9563174104106777,7.212132759810654,-4.4874116109233455,,,,,,,,,7.268906515480363,-1.3332930801252443,6.664483091120692,-3.422090199965882,5.7880222439845745,-2.3615329336577395,6.091224135415102,-2.0299807239944383,6.381163496914248,-3.7488821456227535
COMPONENT SPAN 2019-02..2026-07 (a),a,1,84,0.9529163476447362,1.6041817110843999,0.9709140355728608,-0.13497340412437633,1.0253732155669386,-0.36046205900857026,,,,,,,,,1.0085840507668287,-0.10938672748657445,0.9581870313994703,-0.2828878588362109,0.9429438916139287,-0.16720361179687712,0.9429438916139288,-0.16720361179687698,0.9429438916139288,-0.16720361179687698
COMPONENT SPAN 2019-02..2026-07 (a),a,3,84,2.0945116103044437,2.697010642247087,1.8842902252951936,-0.33550029957645816,2.1017526628275123,-0.9741429682454166,,,,,,,,,2.0282175560709845,-0.2530817399160758,1.8668559350088274,-0.7631506095869858,1.6107823445807217,-0.383501555630929,1.610782344580722,-0.383501555630929,1.610782344580722,-0.383501555630929
COMPONENT SPAN 2019-02..2026-07 (a),a,6,78,3.65237982726404,4.305620003577593,3.299606587996969,-0.7130559082323258,3.7793692097919616,-1.9936450896658415,,,,,,,,,3.579098623766245,-0.5122505266823134,3.312656441230511,-1.5478885811300584,2.68040067060324,-0.8785035046814702,2.730287323494333,-0.8093577557843802,2.8772912402628212,-1.3834405483098398
COMPONENT SPAN 2019-02..2026-07 (a),a,9,72,5.278392321188259,5.916335565450812,4.9608879277492575,-1.2452501232801803,5.5242657182236945,-3.1491407339447366,,,,,,,,,5.334960696985947,-0.8607215148528466,4.96237959645715,-2.420746473490174,4.1828563717260945,-1.4973482174345814,4.217189800743172,-1.317953267454638,4.585777582405696,-2.471897465583662
COMPONENT SPAN 2019-02..2026-07 (a),a,12,66,6.990062293675042,7.426570296101707,6.794682003669787,-1.9563174104106777,7.212132759810654,-4.4874116109233455,,,,,,,,,7.268906515480363,-1.3332930801252443,6.664483091120692,-3.422090199965882,5.7880222439845745,-2.3615329336577395,6.091224135415102,-2.0299807239944383,6.381163496914248,-3.7488821456227535
