period,as_of,baseline_difference,projection_n,projection_start,projection_end,goods_projection_coefficient,max_target_reconciliation_error,shared_design_commutation_error
2019-02,2019-03-10 23:59:00,0.0,60,2014-02,2019-01,0.3183681981314538,2.7755575615628914e-17,5.551115123125783e-17
2019-03,2019-04-09 23:59:00,0.0,60,2014-03,2019-02,0.32351347622810406,2.7755575615628914e-17,3.3306690738754696e-16
2019-04,2019-05-12 23:59:00,0.0,60,2014-04,2019-03,0.3278290598625527,2.7755575615628914e-17,5.551115123125783e-17
2019-05,2019-06-10 23:59:00,0.0,60,2014-05,2019-04,0.3277824986923079,2.7755575615628914e-17,1.6653345369377348e-16
2019-06,2019-07-10 23:59:00,0.0,60,2014-06,2019-05,0.3272521177700854,2.7755575615628914e-17,2.7755575615628914e-17
2019-07,2019-08-11 23:59:00,0.0,60,2014-07,2019-06,0.3306026245980962,2.7755575615628914e-17,0.0
2019-08,2019-09-09 23:59:00,0.0,60,2014-08,2019-07,0.3305235153001824,2.7755575615628914e-17,2.220446049250313e-16
2019-09,2019-10-09 23:59:00,0.0,60,2014-09,2019-08,0.33211539490981395,2.7755575615628914e-17,4.440892098500626e-16
2019-10,2019-11-10 23:59:00,0.0,60,2014-10,2019-09,0.33206664339894876,2.7755575615628914e-17,0.0
2019-11,2019-12-09 23:59:00,0.0,60,2014-11,2019-10,0.3410712341620883,1.3877787807814457e-17,1.942890293094024e-16
2019-12,2020-01-12 23:59:00,0.0,60,2014-12,2019-11,0.3397289688229442,1.3877787807814457e-17,1.1102230246251565e-16
2020-01,2020-02-13 23:59:00,0.0,60,2015-01,2019-12,0.3396028726782755,2.7755575615628914e-17,1.1102230246251565e-16
2020-02,2020-03-09 23:59:00,0.0,60,2015-02,2020-01,0.3425410917519072,6.938893903907228e-18,5.551115123125783e-17
2020-03,2020-04-13 23:59:00,0.0,60,2015-03,2020-02,0.34817568432766904,6.938893903907228e-18,6.938893903907228e-17
2020-04,2020-05-12 23:59:00,0.0,60,2015-04,2020-03,0.348775048390292,6.938893903907228e-18,1.942890293094024e-16
2020-05,2020-06-09 23:59:00,0.0,60,2015-05,2020-04,0.3465856610327522,6.938893903907228e-18,1.1102230246251565e-16
2020-06,2020-07-09 23:59:00,0.0,60,2015-06,2020-05,0.37727517580673126,6.938893903907228e-18,0.0
2020-07,2020-08-12 23:59:00,0.0,60,2015-07,2020-06,0.3779376137746978,2.7755575615628914e-17,4.440892098500626e-16
2020-08,2020-09-09 23:59:00,0.0,60,2015-08,2020-07,0.38591234961943827,6.938893903907228e-18,9.71445146547012e-17
2020-09,2020-10-11 23:59:00,0.0,60,2015-09,2020-08,0.37646105308038036,6.938893903907228e-18,4.440892098500626e-16
2020-10,2020-11-09 23:59:00,0.0,60,2015-10,2020-09,0.3764231756603117,6.938893903907228e-18,3.885780586188048e-16
2020-11,2020-12-09 23:59:00,0.0,60,2015-11,2020-10,0.37595184856746294,2.7755575615628914e-17,8.326672684688674e-17
2020-12,2021-01-12 23:59:00,0.0,60,2015-12,2020-11,0.3787551322021026,2.7755575615628914e-17,1.1102230246251565e-16
2021-01,2021-02-11 23:59:00,0.0,60,2016-01,2020-12,0.3784350119178516,2.7755575615628914e-17,6.661338147750939e-16
2021-02,2021-03-09 23:59:00,0.0,60,2016-02,2021-01,0.37405651272933166,6.938893903907228e-18,4.440892098500626e-16
2021-03,2021-04-12 23:59:00,0.0,60,2016-03,2021-02,0.37633753890608834,2.7755575615628914e-17,2.220446049250313e-16
2021-04,2021-05-10 23:59:00,0.0,60,2016-04,2021-03,0.3761770056299069,2.7755575615628914e-17,1.6653345369377348e-16
2021-05,2021-06-09 23:59:00,0.0,60,2016-05,2021-04,0.3775131191209075,2.7755575615628914e-17,3.3306690738754696e-16
2021-06,2021-07-12 23:59:00,0.0,60,2016-06,2021-05,0.377522829574717,6.938893903907228e-18,1.1102230246251565e-16
2021-07,2021-08-09 23:59:00,0.0,60,2016-07,2021-06,0.3784275180995691,2.7755575615628914e-17,4.440892098500626e-16
2021-08,2021-09-09 23:59:00,0.0,60,2016-08,2021-07,0.382973634498377,6.938893903907228e-18,4.440892098500626e-16
2021-09,2021-10-10 23:59:00,0.0,60,2016-09,2021-08,0.38186475492093047,6.938893903907228e-18,2.220446049250313e-16
2021-10,2021-11-09 23:59:00,0.0,60,2016-10,2021-09,0.38015109092643606,6.938893903907228e-18,2.220446049250313e-16
2021-11,2021-12-09 23:59:00,0.0,60,2016-11,2021-10,0.3727628377223098,6.938893903907228e-18,8.881784197001252e-16
2021-12,2022-01-11 23:59:00,0.0,60,2016-12,2021-11,0.37145864955232766,2.7755575615628914e-17,2.220446049250313e-16
2022-01,2022-02-13 23:59:00,0.0,60,2017-01,2021-12,0.39909655955550116,2.7755575615628914e-17,2.6645352591003757e-15
2022-02,2022-03-09 23:59:00,0.0,60,2017-02,2022-01,0.39634918776078154,2.7755575615628914e-17,2.220446049250313e-16
2022-03,2022-04-10 23:59:00,0.0,60,2017-03,2022-02,0.3972856577808528,2.7755575615628914e-17,5.551115123125783e-17
2022-04,2022-05-09 23:59:00,0.0,60,2017-04,2022-03,0.3954168991804817,5.551115123125783e-17,4.440892098500626e-16
2022-05,2022-06-09 23:59:00,0.0,60,2017-05,2022-04,0.3982447810224265,1.3877787807814457e-17,3.552713678800501e-15
2022-06,2022-07-12 23:59:00,0.0,60,2017-06,2022-05,0.3977727121741181,5.551115123125783e-17,6.661338147750939e-16
2022-07,2022-08-09 23:59:00,0.0,60,2017-07,2022-06,0.3976867250400077,5.551115123125783e-17,8.881784197001252e-16
2022-08,2022-09-11 23:59:00,0.0,60,2017-08,2022-07,0.39763846772521905,5.551115123125783e-17,8.881784197001252e-16
2022-09,2022-10-10 23:59:00,0.0,60,2017-09,2022-08,0.3929936883124337,2.7755575615628914e-17,3.3306690738754696e-16
2022-10,2022-11-09 23:59:00,0.0,60,2017-10,2022-09,0.39414322191064965,1.3877787807814457e-17,2.220446049250313e-16
2022-11,2022-12-11 23:59:00,0.0,60,2017-11,2022-10,0.3918178757544408,2.7755575615628914e-17,2.220446049250313e-16
2022-12,2023-01-10 23:59:00,0.0,60,2017-12,2022-11,0.3914340001103286,2.7755575615628914e-17,1.1102230246251565e-16
2023-01,2023-02-09 23:59:00,0.0,60,2018-01,2022-12,0.39354397889526227,1.3877787807814457e-17,1.1102230246251565e-15
2023-02,2023-03-09 23:59:00,0.0,60,2018-02,2023-01,0.39997624064966464,2.7755575615628914e-17,4.440892098500626e-16
2023-03,2023-04-12 23:59:00,0.0,60,2018-03,2023-02,0.4027431993842419,5.551115123125783e-17,2.7755575615628914e-16
2023-04,2023-05-10 23:59:00,0.0,60,2018-04,2023-03,0.3998159837870147,5.551115123125783e-17,3.3306690738754696e-16
2023-05,2023-06-11 23:59:00,0.0,60,2018-05,2023-04,0.40027847323998683,5.551115123125783e-17,2.220446049250313e-16
2023-06,2023-07-12 23:59:00,0.0,60,2018-06,2023-05,0.4023774974357457,5.551115123125783e-17,1.6653345369377348e-16
2023-07,2023-08-09 23:59:00,0.0,60,2018-07,2023-06,0.4013695298926241,2.7755575615628914e-17,0.0
2023-08,2023-09-10 23:59:00,0.0,60,2018-08,2023-07,0.3998060867282652,1.3877787807814457e-17,2.220446049250313e-16
2023-09,2023-10-09 23:59:00,0.0,60,2018-09,2023-08,0.3931393901207805,1.3877787807814457e-17,5.551115123125783e-16
2023-10,2023-11-09 23:59:00,0.0,60,2018-10,2023-09,0.3994572446338786,5.551115123125783e-17,5.551115123125783e-16
2023-11,2023-12-10 23:59:00,0.0,60,2018-11,2023-10,0.3969802948685583,5.551115123125783e-17,2.7755575615628914e-16
2023-12,2024-01-10 23:59:00,0.0,60,2018-12,2023-11,0.3992822144423647,5.551115123125783e-17,1.1102230246251565e-16
2024-01,2024-02-14 23:59:00,0.0,60,2019-01,2023-12,0.4038049068348218,1.3877787807814457e-17,2.7755575615628914e-16
2024-02,2024-03-10 23:59:00,0.0,60,2019-02,2024-01,0.4085311291325554,5.551115123125783e-17,1.6653345369377348e-16
2024-03,2024-04-09 23:59:00,0.0,60,2019-03,2024-02,0.4102882057314742,5.551115123125783e-17,1.942890293094024e-16
2024-04,2024-05-12 23:59:00,0.0,60,2019-04,2024-03,0.4107835828789103,5.551115123125783e-17,1.6653345369377348e-16
2024-05,2024-06-10 23:59:00,0.0,60,2019-05,2024-04,0.41161391398358804,2.7755575615628914e-17,5.551115123125783e-17
2024-06,2024-07-09 23:59:00,0.0,60,2019-06,2024-05,0.41209866851067967,5.551115123125783e-17,2.7755575615628914e-16
2024-07,2024-08-11 23:59:00,0.0,60,2019-07,2024-06,0.4100737050959399,2.7755575615628914e-17,1.1102230246251565e-16
2024-08,2024-09-09 23:59:00,0.0,60,2019-08,2024-07,0.40812353241562327,5.551115123125783e-17,2.220446049250313e-16
2024-09,2024-10-09 23:59:00,0.0,60,2019-09,2024-08,0.4086006523489245,6.938893903907228e-18,5.551115123125783e-17
2024-10,2024-11-10 23:59:00,0.0,60,2019-10,2024-09,0.40710911204938355,6.938893903907228e-18,2.7755575615628914e-16
2024-11,2024-12-09 23:59:00,0.0,60,2019-11,2024-10,0.40587207855832647,5.551115123125783e-17,1.8041124150158794e-16
2024-12,2025-01-12 23:59:00,0.0,60,2019-12,2024-11,0.40594565784706454,5.551115123125783e-17,1.3877787807814457e-17
2025-01,2025-02-05 23:59:00,0.0,60,2020-01,2024-12,0.40657692242409194,2.7755575615628914e-17,1.1102230246251565e-16
2025-02,2025-03-04 23:59:00,0.0,60,2020-02,2025-01,0.4086868296172014,6.938893903907228e-18,1.1102230246251565e-16
2025-03,2025-04-03 23:59:00,0.0,60,2020-03,2025-02,0.4078204976332517,5.551115123125783e-17,3.3306690738754696e-16
2025-04,2025-05-05 23:59:00,0.0,60,2020-04,2025-03,0.40808879833421285,5.551115123125783e-17,0.0
2025-05,2025-06-03 23:59:00,0.0,60,2020-05,2025-04,0.4109765574165722,2.7755575615628914e-17,0.0
2025-06,2025-07-03 23:59:00,0.0,60,2020-06,2025-05,0.3951147155395223,1.3877787807814457e-17,5.551115123125783e-17
2025-07,2025-08-04 23:59:00,0.0,60,2020-07,2025-06,0.39580917078894645,5.551115123125783e-17,0.0
2025-08,2025-09-03 23:59:00,0.0,60,2020-08,2025-07,0.38905301552771687,2.7755575615628914e-17,1.6653345369377348e-16
2025-09,2025-10-05 23:59:00,0.0,60,2020-09,2025-08,0.3957278531736188,1.3877787807814457e-17,1.1102230246251565e-16
2025-10,2025-11-04 23:59:00,0.0,60,2020-10,2025-09,0.3948094830309974,1.3877787807814457e-17,0.0
2025-11,2025-12-03 23:59:00,0.0,60,2020-11,2025-10,0.3940187358259871,2.7755575615628914e-17,1.3877787807814457e-16
2025-12,2026-01-06 23:59:00,0.0,60,2020-12,2025-11,0.3909329530204162,1.3877787807814457e-17,5.204170427930421e-18
2026-01,2026-02-04 23:59:00,0.0,60,2021-01,2025-12,0.39124820839378943,5.551115123125783e-17,5.551115123125783e-17
2026-02,2026-03-03 23:59:00,0.0,60,2021-02,2026-01,0.3941976998209908,5.551115123125783e-17,1.1102230246251565e-16
2026-03,2026-04-06 23:59:00,0.0,60,2021-03,2026-02,0.39746241274539973,5.551115123125783e-17,5.551115123125783e-17
2026-04,2026-05-05 23:59:00,0.0,60,2021-04,2026-03,0.39718821004969157,5.551115123125783e-17,5.551115123125783e-17
2026-05,2026-06-03 23:59:00,0.0,60,2021-05,2026-04,0.39563470943699897,1.3877787807814457e-17,0.0
2026-06,2026-07-06 23:59:00,0.0,60,2021-06,2026-05,0.39273677669120743,1.3877787807814457e-17,5.551115123125783e-17
2026-07,2026-08-04 23:59:00,0.0,60,2021-07,2026-06,0.39367863077142773,1.3877787807814457e-17,0.0
