origin,variant,rho,phi,converged,gamma_un_d,gamma_fx_yoy_l3,gamma_rr_gap12,gamma_rr_gap18,gamma_wage_yoy,gamma_imp_mm
2008-01,E1R,0.9000010186692753,0.08677070480399623,True,,,,,,
2008-01,E4,0.9000004473518846,0.06505385949046301,True,-1.1558877455277476,0.0259674730480947,-0.015678144617628755,,,
2008-01,E5,0.9000000096723769,0.06908313629903845,True,-1.1541514671625397,0.02534935554479499,,-0.010256173401543962,,
2008-01,E6,0.9006688303448266,0.044104298802918156,True,-1.2138245333784046,0.02119239832700172,-0.00827864185695816,,-0.007144938569028321,
2008-01,E7,0.9000000515294738,0.06482865755397803,True,-1.1554026710477885,0.025974022983049922,-0.015664804210157795,,,0.0
2008-01,F2R,1.0,0.16677952757454348,True,,,,,,
2008-02,E1R,0.9,0.09764129895334324,True,,,,,,
2008-02,E4,0.900000033557571,0.09595586927036906,True,-1.191947814121362,0.025292585990993405,-0.01197740039399391,,,
2008-02,E5,0.9000001193233376,0.09705940273948979,True,-1.2060495190467728,0.024358947115087116,,-0.013786323306582292,,
2008-02,E6,0.9000000004717965,0.08233428215925634,True,-1.2316507143841902,0.021920609767936913,-0.006706554733250224,,-0.004980198877535516,
2008-02,E7,0.9000000286965781,0.0964483654645513,True,-1.191901567164783,0.0252635117158605,-0.011965895293412616,,,0.0
2008-02,F2R,1.0,0.19507252939004713,True,,,,,,
2008-03,E1R,0.9000193256437721,0.05291443298231635,True,,,,,,
2008-03,E4,0.9000000075526964,0.09099538835174363,True,-1.1953215412564488,0.025474105465687943,-0.012156801053769083,,,
2008-03,E5,0.9000019791438314,0.09077059435512183,True,-1.2096700232213968,0.02461496858805555,,-0.013645223233951042,,
2008-03,E6,0.9000000000001223,0.07998637285269128,True,-1.233226176033177,0.021977939903560666,-0.006739007761462778,,-0.005024889325392571,
2008-03,E7,0.9000000236956733,0.09104702612733559,True,-1.1953511696413524,0.025474170664885935,-0.01216559279968329,,,0.0
2008-03,F2R,1.0,0.1892018673132452,True,,,,,,
2008-04,E1R,0.9,0.11756101524484353,True,,,,,,
2008-04,E4,0.900000004639892,0.09070881409883694,True,-1.1853929143300423,0.02556546341637477,-0.01258362751008745,,,
2008-04,E5,0.9000000000072036,0.09065331736704021,True,-1.1960985127783206,0.02478175862980565,,-0.013071234391739713,,
2008-04,E6,0.9000001877435321,0.07919761479280546,True,-1.2249313900480632,0.02202521793284058,-0.007099176871182177,,-0.005095087223706665,
2008-04,E7,0.9000000019981407,0.0908260204131935,True,-1.185182061655539,0.02556404351359002,-0.01258156645861023,,,0.0
2008-04,F2R,1.0,0.18901211701230428,True,,,,,,
2008-05,E1R,0.9,0.11628972856191634,True,,,,,,
2008-05,E4,0.9000015446553464,0.08883830188251103,True,-1.2004206612408235,0.02547843323707224,-0.01233324066277251,,,
2008-05,E5,0.9000014765538471,0.08876244845107352,True,-1.2096668004480386,0.024666462923608655,,-0.013591982503878096,,
2008-05,E6,0.9000002649211731,0.07730191429535913,True,-1.2398997755803347,0.021950655017180964,-0.006845963991032048,,-0.005074220362370365,
2008-05,E7,0.9000418170778891,0.09040459051383032,True,-1.1858044829048384,0.025569135453392275,-0.012638450621878685,,,-0.26804828629811467
2008-05,F2R,1.0,0.18748664039775856,True,,,,,,
2008-06,E1R,0.9000038140609479,0.07764855795359767,True,,,,,,
2008-06,E4,0.9034030985878269,0.09255595037598383,True,-1.220722674961754,0.025176374321230818,-0.0122876517071554,,,
2008-06,E5,0.9000008261485325,0.09028591888402572,True,-1.2257832112445393,0.02430196257177392,,-0.014105185856306712,,
2008-06,E6,0.9000117935036986,0.07942850300215158,True,-1.2555644128240355,0.021623707304721382,-0.006618736544544401,,-0.005041022748313991,
