origin,variant,rho,phi,converged,gamma_un_d,gamma_fx_yoy_l3,gamma_rr_gap12,gamma_rr_gap18,gamma_wage_yoy
2008-01,E1R,0.9536827166808556,0.14316276118556218,True,,,,,
2008-01,E4,0.9000000123209101,0.09373296581132037,True,-1.143303530194738,0.0333450479603464,-0.034694750553373406,,
2008-01,E5,0.900001014469829,0.06175865850488039,True,-1.1644822896498932,0.029872372226959727,,-0.02292300443416612,
2008-01,E6,0.900472980930672,0.02743067885906126,True,-1.2892445788798494,0.02608281910123878,-0.02297216256063751,,-0.01309622547558763
2008-01,F2R,1.0,0.16677540945845964,True,,,,,
2008-02,E1R,0.9193024787837679,0.11352522536770493,True,,,,,
2008-02,E4,0.9000011793030398,0.12127951330989775,True,-1.1825330390362248,0.03329827402052445,-0.03245345975497459,,
2008-02,E5,0.9000028480717124,0.1293828021553496,True,-1.2013333089506535,0.030999011147748477,,-0.03191483135127395,
2008-02,E6,0.9000001956392151,0.07226376379897634,True,-1.3005251210290123,0.026848522676159677,-0.022140426536910292,,-0.011106651325801237
2008-02,F2R,1.0,0.19506590460643308,True,,,,,
2008-03,E1R,0.9287318046238103,0.12210771440895975,True,,,,,
2008-03,E4,0.900047150300168,0.11569091612947542,True,-1.184277324061766,0.03363586280430907,-0.03295241815093955,,
2008-03,E5,0.9000007521768881,0.1165373512748425,True,-1.2090749483080017,0.031673446319516727,,-0.031900551455019285,
2008-03,E6,0.9000000002535619,0.06824339368547619,True,-1.3037735529367493,0.02696365113881549,-0.0223191018153643,,-0.011234318935268762
2008-03,F2R,1.0,0.1892047375203411,True,,,,,
2008-04,E1R,0.9539386899316075,0.1673970739427125,True,,,,,
2008-04,E4,0.9000012409423647,0.11181333615841464,True,-1.177684195964624,0.03388945633268867,-0.033629582699183994,,
2008-04,E5,0.9000290477222136,0.11920338837205297,True,-1.1852458522673535,0.03181067841138469,,-0.031025422889831948,
2008-04,E6,0.90000019537203,0.06810646322319586,True,-1.293601957128777,0.027019734492968236,-0.022716213309096803,,-0.01130127619265344
2008-04,F2R,1.0,0.18901526676634067,True,,,,,
2008-05,E1R,0.9552524307102649,0.1703250610071487,True,,,,,
2008-05,E4,0.9000027370952299,0.11020089455315253,True,-1.1911539774817221,0.03389201020964524,-0.03358758717163516,,
2008-05,E5,0.9000019210100025,0.11686397900002571,True,-1.1951331404444208,0.031875798270027796,,-0.03150276277948675,
2008-05,E6,0.9000000000594808,0.06615034009866463,True,-1.3070556895863192,0.027008340518692484,-0.022638614685233822,,-0.011350315742807775
2008-05,F2R,1.0,0.1874865153464934,True,,,,,
2008-06,E1R,0.9546218498019229,0.16607646610898177,True,,,,,
2008-06,E4,0.9000016196331104,0.11190738412802173,True,-1.2047152388128173,0.03361632918920069,-0.03344033704323529,,
2008-06,E5,0.9000019838705814,0.11778244247882315,True,-1.2069141110539152,0.03163635804223689,,-0.03198414369448251,
2008-06,E6,0.900000000002829,0.0679507789927634,True,-1.3224586108070786,0.02672551420503778,-0.022501420578498237,,-0.011344731787395671
2008-06,F2R,1.0,0.19033012132195176,True,,,,,
2008-07,E1R,0.9572389290419434,0.1760426641422588,True,,,,,
2008-07,E4,0.9000007735856823,0.11056346148945287,True,-1.2031816383147842,0.033770757706797924,-0.0333192252109267,,
2008-07,E5,0.9000024805949839,0.1167552614638898,True,-1.2078436960866075,0.03171026488513003,,-0.0320332456653222,
2008-07,E6,0.900000000000109,0.06668030862763558,True,-1.3217403377005574,0.026865662155917815,-0.022416202355501045,,-0.011328648125030934
2008-07,F2R,1.0,0.18972478206811189,True,,,,,
2008-08,E1R,0.9611209158983158,0.18523512629321456,True,,,,,
2008-08,E4,0.9000008694184106,0.11419401558382937,True,-1.187459229250049,0.03292372117449527,-0.03339867962040034,,
2008-08,E5,0.9000003999716769,0.120505099807478,True,-1.1910017483271484,0.030855185907395312,,-0.03194350599242589,
2008-08,E6,0.9000000056319102,0.06975034360928369,True,-1.3082620474639013,0.026061583548684458,-0.02235770934935702,,-0.011448907050107567
2008-08,F2R,1.0,0.18999783723485586,True,,,,,
2008-09,E1R,0.9651610031213144,0.19894892120938143,True,,,,,
2008-09,E4,0.9000011901324249,0.11643803630807516,True,-1.1755616284543815,0.03237238896071244,-0.03331220216608714,,
2008-09,E5,0.9000018222927627,0.07224559845166545,True,-1.1744808591070188,0.029401880437168248,,-0.026908172739856604,
2008-09,E6,0.9000006355269977,0.07340393656753375,True,-1.2907252251534191,0.025383667262105496,-0.02227043097082997,,-0.011403562511181877
2008-09,F2R,1.0,0.18982489062812308,True,,,,,
2008-10,E1R,0.9679502342942627,0.20193238610365966,True,,,,,
2008-10,E4,0.9000010305347756,0.04708565580847689,True,-1.1594691225215177,0.029770605473979802,-0.032227054064951424,,
2008-10,E5,0.9000015225385908,0.059512743398934635,True,-1.137299941966116,0.027675604230009445,,-0.024639624126132232,
2008-10,E6,0.900000120992431,0.07827892922163841,True,-1.2499136281179823,0.023677676366327054,-0.02210355664240902,,-0.011450392201975523
2008-10,F2R,1.0,0.18852616186644686,True,,,,,
2008-11,E1R,0.9624666906372044,0.19415407744076824,True,,,,,
2008-11,E4,0.9000011784486973,0.055782046670328066,True,-1.125473397691955,0.028478828196588403,-0.030724589639026346,,
2008-11,E5,0.9000025534154205,0.06770488490355867,True,-1.1057722711240459,0.026565017844249823,,-0.023389011866992878,
2008-11,E6,0.9000016713756407,0.08512328773622246,True,-1.2160278699464726,0.02237103414844703,-0.02096641293819101,,-0.010956671565093636
2008-11,F2R,1.0,0.18855605734373165,True,,,,,
2008-12,E1R,0.9003688892245361,0.11667422734567386,True,,,,,
2008-12,E4,0.9000087814188404,0.061652499546609583,True,-1.1488870454058924,0.030519628961208235,-0.03135008878908216,,
2008-12,E5,0.900001915510353,0.07585649622964591,True,-1.1333014917109139,0.028666959475406706,,-0.024494769564920336,
2008-12,E6,0.900000248562986,0.08066317027819658,True,-1.241371073095558,0.02408955240757551,-0.02149506954518245,,-0.010692660619227632
2008-12,F2R,1.0,0.18684666771265224,True,,,,,
2009-01,E1R,0.9000565664075856,0.11615087204589307,True,,,,,
2009-01,E4,0.9000047866556321,0.05896604824932134,True,-1.1439970270935564,0.030309911985482225,-0.03170585738279849,,
2009-01,E5,0.9000027714842869,0.07269862948857886,True,-1.126886118596269,0.028399825721060975,,-0.024564263465904384,
2009-01,E6,0.9000003683050457,0.0797566937332875,True,-1.234443226461291,0.023774251680849498,-0.021743040897278878,,-0.010832598813579359
2009-01,F2R,1.0,0.19107547870187513,True,,,,,
2009-02,E1R,0.9000025122258444,0.05943997691581841,True,,,,,
