period,as_of_eve,coreweight,LEGACY_BASE,LEGACY_HALF,LEGACY_FULL,HARD_BASE,HARD_HALF,HARD_FULL,SENTIMENT_BASE,SENTIMENT_HALF,SENTIMENT_FULL
2019-02,2019-03-10T23:59:00,0.5473483906668922,0.28148757009215447,0.3223959167564083,0.3633042634206621,0.31775488058818213,0.3457208529825975,0.3736868253770129,0.30788671050198746,0.345099091878643,0.38231147325529863
2019-03,2019-04-09T23:59:00,0.5518118388714258,0.08296838830705089,0.0737984755165065,0.06462856272596214,0.09946023954165717,0.09481364394484938,0.0901670483480416,0.08921580293543074,0.08788923156832665,0.08656266020122257
2019-04,2019-05-12T23:59:00,0.5506152285898372,0.41801784445401535,0.44221330209549436,0.46640875973697327,0.38710754867430486,0.4331530262959052,0.4791985039175055,0.41029061347364837,0.45266727199503665,0.4950439305164249
2019-05,2019-06-10T23:59:00,0.5509025905852826,0.2348046582023983,0.2400981237713503,0.2453915893403023,0.2254766707170906,0.24160405653897696,0.2577314423608633,0.22825997987059596,0.23786766293655648,0.247475346002517
2019-06,2019-07-10T23:59:00,0.5513522221960248,0.12503802156624538,0.07148855927759555,0.01793909698894571,0.12410329846284626,0.07361655119089941,0.02312980391895257,0.12266522649613448,0.07386373093059315,0.02506223536505181
2019-07,2019-08-11T23:59:00,0.5511366843062552,0.39045237187163523,0.39891869370078176,0.4073850155299284,0.435229027763851,0.4401493662832389,0.4450697048026269,0.417143239105575,0.41656765386924927,0.4159920686329235
2019-08,2019-09-09T23:59:00,0.550495125585692,-0.006945762243797032,0.013212691202047225,0.03337114464789147,0.07212027168892293,0.08632839290472513,0.10053651412052733,0.02300352821182107,0.0334998077121614,0.04399608721250173
2019-09,2019-10-09T23:59:00,0.5501700104465688,-0.34838756200358595,-0.33048149385723635,-0.3125754257108867,-0.3115374275151629,-0.31736840944316663,-0.3231993913711704,-0.3411226919236905,-0.3456074170851272,-0.3500921422465639
2019-10,2019-11-10T23:59:00,0.5518523549344644,0.2815613688180064,0.33382145793733903,0.38608154705667164,0.22940611674544503,0.28517471091363017,0.3409433050818153,0.25788500901451705,0.3088668014016127,0.3598485937887084
2019-11,2019-12-09T23:59:00,0.5505863362349064,0.16937829587203512,0.2024915980379357,0.23560490020383623,0.16027885730460945,0.18827727179203121,0.21627568627945298,0.1702890895561348,0.1930841174909323,0.21587914542572978
