table,obj,h,n,naive,rw,F2_D1_ML,bias_F2_D1_ML,F2_D1_fixed,bias_F2_D1_fixed,F2_D1_noFMIE,bias_F2_D1_noFMIE,F2_D2_ML,bias_F2_D2_ML,F2_D2_fixed,bias_F2_D2_fixed,F2,bias_F2,F3,bias_F3,F1a,bias_F1a,F1b,bias_F1b
"LONG SPAN origins 2008-01..2026-07, F2 variants",b,1,222,0.633296420734854,1.1014760688395024,0.8090446770040145,-0.06754712894651653,0.8027401680023454,-0.07242972724380586,0.8185304657490878,0.034577304126314636,0.8096567528175312,-0.07305509851651965,0.8040089771831272,-0.07772124951137678,,,,,,,,
"LONG SPAN origins 2008-01..2026-07, F2 variants",b,3,220,1.3669374421395235,1.8281777610578178,1.3277324063374423,-0.25139570295271507,1.3136937378875042,-0.269656799706398,1.352445430464495,0.0929875219196835,1.327166943435047,-0.2691737833864019,1.3198978799724688,-0.2828325291833786,,,,,,,,
"LONG SPAN origins 2008-01..2026-07, F2 variants",b,6,217,2.2976811117887457,2.801351745242859,2.0737940007622373,-0.5391144693182441,2.055035603451128,-0.5702036754339116,2.202292922189357,0.20088853404563756,2.066218533908465,-0.576161472180241,2.068978891863722,-0.5935572510859686,,,,,,,,
"LONG SPAN origins 2008-01..2026-07, F2 variants",b,9,214,3.20644828205988,3.71355073029589,2.994023187064237,-0.8486672944097428,2.9687768897651687,-0.8849005419616262,3.2612833068533056,0.2924694479666485,2.9889152419112084,-0.9026403789457198,2.989265632586427,-0.9178393781484577,,,,,,,,
"LONG SPAN origins 2008-01..2026-07, F2 variants",b,12,211,4.093597443989172,4.472970319336139,3.8492236944159592,-1.1746621867284612,3.8146378940176966,-1.2119679797566363,4.440528849526679,0.3794781575349503,3.8460529894253788,-1.2425406561247445,3.840579146768709,-1.2539656844627947,,,,,,,,
"LONG SPAN origins 2013-01..2026-07, F2 (selected) vs F3",b,1,160,0.7219087439367775,1.2017840690000832,,,,,,,,,,,0.8431907387233144,-0.1083907425113129,0.6601265637044584,-0.07150479139337701,,,,
"LONG SPAN origins 2013-01..2026-07, F2 (selected) vs F3",b,3,158,1.5727992230946488,2.0109632496729883,,,,,,,,,,,1.458707041944311,-0.37745884804130664,1.4404068509768608,-0.21869972632963877,,,,
"LONG SPAN origins 2013-01..2026-07, F2 (selected) vs F3",b,6,155,2.6568395902706756,3.0986644616773047,,,,,,,,,,,2.3656915509560656,-0.8064542755166201,2.400959321152535,-0.4505762762470878,,,,
"LONG SPAN origins 2013-01..2026-07, F2 (selected) vs F3",b,9,152,3.7211322095247246,4.11895135309374,,,,,,,,,,,3.4475299371777224,-1.268958253488739,3.5126217493735847,-0.7754744026404105,,,,
"LONG SPAN origins 2013-01..2026-07, F2 (selected) vs F3",b,12,149,4.764905833216593,5.0018690913789925,,,,,,,,,,,4.486521076248862,-1.7434076083690322,4.626805420975851,-1.2330111866584135,,,,
