model,RMSE,MAE,dir_corr,DM_vs_AR3,DM_pval
TVW_QRF_sqPCA,0.33360384720873476,0.2521452477570988,0.3273867288761785,-5.353967246422981,3.1181785997702605e-07
TVW_QRF,0.3507495866429439,0.2603535783488371,0.3001112232607369,-4.749761868760872,4.672872292887931e-06
TVW_QRF_WIDERAW_MF1,0.35237691451273495,0.2652854616627395,0.117916246317802,-4.309131228525827,2.9309265920263172e-05
TVW_QRF_WIDERAW,0.3651223385980585,0.2759725366717385,0.1518309827263915,-4.437124570378666,1.741249960018898e-05
TVW_QRF_RAW,0.4102722653249565,0.2939708270614683,0.12077804097461844,-1.3253149921696787,0.18713691605457528
ENSEMBLE,0.4200081677077281,0.2851354254745819,0.20538526363522921,-0.7597527071541327,0.44857915734202036
BVAR,0.4209650583132117,0.3131136463557471,-0.13079216023005794,-1.5141669072522919,0.13206014047860815
ARIMA313,0.42556338145594186,0.2984015560076596,0.2536356256395051,-0.8029723454356279,0.42324451561857224
AR3,0.4475270287396538,0.35032660981565206,0.0863288748186701,,
RW,0.7216457826080952,0.41698043434127974,0.12444452754166785,1.3026001997990129,0.19468140465864514
