origin,as_of,forest,multiplier,n_validation,selection_reason,validation_start,validation_end,validation_last_release,validation_origins,selected_inner_mse,zero_inner_mse,raw_correction,applied_correction,n_errors,error_end,last_error_release,forest_status
2019-02,2019-03-10 23:59:00,leaf3_featuresall,0.0,6,insufficient_validation,2018-08,2019-01,2019-02-13 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01,,,0.1052844199584909,0.0,46,2019-01,2019-02-13 09:00:00,estimated
2019-03,2019-04-09 23:59:00,leaf3_featuresall,0.0,7,insufficient_validation,2018-08,2019-02,2019-03-11 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02,,,-0.014979153253238578,-0.0,47,2019-02,2019-03-11 09:00:00,estimated
2019-04,2019-05-12 23:59:00,leaf3_featuresall,0.0,8,insufficient_validation,2018-08,2019-03,2019-04-10 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03,,,0.1754703623415533,0.0,48,2019-03,2019-04-10 09:00:00,estimated
2019-05,2019-06-10 23:59:00,leaf3_featuresall,0.0,9,insufficient_validation,2018-08,2019-04,2019-05-13 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04,,,0.07388012149954211,0.0,49,2019-04,2019-05-13 09:00:00,estimated
2019-06,2019-07-10 23:59:00,leaf3_featuresall,0.0,10,insufficient_validation,2018-08,2019-05,2019-06-11 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05,,,-0.08926857899751785,-0.0,50,2019-05,2019-06-11 09:00:00,estimated
2019-07,2019-08-11 23:59:00,leaf3_featuresall,0.0,11,insufficient_validation,2018-08,2019-06,2019-07-11 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06,,,0.03193596501110716,0.0,51,2019-06,2019-07-11 09:00:00,estimated
2019-08,2019-09-09 23:59:00,leaf3_featuresall,0.0,12,insufficient_validation,2018-08,2019-07,2019-08-12 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07,,,0.04409143035695663,0.0,52,2019-07,2019-08-12 09:00:00,estimated
2019-09,2019-10-09 23:59:00,leaf3_featuresall,0.0,13,insufficient_validation,2018-08,2019-08,2019-09-10 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08,,,-0.024922270817173558,-0.0,53,2019-08,2019-09-10 09:00:00,estimated
2019-10,2019-11-10 23:59:00,leaf3_featuresall,0.0,14,insufficient_validation,2018-08,2019-09,2019-10-10 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09,,,0.18438718196286324,0.0,54,2019-09,2019-10-10 09:00:00,estimated
2019-11,2019-12-09 23:59:00,leaf3_featuresall,0.0,15,insufficient_validation,2018-08,2019-10,2019-11-11 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10,,,0.0848170746369425,0.0,55,2019-10,2019-11-11 09:00:00,estimated
2019-12,2020-01-12 23:59:00,leaf3_featuresall,0.0,16,insufficient_validation,2018-08,2019-11,2019-12-10 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11,,,0.05203056236233288,0.0,56,2019-11,2019-12-10 09:00:00,estimated
2020-01,2020-02-13 23:59:00,leaf3_featuresall,0.0,17,insufficient_validation,2018-08,2019-12,2020-01-13 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12,,,0.09392409142015296,0.0,57,2019-12,2020-01-13 09:00:00,estimated
2020-02,2020-03-09 23:59:00,leaf3_featuresall,0.0,18,insufficient_validation,2018-08,2020-01,2020-02-14 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01,,,0.06492663552081909,0.0,58,2020-01,2020-02-14 09:00:00,estimated
2020-03,2020-04-13 23:59:00,leaf3_featuresall,0.0,19,insufficient_validation,2018-08,2020-02,2020-03-10 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02,,,-0.0101386088116414,-0.0,59,2020-02,2020-03-10 09:00:00,estimated
2020-04,2020-05-12 23:59:00,leaf3_featuresall,0.0,20,insufficient_validation,2018-08,2020-03,2020-04-14 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03,,,0.03465776758018529,0.0,60,2020-03,2020-04-14 09:00:00,estimated
2020-05,2020-06-09 23:59:00,leaf3_featuresall,0.0,21,insufficient_validation,2018-08,2020-04,2020-05-13 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04,,,-0.01865317488746064,-0.0,61,2020-04,2020-05-13 09:00:00,estimated
2020-06,2020-07-09 23:59:00,leaf3_featuresall,0.0,22,insufficient_validation,2018-08,2020-05,2020-06-10 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05,,,0.13509901529006701,0.0,62,2020-05,2020-06-10 09:00:00,estimated
2020-07,2020-08-12 23:59:00,leaf3_featuresall,0.0,23,insufficient_validation,2018-08,2020-06,2020-07-10 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06,,,0.063289677070882,0.0,63,2020-06,2020-07-10 09:00:00,estimated
2020-08,2020-09-09 23:59:00,leaf3_featuresthird,1.0,24,minimum_prior_mse,2018-08,2020-07,2020-08-13 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07,0.06435599341667113,0.07703374430725275,0.04154227905285783,0.04154227905285783,64,2020-07,2020-08-13 09:00:00,estimated
2020-09,2020-10-11 23:59:00,leaf3_featuresthird,1.0,25,minimum_prior_mse,2018-08,2020-08,2020-09-10 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08,0.0649663268888341,0.07626827224458116,-0.06641680658413347,-0.06641680658413347,65,2020-08,2020-09-10 09:00:00,estimated
2020-10,2020-11-09 23:59:00,leaf3_featuresthird,1.0,26,minimum_prior_mse,2018-08,2020-09,2020-10-12 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09,0.06251375447066622,0.07337373142664268,0.3019906681563787,0.3019906681563787,66,2020-09,2020-10-12 09:00:00,estimated
2020-11,2020-12-09 23:59:00,leaf3_featuresthird,1.0,27,minimum_prior_mse,2018-08,2020-10,2020-11-10 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10,0.06033089410531945,0.07282856941691497,0.01746016699272734,0.01746016699272734,67,2020-10,2020-11-10 09:00:00,estimated
2020-12,2021-01-12 23:59:00,leaf3_featuresthird,1.0,28,minimum_prior_mse,2018-08,2020-11,2020-12-10 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11,0.06005434539973611,0.07183056575363507,0.07512256468975081,0.07512256468975081,68,2020-11,2020-12-10 09:00:00,estimated
2021-01,2021-02-11 23:59:00,leaf3_featuresthird,1.0,29,minimum_prior_mse,2018-08,2020-12,2021-01-13 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12,0.06183154541307396,0.07166559170157748,0.1768495885590698,0.1768495885590698,69,2020-12,2021-01-13 09:00:00,estimated
2021-02,2021-03-09 23:59:00,leaf3_featuresthird,1.0,30,minimum_prior_mse,2018-08,2021-01,2021-02-12 09:00:00,2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01,0.060270190021294544,0.07226249265225787,0.20803800555122745,0.20803800555122745,70,2021-01,2021-02-12 09:00:00,estimated
