h,n,mm_rmse_P0,mm_mae_P0,mm_bias_P0,mm_rmse_naive,yy_a_rmse_P0,yy_a_rmse_nn,yy_a_rmse_naive,yy_b_rmse_P0,yy_b_rmse_naive,yy_rmse_rw,yy_b_bias_P0,dir_hit_P0,dir_hit_naive,yy_b_rmse_P1,yy_b_rmse_P2,yy_b_rmse_P3,yy_b_rmse_P4,yy_b_rmse_P5,yy_b_rmse_P6,yy_b_rmse_P7
1,88,0.6981530664601163,0.38305061095104836,-0.10813552090518304,0.8630183210295119,0.9254591162845481,1.0360192458059474,1.0360192458059474,0.7719127355685579,0.9351010043816628,1.5709723518952163,-0.11286314731321871,0.8522727272727273,0.7840909090909091,0.7719127355685579,0.767757484637144,0.7746798100832666,0.771872351380392,0.7719127355685579,0.7719127355685579,0.7719127355685579
2,86,0.6993118515770397,0.3920494710799305,-0.09206301532480954,0.8713253205463035,1.331855852960346,1.6193565112320643,1.6193565112320643,1.135179581572184,1.501576495126124,2.192540598023902,-0.21009851262662543,0.7093023255813954,0.6395348837209303,1.135179581572184,1.1135523596803414,1.1006339046413867,1.1404517472036042,1.135179581572184,1.135179581572184,1.135179581572184
3,84,0.8085395069730646,0.44054363881545494,-0.11877547101751677,0.8814742559905393,1.610782344580722,2.118056528572953,2.118056528572953,1.5564864775582954,2.0907473256437434,2.697010642247087,-0.3369584376813826,0.7619047619047619,0.7380952380952381,1.5564864775582954,1.5069732807634137,1.482118912364256,1.5808632709495383,1.5564864775582954,1.5564864775582954,1.5564864775582954
4,82,0.8060201745385271,0.4422426319082745,-0.1848508776417475,0.8912187832410196,1.9563156747341117,2.626277535851768,2.626277535851768,1.8844588060578462,2.5900426796283362,3.232792403033034,-0.5450890000034914,0.7804878048780488,0.6951219512195121,1.8891490671560895,1.8440368765317632,1.7673499395504542,1.9209351252556137,1.8844588060578462,1.8844588060578462,1.856158945345083
5,80,0.8496213236229331,0.4784103396615674,-0.2126294099369666,0.9015611525353857,2.350057775240923,3.1592770305317823,3.1592770305317823,2.265527184949785,3.1121128180759907,3.766365784539154,-0.7838087302280378,0.7625,0.65,2.2634958005862336,2.2469383205658695,2.0807799895255337,2.3328619112492897,2.265527184949785,2.265527184949785,2.2193331238042657
6,78,0.8673612509893864,0.5139218233294972,-0.23039914018316707,0.9094385330386442,2.7203162171935347,3.6924440855514487,3.6924440855514487,2.619001858730167,3.648644940906468,4.305620003577593,-1.041472035961232,0.8076923076923077,0.5769230769230769,2.6023401778659045,2.625644308382473,2.4406835593626126,2.6862114422724086,2.619001858730167,2.619001858730167,2.581899032309264
7,76,0.9556523752867288,0.5670766696320019,-0.25398002709549333,0.9211798651890799,3.264592689272411,4.245138283382115,4.245138283382115,3.1544082947469865,4.193893098341497,4.839246080128419,-1.3155355989947732,0.7368421052631579,0.631578947368421,3.1033908847962928,3.17100597306974,2.898558152380146,3.219363240299707,3.0769326528957306,3.019645253902646,3.1221315075311784
8,74,0.8938513761512066,0.5508683892244145,-0.262285174874792,0.9321273987025073,3.6512713988349024,4.779368409340728,4.779368409340728,3.5499857739070273,4.732557841835093,5.375424357442972,-1.6099673142931803,0.7297297297297297,0.6081081081081081,3.462969472631775,3.5749947154181863,3.429962403024371,3.5597243353590016,3.468836450969735,3.413900673285921,3.5227057822638357
9,72,0.9367056934457685,0.558557022673698,-0.27793731489989193,0.9430342812481813,4.278319676045718,5.34242184118012,5.34242184118012,4.157078576198653,5.277506779098867,5.916335565450812,-1.9319513120350134,0.7361111111111112,0.625,4.07302750443894,4.171660273494965,4.102673439786917,4.113251790543013,4.041281594640519,3.9633928073656595,4.124780330430753
10,70,0.9298900730434921,0.5394735501124454,-0.3338061106707409,0.9555541970701167,4.911253486864439,5.887432261127676,5.887432261127676,4.78421666825431,5.811265848605266,6.448503630576519,-2.3373312945362885,0.7,0.6285714285714286,4.686408417797599,4.794472871401247,4.700230357140459,4.690432083070725,4.65713812806693,4.574525523851816,4.747163822843292
11,68,0.9027085075448624,0.5268465153240435,-0.27157506883171667,0.9693203758070632,5.457770236586333,6.449665156198995,6.449665156198995,5.330121492094676,6.369415100885008,6.968876914861184,-2.6937790977851637,0.6764705882352942,0.6176470588235294,5.2280722624257585,5.338072788359297,5.246809717131817,5.198851571951508,5.220416978932653,5.169910762338238,5.30199835395325
12,66,0.9854599419468892,0.5485650032495061,-0.3207826822029056,1.0264652329632402,5.931290109638816,6.990062293675042,6.990062293675042,5.931290109638816,6.990062293675042,7.426570296101707,-3.1443928449536522,0.5606060606060606,0.5454545454545454,5.822580098733596,5.936862779790107,5.822873502560875,5.759866653921999,5.829702658067789,5.781610606052553,5.881050840901995
