model,frame,n,rmse,mae,bias,mean_gain,total_gain,closer,material_win,material_loss,direction
HARD_FULL,flash2025+,19,0.1638271242938502,0.13239549655765354,0.0398422767095172,0.025499240284451725,0.48448556540458276,11,2,1,11
HARD_FULL,big,23,0.6710742877935717,0.47606113106941467,0.0007855388815016216,0.1021997384958028,2.3505939854034645,16,9,2,17
HARD_FULL,big_ex_jan,19,0.7065802335235483,0.49063590002425816,0.08006482422848392,0.10410094208100498,1.9779178995390947,14,8,1,14
HARD_FULL,alerts,23,0.4184009317085991,0.3213253191257471,-0.048749773959070056,-0.056107927821399214,-1.2904823398921819,11,9,10,16
SELECTED,all,90,0.413013412687433,0.2622327192621763,-0.013582295421494629,-0.008899385928842941,-0.8009447335958647,44,12,12,49
SELECTED,ex_jan,83,0.398358584205556,0.2487330166527297,0.02012223531507808,-0.004154703399717642,-0.34484038217656426,40,11,11,44
SELECTED,2024+,31,0.22103259269609024,0.16803440205241152,-0.004694159925412241,0.019062372141136846,0.5909335363752423,18,3,1,19
SELECTED,flash2025+,19,0.16550003220186782,0.1307764601823226,0.03243053697440626,0.027118276659782642,0.5152472565358702,12,2,0,12
SELECTED,big,23,0.6825423499166053,0.47469877140828587,-0.0020246606033014493,0.10356209815693153,2.381928257609425,16,8,1,17
SELECTED,big_ex_jan,19,0.7202724809464951,0.4902565635354553,0.07858303205303618,0.10448027856980784,1.985125292826349,14,7,1,14
SELECTED,alerts,23,0.6579273827466731,0.3912041352881946,0.02775420277643739,-0.030334570070803268,-0.6976951116284752,11,9,8,16
leaf3_featuresall_m0,all,90,0.41795154739724044,0.2625157341641442,-0.02522563676857153,-0.009182400830810854,-0.826416074772977,45,12,15,50
leaf3_featuresall_m0,ex_jan,83,0.4033326092057299,0.24825110030558287,0.009051414942628455,-0.0036727870525708143,-0.3048413253633776,42,11,14,46
leaf3_featuresall_m0,2024+,31,0.21897776134072025,0.1690393240182862,-0.005877997285901057,0.01805745017526219,0.5597809554331279,19,4,2,20
leaf3_featuresall_m0,flash2025+,19,0.17300164605167864,0.13929634726858156,0.024692630835155806,0.018598389573523697,0.35336940189695026,12,2,1,12
leaf3_featuresall_m0,big,23,0.6985702092561593,0.48458284194899887,-0.02123852361785028,0.09367802761621853,2.154594635173026,16,7,3,17
leaf3_featuresall_m0,big_ex_jan,19,0.7365562717606702,0.49869034454316896,0.062200146068221586,0.09604649756209435,1.8248834536797927,15,6,3,15
leaf3_featuresall_m0,alerts,20,0.6999864621564055,0.4090825368404247,0.011537374496096684,-0.03908253684042467,-0.7816507368084934,9,7,8,14
leaf3_featuresall_m0.5,all,90,0.4135317601254971,0.26397139558126503,-0.01499817873782754,-0.010638062247931672,-0.9574256023138505,43,10,11,48
leaf3_featuresall_m0.5,ex_jan,83,0.3983453230127119,0.2504038964552694,0.01908251878453005,-0.005825583202257349,-0.48352340578735997,40,9,10,44
leaf3_featuresall_m0.5,2024+,31,0.21957453896249257,0.1678263759240845,-0.004069238767468709,0.019270398269463845,0.5973823463533792,18,3,1,19
leaf3_featuresall_m0.5,flash2025+,19,0.1655756999572078,0.13369395901566333,0.03229427918603997,0.024200777826441894,0.45981477870239595,12,2,0,12
leaf3_featuresall_m0.5,big,23,0.6832687933649946,0.4792994660627869,-0.010217918052356112,0.09896140350243048,2.276112280555901,15,7,1,16
leaf3_featuresall_m0.5,big_ex_jan,19,0.7201514305996994,0.4946681260336207,0.07105074518921554,0.10006871607164246,1.9013056053612067,14,6,1,14
leaf3_featuresall_m0.5,alerts,22,0.6694008453129529,0.4041202003352019,0.03879415908072403,-0.04957474578974739,-1.0906444073744426,10,8,9,15
leaf3_featuresall_m1,all,90,0.4135534790384274,0.26879876538670144,-0.004770720707083557,-0.015465432053368082,-1.3918888848031274,43,12,14,48
leaf3_featuresall_m1,ex_jan,83,0.3980734481672586,0.2556859481337689,0.029113622626431624,-0.011107634880756754,-0.9219336951028105,39,11,12,43
leaf3_featuresall_m1,2024+,31,0.2252816564214282,0.1725450017600163,-0.0022604802490363875,0.014551772433532093,0.45110494543949486,18,4,3,19
leaf3_featuresall_m1,flash2025+,19,0.163758867825068,0.13227700200442027,0.039895927536924135,0.025617734837684984,0.4867369619160147,12,2,1,12
leaf3_featuresall_m1,big,23,0.6709947496959081,0.4759172008747026,0.0008026875131380465,0.10234366869051492,2.3539043798818433,16,9,2,17
leaf3_featuresall_m1,big_ex_jan,19,0.7066035888789887,0.49064590752407256,0.0799013443102095,0.10409093458119059,1.9777277570426213,14,8,1,14
leaf3_featuresall_m1,alerts,23,0.4186003275617915,0.3221505063035308,-0.04887481422651952,-0.05693311499918297,-1.3094616449812084,11,8,10,16
leaf3_featuresthird_m0,all,90,0.41795154739724044,0.2625157341641442,-0.02522563676857153,-0.009182400830810854,-0.826416074772977,45,12,15,50
leaf3_featuresthird_m0,ex_jan,83,0.4033326092057299,0.24825110030558287,0.009051414942628455,-0.0036727870525708143,-0.3048413253633776,42,11,14,46
leaf3_featuresthird_m0,2024+,31,0.21897776134072025,0.1690393240182862,-0.005877997285901057,0.01805745017526219,0.5597809554331279,19,4,2,20
leaf3_featuresthird_m0,flash2025+,19,0.17300164605167864,0.13929634726858156,0.024692630835155806,0.018598389573523697,0.35336940189695026,12,2,1,12
leaf3_featuresthird_m0,big,23,0.6985702092561593,0.48458284194899887,-0.02123852361785028,0.09367802761621853,2.154594635173026,16,7,3,17
leaf3_featuresthird_m0,big_ex_jan,19,0.7365562717606702,0.49869034454316896,0.062200146068221586,0.09604649756209435,1.8248834536797927,15,6,3,15
leaf3_featuresthird_m0,alerts,20,0.6999864621564055,0.4090825368404247,0.011537374496096684,-0.03908253684042467,-0.7816507368084934,9,7,8,14
leaf3_featuresthird_m0.5,all,90,0.41264802687340096,0.2636771916544597,-0.016249665671172562,-0.010343858321126404,-0.9309472489013764,43,9,10,48
leaf3_featuresthird_m0.5,ex_jan,83,0.39716754472689025,0.24977056897487745,0.017916147032310842,-0.005192255721865384,-0.4309572249148269,40,8,9,44
leaf3_featuresthird_m0.5,2024+,31,0.21928786415667745,0.16806551334463812,-0.006187408588565359,0.01903126084891026,0.589969086316218,18,3,1,19
leaf3_featuresthird_m0.5,flash2025+,19,0.16647804710422948,0.13437638030546087,0.02942225484536404,0.023518356536644375,0.44684877419624314,12,2,0,12
leaf3_featuresthird_m0.5,big,23,0.6832970902185282,0.4784196913292401,-0.013053320398019555,0.09984117823597737,2.2963470994274795,15,7,1,16
leaf3_featuresthird_m0.5,big_ex_jan,19,0.719791215467009,0.4926213725454565,0.06806002858711473,0.10211546955980676,1.9401939216363284,14,6,1,14
leaf3_featuresthird_m0.5,alerts,21,0.6787773988124415,0.40508425591060027,0.02698973090461097,-0.038417589243933556,-0.8067693741226047,10,7,8,15
leaf3_featuresthird_m1,all,90,0.41081134794101376,0.267032572361282,-0.007273694573773587,-0.01369923902794862,-1.2329315125153757,44,11,13,49
leaf3_featuresthird_m1,ex_jan,83,0.3946717017782672,0.2531421767216258,0.026780879121993235,-0.008563863468613778,-0.7108006678949436,40,10,11,44
leaf3_featuresthird_m1,2024+,31,0.223481207892613,0.17057304652030209,-0.0064968198912296795,0.016523727673246294,0.5122355578706351,17,4,3,18
leaf3_featuresthird_m1,flash2025+,19,0.16401246151685267,0.13334738663524867,0.03415187885557226,0.024547350206856576,0.46639965393027494,11,2,1,11
leaf3_featuresthird_m1,big,23,0.6701560349652741,0.4741576514076086,-0.00486811717818886,0.10410321815760874,2.394374017625001,16,8,2,17
leaf3_featuresthird_m1,big_ex_jan,19,0.7049541101607766,0.48655240054774396,0.07391991110600786,0.10818444155751919,2.0555043895928646,14,7,1,14
leaf3_featuresthird_m1,alerts,23,0.40490695767269524,0.30897226055953403,-0.07885121098945763,-0.03071139099431659,-0.7063619928692816,12,9,9,17
leaf8_featuresall_m0,all,90,0.41795154739724044,0.2625157341641442,-0.02522563676857153,-0.009182400830810854,-0.826416074772977,45,12,15,50
leaf8_featuresall_m0,ex_jan,83,0.4033326092057299,0.24825110030558287,0.009051414942628455,-0.0036727870525708143,-0.3048413253633776,42,11,14,46
leaf8_featuresall_m0,2024+,31,0.21897776134072025,0.1690393240182862,-0.005877997285901057,0.01805745017526219,0.5597809554331279,19,4,2,20
leaf8_featuresall_m0,flash2025+,19,0.17300164605167864,0.13929634726858156,0.024692630835155806,0.018598389573523697,0.35336940189695026,12,2,1,12
leaf8_featuresall_m0,big,23,0.6985702092561593,0.48458284194899887,-0.02123852361785028,0.09367802761621853,2.154594635173026,16,7,3,17
leaf8_featuresall_m0,big_ex_jan,19,0.7365562717606702,0.49869034454316896,0.062200146068221586,0.09604649756209435,1.8248834536797927,15,6,3,15
leaf8_featuresall_m0,alerts,20,0.6999864621564055,0.4090825368404247,0.011537374496096684,-0.03908253684042467,-0.7816507368084934,9,7,8,14
leaf8_featuresall_m0.5,all,90,0.41166934916109266,0.26180771484802584,-0.015287257375698913,-0.008474381514692509,-0.7626943363223257,44,11,12,49
leaf8_featuresall_m0.5,ex_jan,83,0.3972537057102448,0.24834808059001845,0.0181975692916215,-0.0037697673370064477,-0.31289068897153516,41,10,11,45
leaf8_featuresall_m0.5,2024+,31,0.22220522344644944,0.17000896372166743,-0.008217945626983846,0.01708781047188095,0.5297221246283095,18,3,1,19
leaf8_featuresall_m0.5,flash2025+,19,0.16773882233986875,0.13287391573115795,0.027223116417547957,0.02502082111094732,0.47539560110799906,12,2,0,12
leaf8_featuresall_m0.5,big,23,0.6846929476625124,0.4803223660215558,-0.00915055125099274,0.09793850354366157,2.252585581504216,16,8,1,17
leaf8_featuresall_m0.5,big_ex_jan,19,0.7219498384785945,0.4951172728971612,0.07190375380755705,0.09961956920810196,1.8927718149539372,15,7,1,15
leaf8_featuresall_m0.5,alerts,21,0.6754023618291676,0.399792049361321,0.02681722952336389,-0.03312538269465428,-0.6956330365877399,10,8,8,15
leaf8_featuresall_m1,all,90,0.4078621803569157,0.26286431087048473,-0.0053488779828263205,-0.009530977537151382,-0.8577879783436244,44,12,11,50
leaf8_featuresall_m1,ex_jan,83,0.39379066855148315,0.24983168538547845,0.027343723640614548,-0.005253372132466362,-0.436029886994708,40,11,10,45
leaf8_featuresall_m1,2024+,31,0.22740393397264463,0.17275063393382914,-0.010557893968066619,0.01434614025971921,0.4447303480512955,18,4,2,19
leaf8_featuresall_m1,flash2025+,19,0.1642186336218293,0.12934269186595518,0.029753601999940104,0.028552044976150093,0.5424888545468518,12,2,1,12
leaf8_featuresall_m1,big,23,0.6724564791167378,0.47796300079224036,0.0029374211158648134,0.10029786877297711,2.3068509817784735,17,8,1,18
leaf8_featuresall_m1,big_ex_jan,19,0.7088681055833876,0.4915442012511536,0.08160736154689252,0.10319264085410956,1.9606601762280818,15,7,1,15
leaf8_featuresall_m1,alerts,23,0.3867127236630781,0.29027384987753146,-0.07299563709255781,-0.029404284660140112,-0.6762985471832226,11,9,7,17
leaf8_featuresthird_m0,all,90,0.41795154739724044,0.2625157341641442,-0.02522563676857153,-0.009182400830810854,-0.826416074772977,45,12,15,50
leaf8_featuresthird_m0,ex_jan,83,0.4033326092057299,0.24825110030558287,0.009051414942628455,-0.0036727870525708143,-0.3048413253633776,42,11,14,46
leaf8_featuresthird_m0,2024+,31,0.21897776134072025,0.1690393240182862,-0.005877997285901057,0.01805745017526219,0.5597809554331279,19,4,2,20
leaf8_featuresthird_m0,flash2025+,19,0.17300164605167864,0.13929634726858156,0.024692630835155806,0.018598389573523697,0.35336940189695026,12,2,1,12
leaf8_featuresthird_m0,big,23,0.6985702092561593,0.48458284194899887,-0.02123852361785028,0.09367802761621853,2.154594635173026,16,7,3,17
leaf8_featuresthird_m0,big_ex_jan,19,0.7365562717606702,0.49869034454316896,0.062200146068221586,0.09604649756209435,1.8248834536797927,15,6,3,15
leaf8_featuresthird_m0,alerts,20,0.6999864621564055,0.4090825368404247,0.011537374496096684,-0.03908253684042467,-0.7816507368084934,9,7,8,14
leaf8_featuresthird_m0.5,all,90,0.4137714753472494,0.26223736045870205,-0.016158158168167385,-0.00890402712536874,-0.8013624412831866,45,12,11,50
leaf8_featuresthird_m0.5,ex_jan,83,0.39872667562146935,0.24857879326462387,0.017626290561038815,-0.004000480011611815,-0.33203984096378064,42,11,10,46
leaf8_featuresthird_m0.5,2024+,31,0.22276241815760076,0.17011365412946727,-0.005605234745217784,0.016983120064081127,0.526476721986515,18,3,1,19
leaf8_featuresthird_m0.5,flash2025+,19,0.16924185088226065,0.1341689240975188,0.030944046478934083,0.02372581274458646,0.45079044214714276,12,2,0,12
leaf8_featuresthird_m0.5,big,23,0.6871580060716646,0.4780784270475067,-0.010756640817845782,0.10018244251771075,2.304196177907347,16,9,1,17
leaf8_featuresthird_m0.5,big_ex_jan,19,0.7242922649819575,0.4919402446712464,0.07102264136370513,0.10279659743401677,1.9531353512463188,15,8,1,15
leaf8_featuresthird_m0.5,alerts,20,0.697080684510669,0.41427787571473085,0.02228385022353462,-0.044277875714730845,-0.8855575142946169,9,7,7,14
leaf8_featuresthird_m1,all,90,0.4116451403901935,0.2641848860989142,-0.007090679567763231,-0.010851552765580903,-0.9766397489022812,43,12,10,48
leaf8_featuresthird_m1,ex_jan,83,0.39627616361794693,0.25039153071673625,0.02620116617944915,-0.005813217463724197,-0.4824970494891083,40,11,9,44
leaf8_featuresthird_m1,2024+,31,0.2279553635717881,0.17337983411731822,-0.005332472204534483,0.013716940076230123,0.4252251423631338,16,3,1,17
leaf8_featuresthird_m1,flash2025+,19,0.16719900263693424,0.13261767704102279,0.03719546212271236,0.025277059801082465,0.48026413622056685,10,2,0,10
leaf8_featuresthird_m1,big,23,0.6770523993365372,0.47347512284414206,-0.00027475801784132315,0.10478574672107546,2.4100721745847355,16,8,1,17
leaf8_featuresthird_m1,big_ex_jan,19,0.7132599315705437,0.485190144799324,0.07984513665918865,0.10954669730593927,2.081387248812846,15,7,1,15
leaf8_featuresthird_m1,alerts,22,0.6677045655576851,0.4053819556405301,0.035838937700546046,-0.04629104654962101,-1.0184030240916622,10,8,8,15
