origin,as_of,config,alpha,window,prediction,n_train,train_start,train_end,training_last_release,dropped_columns,fit_status,actual,target_available_from,error,core_actual,headline_actual,core_weight,fixed_noncore_reference,model,core_forecast,headline_forecast
2019-02,2019-03-10 23:59:00,a0.3_w60,0.3,60,0.2385683235743768,60,2014-02,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,0.061431676425623194,0.3,0.2,0.5473483906668921,0.1361246020525274,a0.3_w60,0.2385683235743768,0.2667045900250609
2019-02,2019-03-10 23:59:00,a0.3_w120,0.3,120,0.30798678847690564,120,2009-02,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,-0.007986788476905649,0.3,0.2,0.5473483906668921,0.1361246020525274,a0.3_w120,0.30798678847690564,0.30470067507202625
2019-02,2019-03-10 23:59:00,a0.3_wexpanding,0.3,expanding,0.34036653141680834,145,2007-01,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,-0.04036653141680835,0.3,0.2,0.5473483906668921,0.1361246020525274,a0.3_wexpanding,0.34036653141680834,0.3224236752603896
2019-02,2019-03-10 23:59:00,a3_w60,3.0,60,0.2542372545424758,60,2014-02,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,0.04576274545752418,0.3,0.2,0.5473483906668921,0.1361246020525274,a3_w60,0.2542372545424758,0.2752809541739205
2019-02,2019-03-10 23:59:00,a3_w120,3.0,120,0.2981404862500626,120,2009-02,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,0.0018595137499373693,0.3,0.2,0.5473483906668921,0.1361246020525274,a3_w120,0.2981404862500626,0.29931131739414385
2019-02,2019-03-10 23:59:00,a3_wexpanding,3.0,expanding,0.3318366905479621,145,2007-01,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,-0.03183669054796212,0.3,0.2,0.5473483906668921,0.1361246020525274,a3_wexpanding,0.3318366905479621,0.31775488058818196
2019-02,2019-03-10 23:59:00,a30_w60,30.0,60,0.2644823665830589,60,2014-02,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,0.035517633416941086,0.3,0.2,0.5473483906668921,0.1361246020525274,a30_w60,0.2644823665830589,0.2808885997615357
2019-02,2019-03-10 23:59:00,a30_w120,30.0,120,0.2502092695245036,120,2009-02,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,0.04979073047549637,0.3,0.2,0.5473483906668921,0.1361246020525274,a30_w120,0.2502092695245036,0.2730762430567031
2019-02,2019-03-10 23:59:00,a30_wexpanding,30.0,expanding,0.288153326430676,145,2007-01,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,0.011846673569324007,0.3,0.2,0.5473483906668921,0.1361246020525274,a30_wexpanding,0.288153326430676,0.29384486153966954
2019-02,2019-03-10 23:59:00,a300_w60,300.0,60,0.2050891039297516,60,2014-02,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,0.09491089607024839,0.3,0.2,0.5473483906668921,0.1361246020525274,a300_w60,0.2050891039297516,0.24837979303179192
2019-02,2019-03-10 23:59:00,a300_w120,300.0,120,0.1504013483134447,120,2009-02,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,0.14959865168655528,0.3,0.2,0.5473483906668921,0.1361246020525274,a300_w120,0.1504013483134447,0.21844653800602204
2019-02,2019-03-10 23:59:00,a300_wexpanding,300.0,expanding,0.1829195786706752,145,2007-01,2019-01,2019-02-13 09:00:00,[],estimated,0.3,2019-03-11 09:00:00,0.11708042132932478,0.3,0.2,0.5473483906668921,0.1361246020525274,a300_wexpanding,0.1829195786706752,0.23624533905938744
2019-03,2019-04-09 23:59:00,a0.3_w60,0.3,60,-0.0635137032263264,60,2014-03,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.0364862967736736,-0.1,0.2,0.5518118388714258,0.07496024155289298,a0.3_w60,-0.0635137032263264,0.03991262818203979
2019-03,2019-04-09 23:59:00,a0.3_w120,0.3,120,0.063598160474925,120,2009-03,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.163598160474925,-0.1,0.2,0.5518118388714258,0.07496024155289298,a0.3_w120,0.063598160474925,0.11005445943340138
2019-03,2019-04-09 23:59:00,a0.3_wexpanding,0.3,expanding,0.04568203594031796,146,2007-01,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.14568203594031798,-0.1,0.2,0.5518118388714258,0.07496024155289298,a0.3_wexpanding,0.04568203594031796,0.10016812980851039
2019-03,2019-04-09 23:59:00,a3_w60,3.0,60,-0.044024009660236924,60,2014-03,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.05597599033976308,-0.1,0.2,0.5518118388714258,0.07496024155289298,a3_w60,-0.044024009660236924,0.05066727182778423
2019-03,2019-04-09 23:59:00,a3_w120,3.0,120,0.06080699558879352,120,2009-03,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.16080699558879352,-0.1,0.2,0.5518118388714258,0.07496024155289298,a3_w120,0.06080699558879352,0.10851426160499181
2019-03,2019-04-09 23:59:00,a3_wexpanding,3.0,expanding,0.04439918875041172,146,2007-01,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.14439918875041172,-0.1,0.2,0.5518118388714258,0.07496024155289298,a3_wexpanding,0.04439918875041172,0.0994602395416572
2019-03,2019-04-09 23:59:00,a30_w60,30.0,60,0.02229803919984108,60,2014-03,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.12229803919984109,-0.1,0.2,0.5518118388714258,0.07496024155289298,a30_w60,0.02229803919984108,0.08726456356698442
2019-03,2019-04-09 23:59:00,a30_w120,30.0,120,0.04489306054828413,120,2009-03,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.14489306054828413,-0.1,0.2,0.5518118388714258,0.07496024155289298,a30_w120,0.04489306054828413,0.0997327638466079
2019-03,2019-04-09 23:59:00,a30_wexpanding,30.0,expanding,0.03956584733416958,146,2007-01,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.1395658473341696,-0.1,0.2,0.5518118388714258,0.07496024155289298,a30_wexpanding,0.03956584733416958,0.0967931445268672
2019-03,2019-04-09 23:59:00,a300_w60,300.0,60,0.11145135849248175,60,2014-03,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.21145135849248176,-0.1,0.2,0.5518118388714258,0.07496024155289298,a300_w60,0.11145135849248175,0.13646042062734784
2019-03,2019-04-09 23:59:00,a300_w120,300.0,120,0.03528760342965688,120,2009-03,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.1352876034296569,-0.1,0.2,0.5518118388714258,0.07496024155289298,a300_w120,0.03528760342965688,0.09443235889077757
2019-03,2019-04-09 23:59:00,a300_wexpanding,300.0,expanding,0.04082095603341598,146,2007-01,2019-02,2019-03-11 09:00:00,[],estimated,-0.1,2019-04-10 09:00:00,-0.140820956033416,-0.1,0.2,0.5518118388714258,0.07496024155289298,a300_wexpanding,0.04082095603341598,0.09748572836618187
2019-04,2019-05-12 23:59:00,a0.3_w60,0.3,60,0.47461891858208805,60,2014-04,2019-03,2019-04-10 09:00:00,[],estimated,0.4,2019-05-13 09:00:00,-0.07461891858208802,0.4,0.1,0.5506152285898372,0.18824369612448322,a0.3_w60,0.47461891858208805,0.449576100472621
2019-04,2019-05-12 23:59:00,a0.3_w120,0.3,120,0.4006225229624496,120,2009-04,2019-03,2019-04-10 09:00:00,[],estimated,0.4,2019-05-13 09:00:00,-0.0006225229624495787,0.4,0.1,0.5506152285898372,0.18824369612448322,a0.3_w120,0.4006225229624496,0.4088325581836897
2019-04,2019-05-12 23:59:00,a0.3_wexpanding,0.3,expanding,0.35363618995383395,147,2007-01,2019-03,2019-04-10 09:00:00,[],estimated,0.4,2019-05-13 09:00:00,0.046363810046166076,0.4,0.1,0.5506152285898372,0.18824369612448322,a0.3_wexpanding,0.35363618995383395,0.3829611676935526
2019-04,2019-05-12 23:59:00,a3_w60,3.0,60,0.48801798969326826,60,2014-04,2019-03,2019-04-10 09:00:00,[],estimated,0.4,2019-05-13 09:00:00,-0.08801798969326824,0.4,0.1,0.5506152285898372,0.18824369612448322,a3_w60,0.48801798969326826,0.45695383307539494
2019-04,2019-05-12 23:59:00,a3_w120,3.0,120,0.40726234503119885,120,2009-04,2019-03,2019-04-10 09:00:00,[],estimated,0.4,2019-05-13 09:00:00,-0.007262345031198825,0.4,0.1,0.5506152285898372,0.18824369612448322,a3_w120,0.40726234503119885,0.41248854532986995
2019-04,2019-05-12 23:59:00,a3_wexpanding,3.0,expanding,0.36116664092114814,147,2007-01,2019-03,2019-04-10 09:00:00,[],estimated,0.4,2019-05-13 09:00:00,0.03883335907885188,0.4,0.1,0.5506152285898372,0.18824369612448322,a3_wexpanding,0.36116664092114814,0.38710754867430486
2019-04,2019-05-12 23:59:00,a30_w60,30.0,60,0.4516677187098772,60,2014-04,2019-03,2019-04-10 09:00:00,[],estimated,0.4,2019-05-13 09:00:00,-0.051667718709877186,0.4,0.1,0.5506152285898372,0.18824369612448322,a30_w60,0.4516677187098772,0.43693882030857256
2019-04,2019-05-12 23:59:00,a30_w120,30.0,120,0.4018010862389085,120,2009-04,2019-03,2019-04-10 09:00:00,[],estimated,0.4,2019-05-13 09:00:00,-0.0018010862389084559,0.4,0.1,0.5506152285898372,0.18824369612448322,a30_w120,0.4018010862389085,0.40948149307156473
2019-04,2019-05-12 23:59:00,a30_wexpanding,30.0,expanding,0.3722169222939545,147,2007-01,2019-03,2019-04-10 09:00:00,[],estimated,0.4,2019-05-13 09:00:00,0.027783077706045545,0.4,0.1,0.5506152285898372,0.18824369612448322,a30_wexpanding,0.3722169222939545,0.39319200187837466
2019-04,2019-05-12 23:59:00,a300_w60,300.0,60,0.26173648036249264,60,2014-04,2019-03,2019-04-10 09:00:00,[],estimated,0.4,2019-05-13 09:00:00,0.13826351963750738,0.4,0.1,0.5506152285898372,0.18824369612448322,a300_w60,0.26173648036249264,0.33235978808957656
2019-04,2019-05-12 23:59:00,a300_w120,300.0,120,0.2301759560002251,120,2009-04,2019-03,2019-04-10 09:00:00,[],estimated,0.4,2019-05-13 09:00:00,0.1698240439997749,0.4,0.1,0.5506152285898372,0.18824369612448322,a300_w120,0.2301759560002251,0.3149820827534315
