origin,as_of_utc,target,h,model,mm_forecast,native_h0,h0_exante,h0_actual,h0_method,mm_actual,yy_actual,yy_exante,yy_conditional,status,converged,fallback_used,unemployment_end,unemployment_adjustments,fx_end,headline_n
2019-02,2019-03-10T22:59:00+00:00,2019-02,0,TARGET_ML,0.3177548805881821,0.14652568761592474,0.3177548805881821,0.18674136321195078,HARD_BASE,0.18674136321195078,2.6794258373205744,2.8136990211578414,2.6794258373205744,converged,True,False,2019-01,sa,2019-02,336
2019-02,2019-03-10T22:59:00+00:00,2019-03,1,TARGET_ML,0.00796717713091516,0.14652568761592474,0.3177548805881821,0.18674136321195078,HARD_BASE,0.18639328984155767,2.969348659003822,2.920378771411895,2.7859662653845505,converged,True,False,2019-01,sa,2019-02,336
2019-02,2019-03-10T22:59:00+00:00,2019-04,2,TARGET_ML,0.19162816196944,0.14652568761592474,0.3177548805881821,0.18674136321195078,HARD_BASE,0.09302325581395099,2.769818529130847,2.822137289791272,2.687853085698862,converged,True,False,2019-01,sa,2019-02,336
2019-02,2019-03-10T22:59:00+00:00,2019-05,3,TARGET_ML,0.16965628114921955,0.14652568761592474,0.3177548805881821,0.18674136321195078,HARD_BASE,0.6505576208178487,2.9467680608364977,2.5070540254835447,2.373181315515702,converged,True,False,2019-01,sa,2019-02,336
2019-02,2019-03-10T22:59:00+00:00,2019-06,4,TARGET_ML,0.15752907435335997,0.14652568761592474,0.3177548805881821,0.18674136321195078,HARD_BASE,0.1846722068328699,2.7462121212121224,2.2796364826290803,2.1460607766386293,converged,True,False,2019-01,sa,2019-02,336
2019-02,2019-03-10T22:59:00+00:00,2019-07,5,TARGET_ML,0.2320902072222665,0.14652568761592474,0.3177548805881821,0.18674136321195078,HARD_BASE,0.36866359447005337,2.9300567107750513,2.323223518950383,2.1895908889294127,converged,True,False,2019-01,sa,2019-02,336
2019-02,2019-03-10T22:59:00+00:00,2019-08,6,TARGET_ML,-0.17700168752673445,0.14652568761592474,0.3177548805881821,0.18674136321195078,HARD_BASE,0.09182736455464191,2.9272898961284195,2.0456582137982062,1.9123880799971016,converged,True,False,2019-01,sa,2019-02,336
2019-02,2019-03-10T22:59:00+00:00,2019-09,7,TARGET_ML,-0.2914759589826372,0.14652568761592474,0.3177548805881821,0.18674136321195078,HARD_BASE,-0.5504587155963248,2.6515151515151705,2.0372770951152037,1.9040179069322452,converged,True,False,2019-01,sa,2019-02,336
2019-02,2019-03-10T22:59:00+00:00,2019-10,8,TARGET_ML,0.16431243838043563,0.14652568761592474,0.3177548805881821,0.18674136321195078,HARD_BASE,0.46125461254613587,2.735849056603792,1.819258025494849,1.6862835670210043,converged,True,False,2019-01,sa,2019-02,336
2019-02,2019-03-10T22:59:00+00:00,2019-11,9,TARGET_ML,0.04482273923480884,0.14652568761592474,0.3177548805881821,0.18674136321195078,HARD_BASE,0.2754820936639035,3.116147308781873,1.9610859096988236,1.8279262260871776,converged,True,False,2019-01,sa,2019-02,336
