report,season,origin,origin_clock,quarter,quarters_ahead,cnb,ours_a,ours_b,naive,realised,err_cnb,err_ours_a,err_ours_b,err_naive
2022-02-10,winter,2022-01,2022-02-13,2022Q1,1,9.63663198795535,10.231944935461351,10.3333546470079,9.84594358102924,11.23658150891361,-1.5999495209582584,-1.0046365734522578,-0.9032268619057096,-1.3906379278843684
2022-02-10,winter,2022-01,2022-02-13,2022Q2,2,9.50510416,11.020666035372612,11.122801344016073,9.414482410856834,15.772308516091229,-6.267204356091229,-4.751642480718617,-4.649507172075156,-6.357826105234395
2022-02-10,winter,2022-01,2022-02-13,2022Q3,3,8.17038043,9.55413611771955,9.654922267768278,8.231758312071134,17.578003612072624,-9.407623182072625,-8.023867494353075,-7.923081344304347,-9.34624530000149
2022-02-10,winter,2022-01,2022-02-13,2022Q4,4,6.62746481,8.1905312090754,8.290062888103684,7.004608872228874,15.69904392215021,-9.07157911215021,-7.5085127130748095,-7.408981034046526,-8.694435049921335
2022-05-12,spring,2022-05,2022-06-09,2022Q3,1,13.8649926,20.15254493972071,19.88879279341232,14.571502664616416,17.578003612072624,-3.7130110120726236,2.5745413276480846,2.310789181339697,-3.0065009474562086
2022-05-12,spring,2022-05,2022-06-09,2022Q4,2,12.749894,23.437734368189002,23.16677075779367,13.272472162761503,15.69904392215021,-2.9491499221502107,7.738690446038792,7.467726835643461,-2.4265717593887075
2022-05-12,spring,2022-05,2022-06-09,2023Q1,3,7.85719611,20.70660606604876,20.441637675745472,9.012264427925656,16.393468660721577,-8.536272550721577,4.313137405327183,4.048169015023895,-7.3812042327959215
2022-08-11,summer,2022-08,2022-09-11,2022Q4,1,19.6557739,19.29561526112808,19.077040603055583,15.939051393112543,15.69904392215021,3.9567299778497897,3.5965713389778706,3.3779966809053725,0.24000747096233255
2022-08-11,summer,2022-08,2022-09-11,2023Q1,2,16.1682854,16.115891474427887,15.903142739109732,11.578552905847717,16.393468660721577,-0.2251832607215789,-0.27757718629369066,-0.49032592161184496,-4.81491575487386
2022-08-11,summer,2022-08,2022-09-11,2023Q2,3,11.4594623,13.14856189321563,12.941249929795434,7.8055405090214665,11.15840613352934,0.30105616647066036,1.9901557596862904,1.7828437962660946,-3.3528656245078734
