model,RMSE,MAE,dir_corr,DM_vs_AR3,DM_pval
TVW_QRF,0.6449727607561806,0.3551789498403768,0.27627066279899265,-1.9956851738334234,0.047528407942797335
TVW_QRF_sqPCA,0.6758568943169981,0.3645724954675103,0.27639447968692465,-1.2148322873708925,0.22607604091293987
TVW_QRF_WIDERAW,0.6803382307039426,0.3773657257315259,0.11859224862220437,-1.0138281869248704,0.3120724282545475
TVW_QRF_WIDERAW_MF1,0.6901876163114443,0.38137760223204925,0.11859224862220438,-0.7175696389338695,0.47398493047946655
ARIMA313,0.7004766188818846,0.3867425323719007,0.2577741938148481,-0.9597885655256372,0.33849342732608667
ENSEMBLE,0.711071618370685,0.3717680012487269,0.19481536372859504,-1.0359294155800913,0.3016726171006665
TVW_QRF_RAW,0.7300400799111285,0.40147923558034737,0.08671567637381938,-0.1972875413117494,0.8438410165555748
AR3,0.7355205892977906,0.4331997853472601,0.09990291722010865,,
BVAR,0.7512653536468721,0.4211350821374057,-0.13309539749139854,0.5766190866445242,0.5649419924761756
RW,0.9852714193658554,0.5161362656074052,0.12112799311667427,1.7462911496326246,0.08252514994492088
