origin,as_of,config,n_validation,selection_reason,validation_start,validation_end,validation_last_release,validation_origins,selected_inner_rmse,default_inner_rmse,prediction,n_train,train_start,train_end,training_last_release
2019-02,2019-03-10 23:59:00,a3_w60,36,minimum_prior_mse,2016-02,2019-01,2019-02-13 09:00:00,2016-02|2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01,0.19188084252347276,0.198530731847558,0.2542372545424758,60,2014-02,2019-01,2019-02-13 09:00:00
2019-03,2019-04-09 23:59:00,a3_w60,36,minimum_prior_mse,2016-03,2019-02,2019-03-11 09:00:00,2016-03|2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02,0.19202854095783306,0.19847231295807202,-0.044024009660236924,60,2014-03,2019-02,2019-03-11 09:00:00
2019-04,2019-05-12 23:59:00,a3_w60,36,minimum_prior_mse,2016-04,2019-03,2019-04-10 09:00:00,2016-04|2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03,0.19212837219639653,0.19974978274900393,0.48801798969326826,60,2014-04,2019-03,2019-04-10 09:00:00
2019-05,2019-06-10 23:59:00,a3_w60,36,minimum_prior_mse,2016-05,2019-04,2019-05-13 09:00:00,2016-05|2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04,0.191464278958646,0.19968653097358358,0.14658534954412278,60,2014-05,2019-04,2019-05-13 09:00:00
2019-06,2019-07-10 23:59:00,a3_w60,36,minimum_prior_mse,2016-06,2019-05,2019-06-11 09:00:00,2016-06|2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05,0.18992648245075397,0.1986359232021268,0.2007858810037138,60,2014-06,2019-05,2019-06-11 09:00:00
2019-07,2019-08-11 23:59:00,a3_w60,36,minimum_prior_mse,2016-07,2019-06,2019-07-11 09:00:00,2016-07|2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06,0.1896194089077115,0.19904613113743513,0.6618783282396089,60,2014-07,2019-06,2019-07-11 09:00:00
2019-08,2019-09-09 23:59:00,a3_w60,36,minimum_prior_mse,2016-08,2019-07,2019-08-12 09:00:00,2016-08|2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07,0.19683753067445992,0.20535258512809199,0.11747540529364126,60,2014-08,2019-07,2019-08-12 09:00:00
2019-09,2019-10-09 23:59:00,a3_w60,36,minimum_prior_mse,2016-09,2019-08,2019-09-10 09:00:00,2016-09|2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08,0.19687631096252545,0.2046604925995137,-0.5604486475613573,60,2014-09,2019-08,2019-09-10 09:00:00
2019-10,2019-11-10 23:59:00,a3_w60,36,minimum_prior_mse,2016-10,2019-09,2019-10-10 09:00:00,2016-10|2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09,0.20478657622069155,0.2140104649107487,0.3604001602076814,60,2014-10,2019-09,2019-10-10 09:00:00
2019-11,2019-12-09 23:59:00,a3_w60,36,minimum_prior_mse,2016-11,2019-10,2019-11-11 09:00:00,2016-11|2016-12|2017-01|2017-02|2017-03|2017-04|2017-05|2017-06|2017-07|2017-08|2017-09|2017-10|2017-11|2017-12|2018-01|2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2018-12|2019-01|2019-02|2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10,0.20405632803666449,0.21584696462764813,0.15859048625297828,60,2014-11,2019-10,2019-11-11 09:00:00
