target_month,release_dt,actual,median,mean,tilt,LateInfo,SurpriseRF
2021-08,1970-01-01 00:00:00.020210910,0.7,0.2,0.1,,,
2021-09,1970-01-01 00:00:00.020211011,0.2,-0.2,-0.2,,,
2021-10,1970-01-01 00:00:00.020211110,1.0,0.7,0.7,,,
2021-11,1970-01-01 00:00:00.020211210,0.2,0.3,0.2,,,
2021-12,1970-01-01 00:00:00.020220112,0.4,0.3,0.3,,,
2022-01,1970-01-01 00:00:00.020220214,4.4,3.8,3.7,,,
2022-02,1970-01-01 00:00:00.020220310,1.3,0.6,0.6,,,
2022-03,1970-01-01 00:00:00.020220411,1.7,1.4,1.4,,,
2022-04,1970-01-01 00:00:00.020220510,1.8,0.9,0.9,,,
2022-05,1970-01-01 00:00:00.020220610,1.8,1.4,1.3,,,
2022-06,1970-01-01 00:00:00.020220713,1.6,1.5,1.5,,,
2022-07,1970-01-01 00:00:00.020220810,1.3,1.6,1.7,,,
2022-08,1970-01-01 00:00:00.020220912,0.4,0.8,0.8,,,
2022-09,1970-01-01 00:00:00.020221011,0.8,0.2,0.3,,,
2022-10,1970-01-01 00:00:00.020221110,-1.4,0.9,1.0,,,
2022-11,1970-01-01 00:00:00.020221212,1.2,0.7,0.7,,,
2022-12,1970-01-01 00:00:00.020230111,0.0,0.4,0.4,0.14440317573063535,0.5444031757306353,
2023-01,1970-01-01 00:00:00.020230210,6.0,5.8,5.7,0.3,6.1,
2023-02,1970-01-01 00:00:00.020230310,0.6,0.5,0.5,-0.03395189908225518,0.46604810091774485,0.5384944083694084
2023-03,1970-01-01 00:00:00.020230413,0.1,0.1,0.1,-0.02464284421609167,0.07535715578390834,0.3158238372738372
2023-04,1970-01-01 00:00:00.020230511,-0.2,0.4,0.3,0.3,0.7,0.651916207866208
2023-05,1970-01-01 00:00:00.020230612,0.3,0.1,0.1,-0.03919301191459871,0.060806988085401296,0.23836462611462608
2023-06,1970-01-01 00:00:00.020230713,0.3,0.3,0.3,-0.04779026700324038,0.25220973299675964,0.5215851685351686
2023-07,1970-01-01 00:00:00.020230810,0.5,0.4,0.4,-0.04718940763857241,0.3528105923614276,0.5622730232730233
2023-08,1970-01-01 00:00:00.020230911,0.2,0.1,0.2,-0.3,-0.19999999999999998,0.019178897137720793
