origin,model,actual,consensus,forecast,error,surprise,deviation,gain,big,alert,capture_ratio
2019-02,HARD_BASE,0.2,0.1,0.31775488058818213,0.11775488058818212,0.1,0.21775488058818213,-0.017754880588182115,False,True,
2019-03,HARD_BASE,0.2,0.1,0.09946023954165717,-0.10053976045834284,0.1,-0.0005397604583428361,-0.0005397604583428361,False,False,
2019-04,HARD_BASE,0.1,0.3,0.38710754867430486,0.2871075486743049,-0.19999999999999998,0.08710754867430487,-0.0871075486743049,False,False,
2019-05,HARD_BASE,0.7,0.4,0.2254766707170906,-0.47452332928290936,0.29999999999999993,-0.17452332928290942,-0.17452332928290942,False,False,
2019-06,HARD_BASE,0.2,0.1,0.12410329846284626,-0.07589670153715375,0.1,0.024103298462846257,0.024103298462846257,False,False,
2019-07,HARD_BASE,0.4,0.2,0.435229027763851,0.03522902776385095,0.2,0.23522902776385096,0.16477097223614906,False,True,
2019-08,HARD_BASE,0.1,0.0,0.07212027168892293,-0.027879728311077073,0.1,0.07212027168892293,0.07212027168892293,False,False,
2019-09,HARD_BASE,-0.6,-0.4,-0.3115374275151629,0.2884625724848371,-0.19999999999999996,0.08846257248483713,-0.08846257248483713,False,False,
2019-10,HARD_BASE,0.5,0.4,0.22940611674544503,-0.27059388325455497,0.09999999999999998,-0.170593883254555,-0.170593883254555,False,False,
2019-11,HARD_BASE,0.3,0.2,0.16027885730460945,-0.13972114269539054,0.09999999999999998,-0.039721142695390566,-0.039721142695390566,False,False,
2019-12,HARD_BASE,0.2,0.1,0.015134052299833604,-0.1848659477001664,0.1,-0.0848659477001664,-0.0848659477001664,False,False,
2020-01,HARD_BASE,1.5,1.0,0.8910783646002834,-0.6089216353997166,0.5,-0.10892163539971655,-0.10892163539971655,True,False,-0.2178432707994331
2020-02,HARD_BASE,0.3,0.3,0.3016255681785912,0.001625568178591219,0.0,0.001625568178591219,-0.001625568178591219,False,False,
2020-03,HARD_BASE,-0.1,0.1,-0.2620574219510465,-0.16205742195104647,-0.2,-0.3620574219510465,0.03794257804895354,False,True,
2020-04,HARD_BASE,-0.2,-0.2,-0.31758186237127,-0.11758186237127,0.0,-0.11758186237127,-0.11758186237127,False,False,
2020-05,HARD_BASE,0.4,0.1,0.1755417858910625,-0.22445821410893751,0.30000000000000004,0.0755417858910625,0.07554178589106253,False,False,
2020-06,HARD_BASE,0.6,0.2,0.3438817354017713,-0.2561182645982287,0.39999999999999997,0.1438817354017713,0.1438817354017713,True,False,0.3597043385044283
