period,target,h,cell,pred,actual
2019-02,2019-03,1,A0,-0.020905006388053135,-0.1
2019-02,2019-05,3,A0,0.10889456195361452,0.1
2019-02,2019-08,6,A0,0.0632496786463258,0.2
2019-02,2020-02,12,A0,0.4906601223187693,0.7
2019-02,2019-03,1,A1,0.008350374092806666,-0.1
2019-02,2019-05,3,A1,0.15113066673542322,0.1
2019-02,2019-08,6,A1,0.10196517233371902,0.2
2019-02,2020-02,12,A1,0.4833460889025845,0.7
2019-02,2019-03,1,A2,-0.01571675222397323,-0.1
2019-02,2019-05,3,A2,0.13172675727651612,0.1
2019-02,2019-08,6,A2,0.09019454582540269,0.2
2019-02,2020-02,12,A2,0.4886165698266195,0.7
2019-02,2019-03,1,A3,-0.0049944074755549905,-0.1
2019-02,2019-05,3,A3,0.11984429402785671,0.1
2019-02,2019-08,6,A3,0.07416353854451889,0.2
2019-02,2020-02,12,A3,0.48513043127421995,0.7
2019-02,2019-03,1,A4,0.02507377181602593,-0.1
2019-02,2019-05,3,A4,0.16634422662972026,0.1
2019-02,2019-08,6,A4,0.12256957145811506,0.2
2019-02,2020-02,12,A4,0.5036205742851664,0.7
2019-03,2019-04,1,A0,0.38830508484730664,0.4
2019-03,2019-06,3,A0,0.16055789316628272,0.3
2019-03,2019-09,6,A0,-0.4500763224945724,-0.9
2019-03,2020-03,12,A0,0.10056841472074263,-0.3
2019-03,2019-04,1,A1,0.3880311402629278,0.4
2019-03,2019-06,3,A1,0.16471159398179128,0.3
2019-03,2019-09,6,A1,-0.44756138152955305,-0.9
2019-03,2020-03,12,A1,0.0810847676905417,-0.3
2019-03,2019-04,1,A2,0.3914768433110873,0.4
2019-03,2019-06,3,A2,0.17436188865365204,0.3
2019-03,2019-09,6,A2,-0.43293961302859946,-0.9
2019-03,2020-03,12,A2,0.09919203423581538,-0.3
2019-03,2019-04,1,A3,0.4115428961604531,0.4
2019-03,2019-06,3,A3,0.1881975313243353,0.3
2019-03,2019-09,6,A3,-0.4183504669194296,-0.9
2019-03,2020-03,12,A3,0.12093043193430497,-0.3
2019-03,2019-04,1,A4,0.406902947908865,0.4
2019-03,2019-06,3,A4,0.18983809674547011,0.3
2019-03,2019-09,6,A4,-0.4132593637717373,-0.9
2019-03,2020-03,12,A4,0.11320731354723075,-0.3
2019-04,2019-05,1,A0,0.11516488962253066,0.1
2019-04,2019-07,3,A0,0.5269180300972128,1.0
2019-04,2019-10,6,A0,0.35217295497822654,0.6
2019-04,2020-04,12,A0,0.36894703414188823,0.2
2019-04,2019-05,1,A1,0.08477908019660366,0.1
2019-04,2019-07,3,A1,0.5041078014168727,1.0
2019-04,2019-10,6,A1,0.31786820026074014,0.6
2019-04,2020-04,12,A1,0.3175181057886229,0.2
2019-04,2019-05,1,A2,0.11851580225477665,0.1
2019-04,2019-07,3,A2,0.5389392453064118,1.0
2019-04,2019-10,6,A2,0.36749674113592423,0.6
2019-04,2020-04,12,A2,0.36748765256814514,0.2
2019-04,2019-05,1,A3,0.08591874826072143,0.1
2019-04,2019-07,3,A3,0.49069933510081504,1.0
2019-04,2019-10,6,A3,0.30268397747520626,0.6
2019-04,2020-04,12,A3,0.32293787666489676,0.2
2019-04,2019-05,1,A4,0.04463138680027837,0.1
2019-04,2019-07,3,A4,0.45135137876842224,1.0
2019-04,2019-10,6,A4,0.2560405243311977,0.6
2019-04,2020-04,12,A4,0.28623935607573814,0.2
2019-05,2019-06,1,A0,0.1097929828131662,0.3
2019-05,2019-08,3,A0,0.16547087990015677,0.2
2019-05,2019-11,6,A0,-0.021790415309807402,0.0
2019-05,2020-05,12,A0,0.14807039590240484,0.7
2019-05,2019-06,1,A1,0.07811889686833452,0.3
2019-05,2019-08,3,A1,0.1457603387669423,0.2
2019-05,2019-11,6,A1,-0.055179103649823445,0.0
2019-05,2020-05,12,A1,0.08782104137303152,0.7
2019-05,2019-06,1,A2,0.11384423722599771,0.3
