model,RMSE,MAE,dir_corr,DM_vs_AR3,DM_pval
TVW_QRF_sqPCA,0.35006875686480066,0.25683949773467074,0.34329365224310376,-4.124285841260635,6.101000456060213e-05
TVW_QRF,0.3616735478640701,0.2609396841351335,0.3306259897987092,-3.111713280889546,0.002222340815514201
TVW_QRF_WIDERAW_MF1,0.37745378462644663,0.26761397771414563,0.3230060531648395,-2.5278154838793983,0.012498778246878173
TVW_QRF_WIDERAW,0.38426574055755924,0.2730866464607473,0.28336181038216446,-2.76054542528027,0.006481137684756
BVAR,0.3985633467122134,0.2906395632926483,0.07916787909800774,-2.238794987572411,0.026621592504759706
ENSEMBLE,0.4079954650162272,0.2870762817165837,0.43502024410783036,-1.34443005317539,0.18081231316358592
ARIMA313,0.4232078666186435,0.30193388320588566,0.2638628399127442,-0.5927565332299095,0.5542249490770694
TVW_QRF_RAW,0.4295780598027736,0.301998309463736,0.15203426914582852,-0.4517366195890063,0.6521290912227244
AR3,0.43862548119845923,0.337302102429483,0.21340342641062324,,
RW,0.6819583362364052,0.43124063589764605,0.23835084706795154,1.3711068859756672,0.17236258417564
